,Post,Trans,Label,Type,Type_Expanded
10,"Горит жилой дом в Донецке.
Обстрелы города продолжаются.😡",A residential building is burning in Donetsk. Bombardments of the city continue. 😡,,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
11,"‼️🇺🇦🏴‍☠️Украинцы в Херсоне уничтожают имущество людей, обвиненных в сотрудничестве с Россией.",‼️🇺🇦🏴‍☠️Ukrainians in Kherson are destroying the property of people accused of collaborating with Russia.,,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
12,"❗️**Обнаружены тела мирных жителей, утопленных в хранилищах с бензином

**🔞Видео содержит тяжелые кадры. Предположительно, снято в сентябре.

Украинские националисты топили людей в резервуарах с бензином на заправке у села Сиротино.

На телах видны следы насильственной смерти: руки связаны за спиной, на головах — пакеты.

**Взятый российской армией опорный пункт, судя по граффити на стене, принадлежал неонацистам из «Правого сектора*****».**","❗️**Bodies of civilians were found drowned in fuel storage tanks.

**🔞The video contains graphic scenes. It is believed to have been filmed in September.

Ukrainian nationalists drowned people in fuel storage tanks at a gas station near the village of Sirotyno.

On the bodies, signs of violent death are visible: hands tied behind the back, bags on their heads.

**The captured Russian military outpost, based on graffiti on the wall, belonged to neo-Nazis from the Right Sector.*******",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
13,"Видео с одной из ТЭЦ Украины, после прилета",Video from one of Ukraine's power plants after the strike.,,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
14,Последние минуты жизни депутата  ДНР Марии Пироговой . Женщина погибла вчера во время массированного обстрела Донецка ВСУ.,The last minutes of the life of Deputy of the DNR Maria Pirogova. The woman died yesterday during a massive artillery attack on Donetsk by Ukrainian forces.,,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
15,"**Момент прилёта реактивного снаряда ВСУ в офисное здание Центавр-Плаза в центре Донецка попал на камеру наблюдения.

**В момент прилёта боеприпаса на этаже были работники офиса, практически все получили ранения.","The moment a Ukrainian military aircraft's missile struck an office building, Centaur-Plaza, in the center of Donetsk, it was captured on surveillance camera. At the moment the explosive hit, there were office workers on the floor; almost all of them sustained injuries.",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
16,"ВСУ целый день тупо лупит по  Донецку. Уже сообщают о 8 погибших и 11 раненых.

Огонь совершенно хаотичный, просто  чтобы было.","The Ukrainian military has been indiscriminately shelling Donetsk all day. Reports already mention 8 dead and 11 injured.

The fire is completely random, just for the sake of it.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
17,"❗️ ВСУ снова обстреливает из артиллерии мирных жителей Донецка.

Снаряды падали в центре города, в районе крытого рынка и по близлежащим улицам. Горят автомобили, есть пострадавшие, точное количество уточняется.","❗️ The Ukrainian military (VСУ) again shelled civilians in Donetsk with artillery.

Shells fell in the city center, near the covered market, and on nearby streets. Cars are burning, there are casualties, but the exact number is still being confirmed.",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
18,"Аэродром в Курской области был атакован с помощью украинского беспилотника.

Глава региона сообщил, что в результате атаки загорелся нефтенакопитель. Пострадавших нет. Пожар локализуется","The airfield in Kursk Oblast was attacked using a Ukrainian drone.

The regional head reported that as a result of the attack, a fuel storage facility caught fire. There were no casualties, and the fire is being contained.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
19,"❗️ **Ранним утром ВСУ нанесли удар из РСЗО HIMARS по городу Алчевск ЛНР.

**Наибольший урон получило здание общежития, в котором проживали переселенцы и строители, восстанавливающие республику после украинских обстрелов. Три человека погибли и пятнадцать получили ранения.","❗️ **Early morning saw the Ukrainian military (ВСУ) strike the city of Alchevsk in LNR with HIMARS rocket systems.

The most damage was inflicted on a dormitory building, where displaced persons and workers rebuilding the republic after Ukrainian artillery attacks were residing. Three people were killed and fifteen were injured.**",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
20,"СМИ сообщают, что неизвестный беспилотник атаковал аэродром в Саратовской области — аппарат упал на взлетно-посадочной полосе. Два человека пострадало.

Также, по предварительным данным, повреждены два самолёта","The media reports that an unknown drone attacked an airfield in the Saratov region — the device crashed on the runway. Two people were injured.

Also, according to preliminary data, two aircraft were damaged.",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
21,"**Российские военные нашли доказательство пыток со стороны ВСУ.**

В районе село «Пологи» обнаружена пыточная комната со всем необходимым «оборудованием».","Russian military found evidence of torture by the Ukrainian military forces. In the village of ""Pologi,"" a torture room with all necessary equipment was discovered.",,,"This post describes a human rights violation involving sexual violence, severe torture, or execution. It includes acts intended to cause extreme suffering, coercion, fear, or death. The emphasis is on serious bodily harm or coercive, violent actions against individuals."
22,"**Россия начала бить по транспортной инфраструктуре. **Со вчерашнего дня фиксируются прилеты в разных областях Украины.
[
](https://t.me/joinchat/S4sxJSIf8aYwNjQy)Сегодня был нанесён ракетный удар по Кривому Рогу. Это уже подтверждают местные власти.

""Серьезные разрушения объекта транспортной инфраструктуры двумя ракетами""","Russia has begun targeting transportation infrastructure. Flights have been observed in various regions of Ukraine since yesterday.
Today, a rocket strike was carried out on Kryvyi Rih. This is confirmed by local authorities.

""Serious damage to a transportation infrastructure facility by two rockets.""",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
23,Кадры вчерашних ударов ВС РФ по объектам критической инфраструктуры в Киеве.,Footage of yesterday's Russian military strikes on critical infrastructure in Kyiv.,,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
24,"❗️**В Киеве в жилой дом угодила ракета НАТО

**Обломок хвалёной зенитной ракеты ПВО NASAMS найден в районе удара по жилым зданиям Киева.
В результате взрыва погибло несколько человек и сгорело несколько машин.","❗️A NATO NASAMS anti-aircraft missile struck a residential building in Kyiv.

A fragment of the highly praised NASAMS surface-to-air missile was found in the area where strikes on residential buildings in Kyiv took place.
As a result of the explosion, several people were killed and several cars were burned.",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
25,"⚡️**  УкроПВО ударило по жилым постройкам в Киеве

**После попытки сбить нашу ракету, Украинская ракета промахнулась и попала в жилой дом.","⚡️** Ukrainian air defense struck residential buildings in Kyiv.

**After attempting to shoot down one of our missiles, the Ukrainian missile missed and hit a residential building.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
26,"**Фото последствий ""фильтрации"" в с. Малая Рогань Харьковской области.

**После ""освобождения"" населенного пункта, нацисты из ВСУ при участии отморозков из нацбата ""Кракен"" провели массовые зачистки с последующей казнью мирных людей, которых посчитали ""коллаборантами"".

Ни следствия, ни суда, как водится у нацистов, никто не проводит. Ещё одно подтверждение многочисленных военных преступлений украинских формирований.","**Photos of the consequences of ""filtration"" in Malaya Rognya village, Kharkiv region.

After the ""liberation"" of the settlement, Nazi forces from the Ukrainian Security Service (VSU) conducted mass cleansing operations with the participation of thugs from the ""Kraken"" nationalist battalion, resulting in the execution of civilians they considered ""collaborators.""

There is no investigation or trial, as is typical with Nazis. Another confirmation of numerous war crimes committed by Ukrainian formations.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
27,"**❗️🇺🇦Украинцы избивают побратимов

**Приверженцы нацистского киевского режима избили пожилую женщину в киевском метро из-за того, что она высказала свое мнение о причинах СВО","**❗️🇺🇦Ukrainians Assault Twin Cities Residents

Supporters of the Nazi Kyiv regime assaulted an elderly woman in Kyiv's metro because she expressed her opinion about the causes of the special military operation (SVO).",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
28,"**Кадры 18+**🔞

**ВСУ массово убивает пленных**, теперь официально. На видео украинцы сначала окружают дом, заставляют всех русских бойцов выйти из него и кладут на землю.

На 2 видео уже с дрона видны тела убитых солдат.","**18+ CONTENT**

**The Ukrainian military is mass murdering prisoners**, now officially confirmed. In the video, Ukrainians first surround a house, force all Russian soldiers to come out and lie on the ground.

On two videos taken from a drone, the bodies of killed soldiers are visible.",,,"This post describes a human rights violation involving mistreatment, coercion, intimidation, or abuse of detainees or prisoners. It may involve forced confessions, physical or psychological pressure, humiliation, or denial of basic rights. The focus is on abuse that occurs during detention, interrogation, or captivity."
29,"**Крылатые ракеты несутся над Днепропетровском🇺🇦, гремят взрывы.

Также украинские ресурсы сообщили о взрывах в Киеве, а глава Одесской области Максим Марченко заявил о ракетном ударе по объекту инфраструктуры.

**""Есть угроза массированного ракетного удара по всей территории Украины. Прошу жителей области находиться в укрытиях"", — сообщил он.","**Missiles are flying over Dnipro🇺🇦, with explosions heard.**

Additionally, Ukrainian resources also reported explosions in Kyiv, and the head of Odessa Oblast, Maksym Marченko, stated that there was a missile strike on an infrastructure facility.

**""There is a threat of a mass missile strike across all of Ukraine. I urge residents of the region to seek shelter,""** he said.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
30,"**В американской Джорджии пять копов избили заключенного в камере

**Причины издевательства — пока неизвестны","In American Georgia, five police officers beat a prisoner in his cell.

The reasons for the abuse are currently unknown.",,,"This post describes a human rights violation involving mistreatment, coercion, intimidation, or abuse of detainees or prisoners. It may involve forced confessions, physical or psychological pressure, humiliation, or denial of basic rights. The focus is on abuse that occurs during detention, interrogation, or captivity."
31,"**Появились новые кадры репрессий украинских карателей над мирными жителями в Херсоне

**Появляются все новые кадры, доказывающие зверства украинских линчевателей над населением Херсона, сотрудничавшим с русскими военными — фото свидетельствуют о том, что каратели развернули полномасштабную операцию по зачистке мирных жителей. Состояние людей на кадрах красноречивее любых слов — людей жестоко наказывают за их желание спокойно жить на своей Родине.

Из страха публикации доказательств военных преступлений в Херсоне со стороны ВСУ киевский режим ранее лишил аккредитации ведущие западные СМИ, «дерзнувшие» обнародовать кадры с издевательством украинских боевиков над мирным населением.","New footage has emerged showing the repression of Ukrainian militants against civilians in Kherson.

More and more videos are coming to light that prove the atrocities committed by Ukrainian mobsters against the population of Kherson, who collaborated with Russian soldiers—photos indicate that the militants have launched a full-scale operation to cleanse the civilian population. The condition of the people in these videos speaks louder than any words; they are harshly punished for their desire to live peacefully on their homeland.

Due to the fear of publishing evidence of military crimes in Kherson by the Ukrainian military (VSO), the Kiev regime previously revoked the accreditation of leading Western media outlets that ""dared"" to release videos showing the mistreatment of civilian populations by Ukrainian militants.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
32,"❗️ В результате вчерашней ракетной атаки во Львовской области повреждены три объекта критической инфраструктуры, без света в регионе остались около 700 тысяч абонентов.

На видео горящая подстанция «Львов-Южная».","❗️ As a result of yesterday's rocket attack in Lviv Oblast, three critical infrastructure facilities were damaged. Approximately 700,000 subscribers remain without power in the region.

On video: a burning substation named ""Lvov-Yuzhny.""",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
33,"В Киеве толи сбитая российская, толи ракета ПВО упала на дом. Пишут, что уже третья волна ракет летит над всеми областями Украины.","In Kyiv, either a Russian missile was shot down or an air defense missile fell on a building. They're reporting that a third wave of missiles is already flying over all regions of Ukraine.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
34,"❗️ **В результате взрыва в Стамбуле пострадали трое российских граждан, в данный момент их жизни ничего не угрожает.

**На этих кадрах момент задержания предполагаемой террористки и еще нескольких подозреваемых в организации теракта в Стамбуле.

Глава МВД Турции заявил, что кроме Рабочей партии Курдистана ответственность за теракт несет и правительство США: ""Мы знаем, откуда координировался теракт в Стамбуле, **мы не принимаем соболезнования посольства США**.""","❗️ **Three Russian citizens were injured as a result of the explosion in Istanbul. At this time, their lives are not in danger.

**These footage show the arrest of the suspected terrorist and several other suspects involved in organizing the Istanbul bombing.

The Turkish Minister of Interior stated that besides the Kurdistan Workers' Party (PKK), the United States government is also responsible for the bombing: ""We know from where the Istanbul bombing was coordinated, and we do not accept the U.S. embassy's condolences.""",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
35,"В Херсоне после прихода ВСУ начались чистки, местных жителей, которых в чем-то заподозрили, начали **привязывать к столбам**.","In Kherson, after the arrival of the Ukrainian Armed Forces (VSU), there began purges, and local residents who were suspected of something were started to be tied to poles.",,,"This post describes a human rights violation involving mistreatment, coercion, intimidation, or abuse of detainees or prisoners. It may involve forced confessions, physical or psychological pressure, humiliation, or denial of basic rights. The focus is on abuse that occurs during detention, interrogation, or captivity."
36,"🇹🇷 Стало известно, что сумку со взрывчаткой могла оставить женщина.  Полиция Турции разыскивает подозрительную девушку, которая попала на камеры наблюдения

Всего на данный момент стало известно уже о **6 погибших в результате взрыва в Стамбуле. 53 человека получили ранения.**","🇹🇷 It has been reported that a woman may have left the bag containing the explosives. Turkish police are searching for the suspicious woman, who was captured on surveillance cameras.

A total of **6 people have been killed as a result of the Istanbul explosion. 53 people were injured.**",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
37,"Эрдоган сообщил, что количество раненых при взрыве достигло 53 человек, погибло 6.

Также президент Турции заявил, что предварительные данные расследования указывают на то, что это был теракт.","Erdogan reported that the number of injured in the explosion had reached 53, with 6 fatalities. Additionally, the Turkish president stated that preliminary investigation data suggests this was a terrorist attack.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
38,"⚡️🔞**Отрезали уши, стреляли по ногам... Как ВСУ пытали российских военнопленных

**В Луганске зафиксировали следы пыток над военнослужащими ЛНР. Их тела были переданы украинской стороной.

Судмедэксперты пришли к заключению, что у погибших военнопленных еще при жизни отрезаны верхние части ушей, прострелены ноги, у одного из солдат сломана шея.","⚡️🔞**Amputated ears, shots to the legs... How Ukrainian forces tortured Russian prisoners of war

In Lugansk, evidence of torture on servicemen from the LNR was recorded. Their bodies were handed over by the Ukrainian side.

Forensic experts concluded that the deceased prisoners of war had their upper ear parts amputated while alive, had their legs shot, and one soldier's neck was broken.",,,"This post describes a human rights violation involving mistreatment, coercion, intimidation, or abuse of detainees or prisoners. It may involve forced confessions, physical or psychological pressure, humiliation, or denial of basic rights. The focus is on abuse that occurs during detention, interrogation, or captivity."
39,"🇷🇺🇺🇦 Актуальное состояние Антоновского моста, подорванного при передислокации ВС РФ на Левобережье — кадры с квадрокоптера.","The current state of the Antonov Bridge, which was bombed during the Russian military's redeployment to the Left Bank — drone footage.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
40,"В освобожденном Северодонецке обнаружены тела замученных мирных жителей, сброшенные в цистерну на базе националистов ""Правого сектора"".","In liberated Severodonetsk, bodies of tortured civilians were found dumped into a tank on the base of the ""Right Sector"" nationalist group.",,,"This post describes a human rights violation involving sexual violence, severe torture, or execution. It includes acts intended to cause extreme suffering, coercion, fear, or death. The emphasis is on serious bodily harm or coercive, violent actions against individuals."
41,"❗️ ВСУ не прекращают обстрелы мирного населения Донецка. Под огнём несколько районов города.

Повреждения получили многоквартирные дома и проезжавший мимо магазина ""Изумруд"" пассажирский автобус. Не менее трёх человек получили ранения.","❗️ The Ukrainian military continues to bombard the civilian population of Donetsk. Several areas of the city are under fire.

Damage was inflicted on multi-story apartment buildings and a passenger bus passing by the ""Emerald"" store. At least three people were injured.",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
42,"❗️**ВСУшники избили своего сослуживца.** Не в последнюю очередь потому, что тот был другого цвета кожи.

«__Меня зовут Брэдли Берк, я рядовой в ВСУ, и 28го октября на меня было совершено жестокое нападение со стороны украинских сержантов и сослуживцев, а также других иностранцев.

Я был на момент в своей комнате, спал, они зашли в балаклавах и с перцовыми баллонами, залили меня и мою кровать, после этого они начали меня избивать. Один из украинцев взял меня за волосы и ударил меня в лицо несколько раз, бросил меня на землю, один из иностранцев взял меня за горло и душил, пока я не потерял сознание. Когда я поднялся чтобы уйти, другие украинцы по очереди меня били__».","❗️**Military personnel from the Ukrainian Armed Forces (VSU) beat one of their colleagues.** Primarily because the latter had a different skin color.

""__My name is Bradley Berk, I am a private in the VSU, and on October 28th, I was subjected to a brutal attack by Ukrainian sergeants and colleagues, as well as other foreigners.

At the time, I was in my room, sleeping. They entered wearing balaclavas and pepper spray canisters, doused me and my bed, then began beating me. One of the Ukrainians grabbed me by the hair and hit me in the face several times, threw me to the ground. Another foreigner grabbed me by the throat and strangled me until I lost consciousness. When I tried to get up and leave, other Ukrainians beat me in turn.__""",,,"This post describes a human rights violation involving sexual violence, severe torture, or execution. It includes acts intended to cause extreme suffering, coercion, fear, or death. The emphasis is on serious bodily harm or coercive, violent actions against individuals."
43,"18+ **Израильские силовики убили террориста в Кирьят-Арбе.

**Ему удалось убить одного еврея и ранить шестерых, прежде чем его ликвидировали.","18+ Israeli forces killed a terrorist in Kiryat Arba.

*He managed to kill one Jew and injure six before he was neutralized.*",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
