,Index,Post,Trans,Label,Type,Severity,Confidence,Explanation
10,6911,"**Київ: найважливіше за тиждень **🔵🟡

🏭**Київ у посиленому режимі готується до опалювального сезону. **Гідравлічні випробування в столиці вже на фінальній стадії. Проводять інспекції стану системи електропостачання, що виконує функції резервної для обігріву помешкань. Також у місті збільшують кількість спецтехніки для стабільного проходження опалювального сезону.

🏫**У столиці проінспектували підготовку закладів освіти до нового навчального року. **Батьки столичних школярів можуть обрати форму навчання своїх дітей та змінити вибір протягом навчального року. До початку навчального року мають бути підготовлені абсолютно всі освітні установи Києва.

👧🏻**Київський міський центр реабілітації дітей з інвалідністю надає послуги дітям з родин вимушених переселенців.** За два місяці роботи на обліку Центру додалося 500 нових дітей, чверть із яких – внутрішньо переміщені особи. Центр суворо дотримується вимог воєнного стану і під час повітряної тривоги усі підопічні та фахівці спускаються до укриття, де можуть продовжувати заняття.

🥖**Соціальні служби вже роздали більше 18 тисяч продуктових наборів, які підготував Гуманітарний штаб Києва. **У столиці вже підготовлено 100 тисяч продуктових наборів для переселенців. Гуманітарний штаб Києва за потреби в найкоротший термін готовий підготувати необхідну кількість додаткової гуманітарної допомоги.

🅿️**У столиці тимчасово не стягується оплата за паркування на муніципальних майданчиках.** Ці зміни відображені у додатку «Київ Цифровий». Перед тим, як відновити плату за паркування, столична влада повідомить містян завчасно.

**Детальніше:** https://cutt.ly/bXtbnKb

**Kyiv. Highlights of the week** 🔵🟡

🏭**Kyiv is making enhanced efforts to prepare for the heating season. **Hydraulic tests in the capital are already in their final stage. In addition, Kyiv is conducting inspections of the electrical supply that acts as a reserve for heating apartments. The city is also increasing the amount of special vehicles used to ensure that the heating season takes place without issues.

🏫**Kyiv inspected the preparation of educational institutions for the new school year. **Parents can choose how their child will study: Offline, online, or home-schooled, and change their choice during the year. All educational institutions in Kyiv must be prepared by the beginning of the school year.

👧🏻**The Kyiv City Rehabilitation Center for Children with Disabilities is providing services to kids from internally displaced families. **Within 2 months of work, 500 new children were registered at the Center, including 125 internally displaced kids. The Center strictly follows the requirements of martial law, and in case of air raid sirens, kids and specialists head to the shelter.

🥖**Social services have distributed over18,000 food kits prepared by Kyiv’s Humanitarian Headquarters. **The city has 100,000 food kits ready to provide to internally displaced persons. In case of need, Kyiv’s Humanitarian Headquarters is ready to prepare the necessary amount of the additional humanitarian aid ASAP.

🅿️**Parking in city parking lots will be temporarily free. **These changes are reflected in the Kyiv Digital (Київ Цифровий) app. The city authorities will notify citizens in advance before resuming payment for parking.

**More details: ****https**://cutt.ly/bXtbnKb",,,,,,
11,6912,"🐶**У День ветеринара 14 серпня у столиці пройде безкоштовний тренінг із надання першої допомоги тваринам

**✔️Тренінг розпочнеться об 11:00 у тимчасовому притулку для тварин «Виставковий центр».

🐕‍🦺Захід безкоштовний, участь у ньому можуть взяти всі охочі разом із домашніми улюбленцями.

✔️Після тренінгу учасники зможуть отримати безкоштовну консультацію ветеринара щодо догляду за тваринами, вакцинації та будь-яких інших питань, пов’язаних зі здоров’ям улюбленця.

**🐾Місце проведення:** вулиця Академіка Глушкова, 1, 16-ий павільйон, тимчасовий притулок для тварин «Виставковий центр».

📸**Фото:** Badahos.",,,,,,
12,6913,"[​​](https://telegra.ph/file/26857991c1fcc06998a72.jpg)Друзі! Поспілкувався з мером Берліну Францискою Гіффай. 

Перш за все, подякував за допомогу, яку надає Німеччина Україні та Києву. Зокрема, Берлін з перших днів широкомасштабного вторгнення росії прийняв багато біженців з України. І на сьогодні тимчасовий притулок там мають понад 100 тисяч українців.

Також я підкреслив, що не розумію і не поділяю позицію канцлера Німеччини Олафа Шольца, який не підтримує призупинення видачі шенгенських віз росіянам. Але ж російські громадяни воюють в Україні, знущаючись та вбиваючи мирних українців, дітей, знищуючи наші міста та села. Російські громадяни, в більшості, підтримують політику путіна і його криваві імперські амбіції. 

Обговорили з мером Берліна і загрози медіавійни, яку веде росія проти України та Європи. І оскільки кібербезпека є критично важливою  сьогодні, ми домовились із Францискою Гіффай про співпрацю наших міст у сфері діджиталізації.",,,,,,
13,6914,"🧑🏻‍🚒**Піротехніки КАРС обстежили території 5 навчальних закладів у Пущі-Водиці** **на наявність вибухонебезпечних предметів

** ✔️Підрозділ піротехнічних робіт КАРС «Київська служба порятунку» проводить роботи з обстеження на наявність вибухонебезпечних предметів територій закладів освіти Пущі-Водиці. 

✔️Піротехніки відпрацювали 18 виїздів та обстежили території 2 дошкільних та 3 загальноосвітніх навчальних закладів загальною площею 12,8 га. 

 💥У період із 11 квітня до 19 травня піротехніки КАРС у співпраці з Мобільним рятувальним центром швидкого реагування ДСНС здійснили 29 виїздів на територію Пущі-Водиці та виявили понад 20 вибухонебезпечних предметів.

✔️Загалом від початку повномасштабного вторгнення в Україну піротехніки «Київської служби порятунку» здійснили 90 виїздів на обстеження територій на наявність вибухонебезпечних предметів.

[❗️Що робити, якщо ви виявили вибухонебезпечний предмет](https://t.me/KyivCityOfficial/3498)",,,,,,
14,6915,"[​​](https://telegra.ph/file/8d72a66a23dc0b937c4c5.jpg)**⛈Сьогодні в Києві очікуються грози – Укргідрометцентр

**❗️Під час сильного вітру необхідно триматися подалі від рекламних щитів, ліній електропередачі, дерев, а також не паркувати поряд із ними автотранспорт.

✔️Під час грози на місцях можливих підтоплень дорожньої мережі чергуватиме спецтехніка КК «Київавтодор». Загалом підприємства «Київавтодору» мають 91 одиницю спецтехніки і спецзасобів для ремонту та очистки системи зливової каналізації. Серед них мотопомпи, гідромонітори, насосні станції.

📞У разі підтоплень проїжджої частині чи тротуарів звертайтесь до диспетчерської: 044-284-74-19.

🚒При падінні дерев чи гілок, при травмуванні людей тощо негайно інформувати екстрені служби: 101 або 103. Телефон КАРС: 044-430-37-13.",,,,,,
15,6916,"[​​](https://telegra.ph/file/471c2eae7b4689738deb3.jpg)**Київ: важливе на сьогодні** 🔵🟡

🪖**Посольство Ізраїлю в Україні передало столиці 50 тисяч пакунків готового харчування. Місто передасть їх на потреби ЗСУ. **Місто вдячне Ізраїлю за підтримку, яку він надає Україні та Києву від початку широкомасштабного російського вторгнення.

🖥**Мережа кабін безкоштовних юридичних відеоконсультацій відновила роботу в приміщеннях райдержадміністрацій.** Прийом заявників триває у будні з 09:00 до 15:00. Консультації надають фахівці-юристи Контактного центру міста Києва 15-51.

🦺**У Києві в процесі проведення гідравлічних випробувань виявили та усунули майже 1700 аварій на теплових мережах. **Зараз активно відновлюється робота теплових джерел після проведених робіт, як і постачання гарячої води людям.

**Детальніше:** https://cutt.ly/hXwdNti

**Kyiv: important news** 🔵🟡

🪖**The Embassy of Israel in Ukraine gave the capital 50,000 packs of ready-made food, which the city gave to meet the needs of the Armed Forces of Ukraine.** The city is grateful to Israel for the support it has provided to Ukraine and Kyiv since the beginning of the large-scale Russian invasion, which includes hundreds of tons of humanitarian and medical aid.

🖥**The network of free legal video consultation booths resumed operations at district state administration buildings.** Those needing assistance are accepted on weekdays from 9:00 to 15:00. Consultations are provided by specialized lawyers from the City of Kyiv's 15-51 Contact Center.

🦺**During hydraulic tests in Kyiv, almost 1,700 issues were detected and repaired in heating pipe networks. **Heat sources are being put back into operation, and the hot water supply is being returned to people after the completion of work.

**More details: ****https**://cutt.ly/hXwdNti",,,,,,
16,6917,"[​​](https://telegra.ph/file/7255badbf7676feb46d20.jpg)🖥**У приміщеннях райдержадміністрацій відновили работу кабіни відеоконсультацій

✔️**Кияни можуть отримати фахову допомогу із різних галузей права. Зокрема, у сферах земельних питань, житлово-комунального господарства, соціального та пенсійного забезпечення.

📁У кожній кабіні розміщено тач-скрін монітор для відеозв’язку з юрисконсультом та камера-сканер для сканування документів. 

✔️Прийом заявників триває у будні з 09:00 до 15:00.

**Адреси:

▫️Голосіївська РДА**: просп. Голосіївський, 42
▫️**Дарницька РДА**: вул. О. Кошиця, 11
**▫️Деснянська РДА**: просп. В. Маяковського, 29
▫️**Дніпровська РДА**: б-р Праці, 1/1
**▫️Оболонська РДА**: вул. Маршала Тимошенка, 16
▫️**Печерська РДА**: вул. М. Омеляновича-Павленка, 15
**▫️Подільська РДА**: Контрактова площа, 2
▫️**Святошинська РДА:** проспект Перемоги, 97
**▫️Солом’янська РДА:** просп. Повітрофлотський, 41
▫️**Шевченківська РДА:** вул. Богдана Хмельницького, 24.",,,,,,
17,6918,"[​​](https://telegra.ph/file/ded7c87780e122a8a1a6d.jpg)Друзі! Зустрівся з Надзвичайним і Повноважним Послом Держави Ізраїль в Україні Міхаелем Бродським. Посольство передало Києву 50 тисяч пакунків готового харчування, з нагріваючими елементами. Місто передасть їх на потреби Збройних Сил України, нашим захисникам. Така допомога - реалізація домовленості столиці та Посольства Ізраїлю в Україні. Всі набори харчування готувалися в Польщі. 

Ми вдячні Ізраїлю за підтримку, яку він надає Україні та Києву від початку широкомасштабного російського вторгнення. – Це сотні тонн гуманітарної допомоги, медична допомога. А також в рамках проекту Mashav - підготовка наших фахівців-психологів для роботи з українцями, які постраждали від війни. 

Обговорили з Міхаелем Бродським і співробітництво щодо створення реабілітаційних центрів в Україні. Також пан Посол зазначив, що Ізраїль прийматиме поранених українських захисників, зокрема, тих, кому потрібне протезування. Прийматимуть і дітей з онкологією. 

Ми вдячні нашим ізраїльським друзям за підтримку та партнерство!",,,,,,
18,6919,"🦺**«Київводоканал» ліквідовує пошкодження водопроводу на вулиці Генерала Алмазова

**🚰У  зв’язку із ліквідацією пошкодження на магістралі діаметром 600 мм на вул. Генерала Алмазова, 12 тимчасово припинено водопостачання за адресами: вул. Ковніра, 3; вул. Генерала Алмазова, 9, 1.

💧Окрім того, понижено тиск водопостачання на вулицях Звіринецька та Джона Маккейна.

✔️На місці працює аварійна «Київводоканалу».",,,,,,
19,6920,"[​​](https://telegra.ph/file/0cf5b2d14ed96ef2ae2ad.jpg)**Київ: важливе на сьогодні** 🔵🟡

🏫**До нового навчального року в умовах воєнного стану готуються 1252 освітні установи. **Батьки столичних школярів можуть обрати форму навчання своїх дітей та змінити вибір протягом навчального року. 

**🚨У Києві збільшують кількість спецтехніки для стабільного проходження опалювального сезону. **Місто готується до важкого зимового періоду. Поряд із плановими роботами та поточними ремонтами  оновлюють кількість спеціалізованої техніки для обслуговування житлових будинків. 

**🚇Завтра містяни можуть взяти участь у безпекових тренінгах за участю рятувальників, саперів, медиків і психологів на одній зі станцій метро. **Тренінги триватимуть із 11:00 до 15:00 у вестибюлі станції метро «Героїв Дніпра». Приєднатися до навчань можуть усі охочі, попередня реєстрація не потрібна.

**Детальніше:** https://cutt.ly/iZ4VRsg

**Kyiv: important news** 🔵🟡

🏫**1,252 schools are preparing for the new academic year under martial law. ** Parents of schoolchildren in the capital can choose the teaching format for their children and change their choice during the school year.

**🚨Kyiv increases the number of specialized vehicles to foster a smooth heating season. **The city is preparing for a harsh winter. It's important for emergency repair services to work quickly and efficiently.

**🚇Tomorrow, Kyiv residents can take part in safety training sessions with rescue workers, sappers, medics, and psychologists at a metro station.** Training sessions will continue from 11:00 to 15:00 in the vestibule at the Heroiv Dnipra metro station.
Anyone can join the training. No prior registration is required.

**More details:** https://cutt.ly/iZ4VRsg",,,,,,
20,6921,"🧑🏻‍🏫**Батьки столичних школярів можуть обрати форму навчання своїх дітей та змінити вибір протягом навчального року

**❕Примушення до тієї чи іншої форми навчання в столиці не буде. Батьки самі обиратимуть, як навчатиметься дитина: офлайн, онлайн чи за індивідуальною формою. Змінити форму навчання дитини можна і протягом навчального року.

🏫До нового навчального року в умовах воєнного стану готуються 1252 освітні установи. Більшість шкіл знаходиться в процесі обрання формату навчання. На їхні рішення місто очікує протягом 10 днів.

✔️Усі міські програми, які направлені на безпеку дітей та викладачів, у тому числі облаштування укриттів та забезпечення пожежної безпеки, збережені у повному обсязі. Роботи за цими програмами тривають і будуть завершені вчасно. 

✔️До початку навчального року мають бути підготовлені абсолютно всі освітні установи Києва.",,,,,,
21,6922,"**Київ: важливе на сьогодні** 🔵🟡

🤝**Третій Vcentri HUB: У Голосіївському районі облаштували безкоштовний громадський простір. 

**🏭У столиці триває перевірка стану електричного обладнання та мереж до роботи в опалювальний сезон. Сьогодні перевірили житлові будинки і трансформаторну підстанцію в Печерському районі.

🦍У київському зоопарку можна привітати горилу Тоні з днем народження, розмалювавши святкову листівку.


**Детальніше:** https://cutt.ly/gZ0a7bu

**Kyiv: important news** 🔵🟡

🤝**Third Vcentri HUB: free public space set up in Holosiivskyi District.

**🏭Electrical networks and equipment are being checked in Kyiv. Residential buildings and a transformer substation have been inspected today in the Pechersk District of Kyiv. 

🦍Congratulate Tony the gorilla in the Kyiv Zoo by coloring a greeting card . 

**More details:** https://cutt.ly/gZ0a7bu",,,,,,
22,6923,**🍇У Києві цього тижня тривають продуктові сільськогосподарські ярмарки – ****https://cutt.ly/oZNOakR**,,,,,,
23,6924,"**Київ: важливе на сьогодні** 🔵🟡

🅿️У столиці тимчасово не стягуватиметься оплата за паркування на муніципальних майданчиках.

💚**У Києві з початку року висадили 2 800 дерев, понад 22 тисячі кущів і понад 5 мільйонів квітів.

**⛹🏼До дитячого оздоровчого табору в Естонії  на відпочинок відправилися 44 дитини з родин, які постраждали від війни.

👼🏻За 165 днів повномасштабної війни в Києві народилися 6 367 малюків.

**Детальніше:** https://cutt.ly/EZVqGjk

**Kyiv: important news** 🔵🟡

🅿️Parking in city parking lots will be temporarily free.

💚**Since the beginning of the year, 2,800 trees, 22,000 bushes, and 5 million flowers have been planted in Kyiv**.

⛹🏼44 children from families affected by the war went to a children's health camp in Estonia.

👼🏻6,367 babies have been born in Kyiv in 165 days of full-scale war.

**More details:** https://cutt.ly/EZVqGjk",,,,,,
24,6925,"[​​](https://telegra.ph/file/630be070511eb74a93caa.jpg)🅿️**У столиці тимчасово не стягуватиметься оплата за паркування на муніципальних майданчиках

**✔️У столиці тимчасово призупинено оплату паркування на майданчиках КП «Київтранспарксервіс». 

📲Ці зміни відображені у додатку «Київ Цифровий». 

✔️Такий тимчасовий захід пов’язаний із судовим процесом щодо вартості паркування, який наразі триває.

🦺Інспектори з паркування не штрафуватимуть водіїв за несплату паркування.

❗️Місто закликає автовласників паркуватися відповідно до Правил дорожнього руху, у спеціально відведених для цього місцях. Адже за порушення правил дорожнього руху передбачені штрафи, які ніхто не скасовував.

✔️Перед тим, як відновити плату за паркування, столична влада повідомить містян завчасно.",,,,,,
25,6926,"**👼🏻 За 165 днів повномасштабної війни в Києві народилися 6 367 малюків

**✔️ Із 24 лютого у столиці народились 6 367 малюків:   3 379  хлопчиків та 2 988 дівчаток. Серед новонароджених – 127 двієнь і трійня.

🥂За цей час у столиці одружилися 12 529 пар.",,,,,,
26,6927,"**🚧13 серпня з 10:00 до 18:00 під шляхопроводом біля станції метро «Нивки» частково обмежать рух транспорту

**🦺 Під шляхопроводом на перетині просп. Перемоги і вул. Щербаківського перевлаштують тимчасові опори. Роботи виконуватимуть у суботу, щоб менше впливати на трафік. 

❕На самому шляхопроводі рух не обмежуватимуть. 

 🚎 У зв’язку з роботами також можлива тимчасова зміна в маршрутах тролейбусів.",,,,,,
27,6928,"**Київ: важливе на сьогодні** 🔵🟡

👩‍⚕️Вимушені переселенці у столиці отримують необхідну медичну допомогу безкоштовно та безвідмовно.

👷‍♂️Триває ремонт вулиці Шовковичної. Дорожники оновлюють бруківку на ділянці від вулиці Дарвіна до вулиці Басейної. 

🦙У столичному зоопарку поповнення у родині альпак. 

👩‍🚒Для містян провели безпекові тренінги за участю рятувальників, саперів, медиків та психологів.

**Детальніше:** https://bit.ly/3zX8gZV

**Kyiv: important news** 🔵🟡

👩‍⚕️ Internally displaced persons receive the necessary medical care for free and upon request.

👷‍♂️ The renovation of Shovkovychna Street in Kyiv is underway. Road workers are renewing the cobblestone from Darwin Street to Baseina Street. 

🦙 Kyiv Zoo has a new addition to the alpacas family. 

👩‍🚒Rescue workers, sappers, medics, and psychologists have held security training for Kyivans.

**More details:** https://bit.ly/3zX8gZV",,,,,,
28,6929,"⛈**У** **Києві в найближчу годину очікується гроза – Укргідрометцентр

**❗️Під час сильного вітру необхідно триматися подалі від рекламних щитів, ліній електропередачі, дерев, а також не паркувати поряд із ними автотранспорт.

✔️Під час грози на місцях можливих підтоплень дорожньої мережі чергуватиме спецтехніка КК «Київавтодор». Загалом підприємства «Київавтодору» мають 91 одиницю спецтехніки і спецзасобів для ремонту та очистки системи зливової каналізації. Серед них мотопомпи, гідромонітори, насосні станції.

📞У разі підтоплень проїжджої частині чи тротуарів звертайтесь до диспетчерської: 044-284-74-19.

🚒При падінні дерев чи гілок, при травмуванні людей тощо негайно інформувати екстрені служби: 101 або 103. Телефон КАРС: 044-430-37-13.",,,,,,
29,6930,"🚃**6 серпня через ремонт трамвайних колій змінять маршрути трамваї №№ 8-К, 28-Д

**❌Із 10:00 до закінчення робіт (орієнтовно до 16:00) рух на ділянці від трамвайного розворотного кільця на вулиці Анни Ахматової до станції метро «Позняки» буде закрито. 

✔️Рух трамваїв буде організовано:

▫️**№ 8К** – від вулиці Павла Усенка (Дарницьке ТРЕД) до Харківського масиву
▫️**№ 28Д** – від вулиці Милославської до Харківського масиву.

📲Нагадуємо, що сервіс руху міського транспорту є у [застосунку «Київ Цифровий».](https://t.me/KyivCityOfficial/4498)",,,,,,
30,6931,"[​​](https://telegra.ph/file/e2b174bac9b5095f5d7a1.jpg)**Київ: важливе на сьогодні** 🔵🟡

👶🏻Соціальні служби столиці за підтримки Гуманітарного штабу Києва передали багатодітним сім’ям столиці 2400 продуктових наборів від товариства Червоного хреста України. 

🥖У Києві також триває видача продуктових наборів вимушеним переселенцям. Зареєструватися на отримання допомоги можна в одному з міських Центрів надання адміністративних послуг.

🏭У столиці провели гідравлічні випробування на 83% тепломереж і теплоджерел. Наразі комунальне підприємство «Київтеплоенерго» поступово відновлює роботу низки об’єктів та гаряче водопостачання споживачам.

**Детальніше: **https://cutt.ly/aZAGGza

**Kyiv: important news** 🔵🟡

**👶🏻**Kyiv’s social services, with the support of the Humanitarian Headquarters, have handed over 2,400 food kits from the Ukrainian Red Cross Society to multi-child families. 

**🥖**Kyiv continues providing internally displaced persons with the food kits. Register in one of the city’s Administrative Service Centers to receive it.

**🏭**Durability tests have been completed for 83% of heating networks and heat supply stations in Kyiv. Kyivteploenergo is gradually restoring the operation of some facilities and hot water supply to consumers.

**More details:** https://cutt.ly/aZAGGza",,,,,,
