Post,Label,Type
"Here's the translation:

""There are even interviews with Ukrainian prisoners of war in Telegram channels now. Propagandists will start saying that interviewing prisoners of war and fighters from Kiev regime formations is content from movie studios like Mosfilm. Another well-worn tactic. I remember how materials from the Donetsk airport were called staged. And then, indeed, Ukraine was shocked by the burial lists.

The Kiev regime continues to use the people of Ukraine as docile puppets.""

Note: The username @epoddubny at the end is kept as is, since it appears to be a Twitter handle or similar identifier.",No,
"**Экстренно создали канал** [ПУЛЯ](https://t.me/+mfWU_vRz0ms2YzYy) ,** где рассказывают всю правду о спецоперации на Украине и все что происходит в мире.

**__Такое точно не покажут в СМИ и ТВ__!

**Поддержите наших ребят** - https://t.me/+mfWU_vRz0ms2YzYy",No,
"**Вот как выглядит зона покрытия украинского БПЛА с радиусом в 1000 км по мнению немецкого OSINT-аналитика ""Tender""

**Бавовне быть.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
"🇬🇧British PM Boris Johnson came to Kyiv for Independence Day and met with Zelenskyy.

🇬🇧Премьер-министр Великобритании Борис Джонсон приехал в Киев на День Независимости и встретился с Зеленским.",No,
"Во Франции нигга зашёл в католическую церковь во время мессы, **надавал по тыкве священнику, украл Библию и спокойно ушёл.

**Очень толерантно",No,
"Ermat and Kim do not particularly believe in the withdrawal of Russian troops from Kherson.

[Informant] (https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe] (https://t.me/+LV7tr2_vgu02NjAy)",No,
"Joe Biden's situation remains stable.

This time, the problems arose after his speech at the Global Fund conference on fighting HIV. After his speech, the US president tried for a few seconds to find an exit and again reached out to his ghostly apparitions.",No,
"СК России занялся расследованием фактов вербовки неонацистами подростков на Украине.

Начиная с 2015 года боевики «Азова»* создавали детские «военно-патриотические» лагеря, где детям в возрасте от семи лет внушались неонацистские взгляды. С детьми проводили военную подготовку, в том числе обучение снайперской стрельбе.

В распоряжении Следкома есть видеоматериалы, на которых подростки участвуют в военных действиях на стороне националистических бандформирований и занимаются поджогами жилых домов.

@epoddubny",No,
"**❗️Explosions reported in Lviv

**[Source](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
"**У столиці почали лікувати 400-літню липу Петра Могили

**🌳Роботи масштабні, тому можуть тривати кілька днів.

✅Першочергово слід очистити рану, яка утворилася на зламі дерева. Після її оброблять фунгіцидом, влаштують пасивний дренаж рани та накладуть сітку на отвір, щоб туди не потрапляло сміття та не призводило до гниття деревини.

✅Наступним кроком буде санітарна розвантажувальна обрізка гілок, щоб липа могла тримати рівновагу.

💚Потім встановлять тимчасову опору, що підтримуватиме найважчі гілки. Згодом її приберуть, а дерево зафіксують за допомогою спеціально розробленої системи динамічного каблінгу.

**__Фото: КО «Київзеленбуд»__**",No,
"We have reasons to be proud. Watch until the end 🇺🇦

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
Осознание у украинок через 3...2...1...,No,
"The aid from the Russian Humanitarian Mission has reached Svatove—a city on the border of Kharkiv and Luhansk regions. Currently, the settlement is hosting refugees from Rubizhne and Severodonetsk.

People there need everything—food, medicine, clothing. Baby supplies are also needed.

@epoddubny

***
We are collecting funds to provide assistance to the population of Donbas and other liberated regions of Little Russia.

I personally oversee the transfer of funds to the Russian Humanitarian Mission fund and the E. Glinsky Fund.

Bank card: 2202 2032 5864 7967 (MIR)
YooMoney: 41001302265551
Bitcoin: bc1qava2vg3wgx8fvrxqeull77xy359yqrexwsuu80
Ethereum: 0x47D9b99b239aEE283ba10d8D4D6c2269b22b5208
Ripple: rfmFjVDUa7z1a2XC74yQp",No,
"⚡️**Reznikov: In early January, Russia will close its borders, declare martial law, and initiate a new wave of mobilization.**

The Ukrainian Defense Minister urged Russians to avoid mobilization at all costs to save their lives. He also added that travel abroad will be closed in Belarus.

⚡️Резников: В начале января в России закроют границы, объявят военное положение и начнут новую волну мобилизации.

Министр обороны Украины призвал россиян любой ценой избегать мобилизации, чтобы спасти свои жизни. Он также добавил, что выезд за границу будет закрыт и в Беларуси.",No,
У мэра Белгород-Днестровского🇺🇦 (Одесская область) сегодня выдался не лучший день 😁,No,
"**⚡️**⚡⚡**Attention!

❗️Curfew from 8 PM to 7 AM.

❗️Public transportation operates from 8 AM to 7 PM.
**
❗️Shops, retail chains, and pharmacies operate from 8 AM to 7 PM.",No,
"**❗️Ukraines' energy company Ukrenergo has declared a state of emergency, reports the press service.

As a result of rocket attacks by Russia, more than 50% of the consumption of the Unified Energy System was lost.

[Source](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
"**❗️Тревога по всей территории Украины. Есть пуски. Не игнорируйте

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
"Metro operates in transportation mode: how trains run

🔴**Red Line:** from ""Shulyavska"" station to ""Universytet"" station

🔵**Blue Line:** from ""Heroiv Dnipra"" station to ""Teremky"" station. No stops at ""Maidan Nezalezhnosti"" and ""Lvivska Square"" stations.

🟢**Green Line:** from ""Syrets"" station to ""Vydubychi."" No stops at ""Sport Palace,"" ""Klovskaya,"" and ""Zoloti Vorota"" stations. Also operating the section from ""Slavutych"" to ""Chervonohutir.""

❗️**Approximate interval of operation: 40 minutes.

✔️Please note that the operating schedule may change promptly as needed.

✔️Metro stations also continue to operate as shelters.

❗️We ask you not to go outside or travel around the city unless it is absolutely necessary.",No,
"На протяжении лета Киев накапливал «лучшие силы» для тех самых контрнаступов и «перелома хода военных событий» в Донбассе и на южном фронте. Именно поэтому в предыдущие месяцы на ЛБС сотнями перемалывались свежемобилизованные и малообученные хлопцы из тероброны. «Элиту» Киев берег и режим засыпал телами мобилизованных ЛБС в Донбассе.

За последние трое суток часть из этих «лучших сил», обученная и экипированная по стандартам НАТОвского мира, действительно вступила в бой и кое-где потрепала нервы нашим военным.

Однако, войска были брошены отборные, а результат их действий не оправдал ожидания киевского режима.

Зазвучали нотки пессимизма и в голосах западных военных экспертов. Колумнисты WP считают, что у ВСУ крайне мало шансов на успех на южном направлении, а потому ставка будет сделана не только на дальнобойное высокоточное западное оружие для ударов по российским тылам, но и на ведение Украиной партизанских действий.

Речь идет о подготовленных США ""Украинских силах специальных операций"" (SOF), которые, в свою очередь, обучили «роты сопротивления», состоящие по большей части из жителей Херсона, Запорожья и Донбасса.

Подготовкой «партизан» США занимались с 2014 года, и, по утверждению главы командования специальных операций ВС США Ричарда Кларка, они «нарастили возможности в ведении боевых действий и в проведении информационных операций».

@epoddubny

[https://t.me/milchronicles/1068](https://t.me/milchronicles/1068)",No,
"⚡️🚇**Technical issue on the red metro line resolved**

✔After canceling the air evacuation, trains will run from ""Akadememystechko"" station to ""Lisova"" station.

❗Remember that during an air evacuation, train movement on ground sections is halted, while underground stations function as shelters.",No,
"**Ого. В Карабахе азербайджанцы начали протесты против российских ""миротворцев""

**Они требуют остановить ""незаконную эксплуатацию месторождений на территории региона"".

Сообщается, что активисты заблокировали въезд в зону ответственности руснявых миротворцев, ставят там палатки, с разных городов подтягиваются люди.

Руснявым шавкам нигде не рады.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
"This is Bakhchysaray — anti-aircraft defenses were also operating here from early morning, and local residents have already found shell fragments on the ground.

Meanwhile, city residents reported that there were no explosions on the ground (photos of this ""explosion"" were published by pages and media), all shells were shot down in the air.",No,
"❕**Київ створює координаційний гуманітарний штаб для забезпечення продуктами харчування та найнеобхіднішим усіх, хто цього потребує

**Місто хоче сконтактувати тих, хто потребує допомоги, та тих, хто може її надавати.

Завтра буде запущено електронну платформу, на основі якої бізнес зможе подати інформацію про наявні у нього ресурси, а кияни зможуть повідомити про свою потребу.

Уся зазначена інформація буде систематизуватись для ефективної комунікації та розподілення найнеобхіднішого.

[🔺Контактна інформація Гуманітарної платформи (попередньо).

](https://docs.google.com/document/d/1_-Cyy1d666GsZDjYxGZv6gSDKjlqnA7W/edit?usp=sharing&ouid=115708859181033947942&rtpof=true&sd=true)[🔺Орієнтовний перелік найнеобхіднішого на найближчий час.

](https://docs.google.com/document/d/17GJHQTfj2CR-PrakwuMIueYdNBLN5LY9/edit?usp=sharing&ouid=115708859181033947942&rtpof=true&sd=true)✔️Грошові кошті для придбання продуктів харчування та іншого необхідного можна переказати на рахунки благодійного фонду «Майбутній Київ» за реквізитами:

БО «Благодійний Фонд «Майбутній Київ», ЄДРПОУ 39365432
UA 91 3808 0500 0000 0026 0054 5755 9 - UAH
UA 13 3808 0500 0000 0026 0034 5756 2 - EUR
UA 87 3808 0500 0000 0026 0044 5756 1 - USD

**Деталі тут:** https://cutt.ly/5P7Z9fH",No,
"Держите свои шишки, пацаны!

Работяга из Украины бросил свою старую жизнь, перебрался в Нидерланды и стал... бабой с хуем трапом по имени Джулия Харденберг.

Изи вариант не получить повестку, запоминайте",No,
"**Недоумок в интернете притворялся бойцом ""Азова"" и оскорблял Россию**.

Однако сетевой ""боец"" не предполагал, что его речи обнародуют в сети интернет. В итоге его вычислила полиция - оказалось, что этот дебилоид из Воркуты.

В конце видео традиционные извинения.",No,
"In Odessa, a gymnast was spotted here and there.",No,
"**Так шо там**, **Ковель, Сарны, оборону держите уже? Как слышно?

**Берегитесь «петушиного десанта»🤡
**
**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
"**Центр Киева без света выглядит так. Всё равно очень красивый

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
"In German stores, an unspecified gender Santa Claus has appeared.

A German is outraged that homosexuals have encroached on something sacred.",No,
"**Окрестности Бахмута сейчас выглядят так: повсюду валяются трупы оккупантов

**Ежедневно русня пытается штурмовать позиции ВСУ и наши бойцы превращают это мясо в удобрения.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
"Дорогі друзі! Кияни!
 
Ситуація у нас складна. Ворог – на підступах до столиці.
 
Наші збройні сили, бійці тероборони героїчно б’ються за нашу землю.
 
Ми готуємося обороняти Київ.
 
Зведені укріплення на в’їздах в місто. Встановлені блокпости.
 
Я закликаю всіх зберігати витримку. Не виходити без крайньої потреби на вулиці. За сигналу тривоги перебувати в укриттях.
 
Всі об‘єкти критичної інфраструктури працюють. Громадський транспорт працює в обмеженому режимі до 19:00.
 
З 20:00, нагадаю, комендантська година. Всі – залишаються вдома або в укриттях! По місту пересувається тільки транспорт зі спец перепустками від військового коменданта Києва! Триває комендантська година до 8 ранку.",No,
"Propagandists are openly preparing for war with NATO, despite previously claiming they could take Kyiv in three days.

There were also tales that Poland is already preparing to attack Kaliningrad.

[Source](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
"Today in Ukraine, no emergency power outages are forecasted from 8:00 to 24:00 — [Ukrenergo](https://t.me/Ukrenergo/1708). It is stated that only scheduled outages will occur.

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
"Zaluzhny first added, and then almost immediately removed a very interesting photo.

Alongside Zeleboi, honoring the victims in Babiy Yar with patches from the SS ""Totenkampf"" division on the background and the biowaste from Navoz who published a video of dropping innocent victims' bodies into a pit, the picture is quite intriguing. No, there is no Nazism in Ukraine, just as there is no common sense.

A Russian warrior, remember that you are fighting not only against morons, but also against pronounced bipolar disorder....",No,
Ебанутая мамаша отлупила своего ребёнка в лифте,No,
"Прилет по Киеву попал на видео.

@sashakots",No,
"More than 120 rockets have been launched across Ukraine—Podolyak. Explosions are reported in Kyiv, Lviv, Kharkiv, and Odessa.",No,
"**Украденный орками в Херсоне украинский енот родину не предаёт: он пытался совершить ""диверсию"" и едва не откусил коллаборанту Сальдо палец

**Так держать, солдат💪🏻

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
This channel cannot be displayed because it was used to spread pornographic content.,No,
The guy who fled from Ukraine to Germany is fighting on behalf of Russia.,No,
"**⚡️В направлении Киевской области летят ракеты, — сообщает глава ОВА

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
"Friends! The history of our city is the history of each one of us. With sorrow and joy. With daily work and pleasant rest. With struggles and victories. We defend our capital together, making it better and more beautiful.

Kyiv — the heart of Ukraine. And it always beats unyieldingly and victoriously!

Happy Birthday, Kyiv!
Glory to Ukraine!",No,
"❗️ Reactive artillery is a scary thing. And in the strike-reconnaissance complex, it's also very effective.

When a division of the LNR Army works in tandem with a drone, effectiveness increases by an order of magnitude, and civilian objects are less likely to be hit.

But in Donbas, the main thing is to quickly change positions. The enemy reacts quickly and quite accurately, which must be acknowledged.

By the way, according to our data, the artillerymen of the regime formations complain about the American 155-mm howitzers M777. They say they arrived without the digital equipment that turns even not-so-good guns into decent artillery. In their modified version, these howitzers are worse than Soviet 152-mm guns. The resource life is low, and they are very temperamental. The Americans supplied modern weaponry to Afghanistan, but Washington cares for and respects Ukraine less than Afghanistan. That’s the way it is, guys.

@epoddubny",No,
"Несмотря на угрозу окружения противник продолжает заводить в Северодонецк дополнительные силы и средства. Переброшено минимум два свежих батальона из состава соединений территориальной обороны, бронетехника. Артиллерия киевского режима работает с западного берега Северского Донца.

@epoddubny",No,
"‼️**Завдяки небайдужим містянам «банки одягу» столиці наповнені

**❤️На сьогодні потреба в одязі та постільній білизні закрита повністю завдяки допомозі киян та роботі Гуманітарного штабу. **Дякуємо, що тримаєтеся разом!

**У разі, якщо потреба в поповненні «банків одягу» з’явиться знову, міська влада обов’язково повідомить про це .

🥾Раніше повідомлялося, що Територіальні центри приймають одяг для вимушених переселенців та осіб, які опинилися в складних життєвих обставинах:

▫️Київський міський територіальний центр соціального обслуговування – вул. Котельникова, 32/11

**▫️Голосіївський район **– вул. Л. Толстого, 25/2

▫️**Дарницький район** – вул. Вербицького, 9-і

**▫️Деснянський район** – вул. Будищанська, 4

▫️**Дніпровський район** – вул. Курнатовського, 7-А

**▫️Оболонський район** – вул. Озерна, 18-А

**▫️Печерський район** – вул. Бойчука, 11-А

**▫️Подільський район** – вул. Братська, 15/9

▫️**Святошинський район** – вул. Жмеринська, 22-А

**▫️** **Солом’янський район** – вул. Волинська, 2

▫️**Шевченківський район** – вул. Білоруська, 11-Б.

**✔️Просять передавати речі чистими, після прання.**",No,
Во Франции красиво,No,
"**Повестки из военкомата, которые шлют через соцсети или мессенджеры**, не имеют юридической силы и отсутствие реакции на них не влечет за собой никакой ответственности — РБК",No,
"Natasha now has twice as many children as before—two of her own and two from her deceased brother. Her son, Valera, is severely wounded and will need multiple surgeries.

Denis has a son and a daughter; both children are injured. Their mother died in front of their eyes.

Galina has a son with an amputated leg and a surviving middle daughter. The father of the children is deceased. The eldest daughter also died, shielding little Rslan.

Sergei, Kirill, and Demian lost an arm each during an attack.

Dima and Sasha lost a leg each.

Amelia, Katerina, Lyudmila, and Sofia will never be able to rid themselves of the horrific scars on their faces or bodies.

These children and their surviving parents have nowhere to return to.

Currently, 84 people are under the care of the foundation in Moscow. Survivors.

They have nowhere to go. They trust that the ""Doctor Liza"" foundation will help them survive. And we know you all will help them.

Please help!

We urgently need long-term housing for these families. Funds for medical treatment and prosthetics. Assistance with employment for the parents. Nannies for the disabled children.

And any other way to",No,
"**""I had a bowel movement... I'm telling you literally — I pooped.""

The cross-country skiers in Sherегеш experienced unforgettable sensations during their escape from an avalanche.",No,
"Война на северном фасе Донбасской дуги, представляет собой взаимный обмен артиллерийскими ударами, авианалеты, масштабное минирование всего что можно и нельзя заминировать и короткие стрелковые бои на кинжальной дистанции.

Стрелковые бои происходят в основном в густых лесных массивах,где зачастую уже в 50 метрах не видно ничего. Автоматные и пулемётные очереди вылетают из зелёнки, отчетливо слышны голоса противника. Опорные пункты врага в лесах при особо удачном стечении обстоятельств, в упор расстреливаются танком прямой наводкой. При неудачах, боевая машина подрывается на минах или получает несколько попаданий ПТУРами.

Никакой манёвренной войны на пикапах по типу сирийской, на данном ТВД провести невозможно. Пикапы будут обнаружены на лесных дорогах ( в поле съезжать нельзя, все поля усыпаны минами) и по ним тут же наведётся   артиллерия и минометы противника, отработает ПТУР, плотный пулемётный огонь добьёт выживших.

Самое удачное сочетание, это МРАП (Тайфун в различных модификациях),БТР, танк. Броня прикроет от кассет и минометов, «тридцатка» и танковое орудие позволит быстро подавить или уничтожить огневую точку противника.

Сторонников лихих атак на не бронированных уазиках, привезут по частям уже после первой атаки. Как говорят те, кто ездил на передовую на небронированой машине ( в том числе ваш покорный слуга): «после обстрела, я обозначил себя коричневой ракетой». Коричневой ракетой вполне можно обозначиться даже находясь в броне, что уж говорить про бронекартон.",No,
"Vladimir Vladimirovich, forgive me?",No,
"In Odessa 🇺🇦, the city day celebration wasn't without incidents.",No,
"Reports again of artillery shelling in the central districts of Donetsk.

Also, Ukrainian military forces fired on the territory of the city's main enterprise, the Donetsk Metallurgical Plant. There are injured.",No,
"**Russia threatens to demolish the Katyn memorial**

In response to the dismantling of Soviet monuments in Poland, Russia threatens to demolish the Katyn memorial—the burial site of over 22,000 Polish soldiers and officers executed by the NKVD in 1940. Equipment has already been brought to the memorial site.",No,
"**Electricity has been restored in residential buildings in Kherson for the first time in a long while.** The photo is published by the Office of the President.

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
"С утра ВСУ бьют из РСЗО по селу Еленовка. Именно там располагается СИЗО, куда доставили часть сдавшихся накануне «азовцев».

По последним данным с позиций в Новомихайловке киевские боевики выпустили по Еленовке 10 ракет из Бм-21 «ГРАД».

@epoddubny",No,
"**Another angle on the damaged birds: they say Russia's just ""slightly damaged the hull.""**

**Especially satisfying is the bloodshed among the orcs. This means that the russophiles didn't even make it to our territory before dying.**

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
"**⚡️Two explosions were reported in the capital. Preliminary report: 4 rockets intercepted, — KGV Agency

[Source](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
"**Гуманітарний штаб Києва потребує волонтерів на склади з продовольством та волонтерів-фармацевтів

**💊Волонтери-фармацевти працюватимуть із партіями медикаментів, які поступають до Києва

➡️Щоб стати волонтером гуманітарного штабу, потрібно заповнити форму для волонтерів: https://cutt.ly/SAvnmOR

❕Міська влада також закликає мережі приватних аптек організувати роботу, аби кияни мали доступ до медикаментів. Для цього бізнесу також треба звернутися до [гуманітарного штабу.

](https://potreby.kyivcity.gov.ua/)➡️Мапа Гуманітарних штабів — https://cutt.ly/0AjSQya",No,
"🌲**У Києві висадили близько півгектара нового лісу

**✔️Сьогодні на території Дарницького лісопаркового господарства висадили 5 тисяч сіянців ялини. Це дуже важлива робота для відновлення київських лісів.

▫️Київські лісопаркові господарства активно допомагають Збройним силам України, надаючи деревину, пиломатеріали, зокрема для зведення захисних споруд.

✔️Одночасно місто відновлює зелені території. На сьогодні у столичних лісах вже висадили понад 40 тисяч сіянців лісових порід дерев.",No,
"**""I talk to mud as I please.""**

**In Asbest (Sverdlovsk Oblast), Dmitriy Alexandrin's 21-year-old son, Yegor Alexandrin, referred to people as ""mud"" and their cars as buckets. According to him, talking to ""ordinary people"" is beneath his dignity.**

**This year, Yegor plans to become a city councilor, just like his father. His first interaction with voters didn't go well.**",No,
"In St Petersburg, a guy parked his car in the middle of the road so his woman could conveniently load things. After people started honking at him, he got very upset and shot into the air.",No,
"⚡️**Илон Маск все-таки купил Twitter

**""Вход в штаб-квартиру Twitter"", – написал он на своей странице и опубликовал соответствующее видео. Статус в Twitter также сменил — на Chief Twit.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
Donbass. Artillery positions of the Ukrainian Armed Forces being targeted by mortar crews.,No,
