,Post,Trans,Label,Type_Expanded
19,"⚡️** Зеленский: Украина идет к победе, о которой мечтал Бандера.**",⚡️** Zelensky: Ukraine is moving towards the victory Bandera dreamed of.**,No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
20,"Ну хоть честно

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Here's the translation:

""At least honestly

[🔞 Follow Daily Awesomeness](https://t.me/zvoinaukraina)""

Note: The original text contains inappropriate content and a link to a potentially offensive Telegram channel.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
21,"-Подождите, а что это у вас на носу?

-Сопля?

-Нет, Новый год!

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","- Wait, what's that on your nose?

- A booger?

- No, it's New Year!

[🔞 Subscribe to Daily Awkwardness](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
22,"**После смерти путина будет еще одна война с россией**, – Арестович.

__«У нас народ думает, что смерть путина – это конец всему. Абсолютно не так... Это будет хуже, чем с путиным».__

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","**Arrestovych said: After Putin's death, there will be another war with Russia.**

""Many in our country believe that Putin's death marks the end of everything. Absolutely not... It will be worse without Putin.""

[🔞 Subscribe to Daily Horror](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
23,"**Минобороны РФ сообщило в своем тг канале, что калибры никогда не закончатся.**

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","The Russian text translated to English is:

**The Russian Ministry of Defense announced in its Telegram channel that the calibers will never run out.**

[🔞 Subscribe to Daily Horror](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
24,"Снова рубрика «Очаровательная Америка». 😍

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Again, the category ""Charismatic America"". 😍

[🔞 Subscribe to Daily Horror](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
25,"В Красногорске мужчина перекрестился и пошел красть с ели, установленной в подъезде, новогодние украшения.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","In Krasnogorск, a man crossed himself and went to steal New Year decorations from an evergreen tree installed in the entrance.

[🔞 Subscribe to Daily Shock](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
26,"Вкусно и точка

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Yummy and that's it

[🔞 Subscribe to Daily Horror](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
27,"**Байден Валерьевич родился 1 декабря в Хмельницкой области**

Украинская семья дала имя своему новорожденному сыну — фамилию американского президента

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","**Biden Valeriyevich was born on December 1 in the Khmelnytskyi Oblast.**

The Ukrainian family named their newborn son after the American president using his last name.

[🔞 Subscribe to Daily Awesomeness](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
28,"🇺🇦🇷🇺 Выключатель света

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Light switch

[🔞 Subscribe to Daily Horror](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
29,"**«Ахмат сила»

**В Одессе на квартирной вечеринке Украинская молодежь обозначили, на чьей они стороне.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","**Ahmat Strength**

In Odessa at a rented apartment party, Ukrainian youth made it clear on which side they stand.

[🔞 Subscribe to Daily Horror](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
30,Новогодняя ёлочка в Узбекистане это отдельный вид искусства 🤩,A Christmas tree in Uzbekistan is a form of art in itself 🤩,No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
31,"**В Кокшетау 15-летний малец разогнал бродячих собак, которые напали на кота.

**Хвостатый в тяжёлом состоянии — повреждены органы и лапки. Ему вкололи обезбол и кровоостанавливающие препараты

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","In Kokshetau, a 15-year-old boy drove off some stray dogs that attacked a cat.

The feline is in critical condition—its organs and paws are injured. It was given painkillers and clotting agents.

[🔞 Subscribe to Zvo纳尼？这个翻译好像有点问题，特别是最后的链接部分。让我们重新整理一下：

在科克舍套，一名15岁的男孩赶走了几只袭击了一只猫的流浪狗。

这只毛茸茸的小家伙状况危急——它的内脏和爪子都受了伤。它被注射了止痛药和止血剂。

[🔞 关注今日雷人事件](https://t.me/zvoinaukraina)

这样修改后，句子更通顺，信息也更加清晰。",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
32,"В китайской провинции Чжэцзян за сутки коронавирусли заболело более миллиона человек

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","In the Chinese province of Zhejiang, more than one million people tested positive for coronavirus in a day.

[🔞 Subscribe to Daily Greed](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
33,Почувствуй эту боль,Feel this pain.,No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
34,"В индийском штате Ассам леопард устроил охоту на людей.

Не менее 15 человек получили ранения.","In the Indian state of Assam, a leopard went on a human-hunting spree, injuring at least 15 people.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
35,"😕 На Западе появился какой-то ёбнутый тренд пугать своих детей Гринчем — сначала всё проходит мило, а потом залетает этот зелёный гоблин и отбирает у Санта-Клауса подарки, попутно пугая микрочелов

детская психика вышла из чата 🫡","😉 In the West, there's some crazy trend of scaring kids with the Grinch story—everything starts off cute, but then this green hobbit shows up and steals Santa's presents, scaring the hell out of them in the process.

Child psychology has exited the chat 🫡",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
36,"Бахмут, вид от первого лица со стороны ВСУ 🇺🇦","Bakhmut, first-person view from the side of Ukrainian Armed Forces 🇺🇦",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
37,"🇷🇺** Президент России Владимир Путин создал новую должность своего первого заместителя в военно-промышленной комиссии России.

**Пост заместителя президента в военно-промышленной комиссии займет **Дмитрий Медведев.

**Как считаете заслуженно Дмитрий Анатольевич получил такую важную должность?

👍 - Да Медведев идеально подходит на эту должность

👎 - Стоит рассмотреть другие варианты

🔥- Регулярно читаю Телеграм Медведева и считаю, что лучшего человека на эту должность не найти.

[**Не ZабыVай**](https://t.me/ne_zabivai) — Поздравляем с новой должность Дмитрий Анатольевич!","**RU** President of Russia Vladimir Putin created a new position of his first deputy in the Military-Industrial Commission of Russia.

**Dmitry Medvedev will take the post of deputy president in the Military-Industrial Commission.**

**Do you think Dmitry Anatolyevich deserves such an important position?**

👍 - Yes, Medvedev is ideal for this position

👎 - Other options should be considered

🔥- I regularly read Medvedev's Telegram channel and believe there is no better person for this role.

[**Don't Forget**](https://t.me/ne_zabivai) — Congratulations on your new position, Dmitry Anatolyevich!",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
38,"**Жена Криштиану Роналду подарила своему мужу** на Рождество Rolls Royce Dawn.

Его цена составляет примерно 428 тысяч баксов.","Cristiano Ronaldo's wife gave him a Rolls Royce Dawn for Christmas. The car is worth approximately 428,000 dollars.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
39,Шутка пошла не по плану,The joke didn't go as planned.,No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
40,"**❗️🇺🇦Киевляне ночью устроили протесты против отключения электричества

**В соцсетях сообщили, что на месте протестов была стрельба. Обстоятельства неизвестны.","**❗️🇺🇦Kyiv residents held protests against electricity cutoffs at night

Social media reports indicate that there was gunfire at the protest site. The circumstances are unclear.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
41,"Подарок на фронт

Это глушитель ? 😁","Translation:

Gift for the front

Is this a silencer? 😁",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
42,"**«Тварь, деньги выдай, соска йобана»

**В Одессе🇺🇦 пьяный мужик ломится в банк во время тревоги чтобы получить деньги, но всё оказывается не так просто, как он планировал","**""Monster, give me the money, fucker's nipple""

In Odessa 🇺🇦, a drunk man rushes to the bank during an alarm to get some money, but it turns out to be much more complicated than he planned.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
43,"В Индии 19-летняя девушка заявила своему парню что пора женится, реакция вышла неадекватная. Еблана уже задержала полиция","In India, a 19-year-old girl told her boyfriend it was time to get married, and his reaction was inappropriate. The man has already been arrested by the police.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
44,Проукраинскую бабку🇺🇦 выкинули за шкирку из автобуса в Долгопрудном🇷🇺,"A pro-Ukrainian grandmother was pulled out by her hair from a bus in Dolgoprudny, Russia.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
45,Трюк не удался,The trick didn't work.,No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
46,Лайфхаки для новогодних праздников,Tips for New Year holidays,No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
47,"В Питере полицейские задержали 31-летнюю мать-закладчицу, которая несла с собой 5 килограмм мефедрона.

Дома у матери года обнаружили еще 322 готовых закладок весом 6 килограмм. Ранее она работала учителем ОБЖ, а теперь ей грозит до 20 лет тюрьмы по нескольким статьям.

Казалось бы всего-то яжемать","In St. Petersburg, police arrested a 31-year-old mother who was carrying 5 kilograms of methamphetamine. At her home, they found an additional 322 prepared drug drops weighing 6 kilograms. Previously, she worked as an OBE (Physical Education and Health) teacher, but now she faces up to 20 years in prison on multiple charges.

It seems like just a single mother.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
48,Коротко о погоде на улице,Briefly about the weather outside.,No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
49,"Ой, фильтр слетел","Oh, the filter fell off.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
50,🇺🇦 Группа ВСУ прочёсывает местность.,The Ukrainian Armed Forces are sweeping the area.,No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
51,"❗️Ликвидирована украинская ДРГ, которая пыталась проникнуть в Брянскую область – ФСБ

Кадры не для слабоневных - боевики в количестве четырех штук были уничтожены. С собой у них были 4 бомбы на 40 кг в тротиловом эквиваленте и немецкие пистолеты-пулеметы SIG Sauer.","❗️A Ukrainian special operations group that tried to infiltrate Bryansk Oblast has been liquidated by the FSB.

Gory scenes not for the faint of heart: four operatives were eliminated. They had four bombs with an explosive power equivalent to 40 kg of trinitrotoluene (TNT) and German SIG Sauer machine pistols.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
52,"К важным новостям:

Киркорова обосрал кролик во время съемок новогодней передачи.

Спасибо за внимание","To the important news:

A rabbit shat on Kirкоров during the filming of a New Year's TV show.

Thank you for watching.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
53,Что могло пойти не так?,What could have gone wrong?,No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
54,Дед мороз на разных языках,Santa Claus in different languages,No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
55,"👀 **Спойлер на 2023: **в Южной Корее по тревоге подняли вертолеты, истребители и ПВО** из-за дронов из Северной Кореи.

**Пишут, что беспилотники из КНДР **нарушили воздушное пространство Южной Кореи** и дошли до окрестностей Сеула. Это привело к приостановке гражданского авиасообщения.

Есть информация, что самолет КА-1, который отправили южнокорейцы, **потерпел крушение.**","👀 **SPOILER for 2023:** In South Korea, helicopters, fighter jets, and air defense systems were mobilized due to drones from North Korea.

It's reported that the unmanned aerial vehicles (UAVs) from North Korea (DPRK) violated South Korean airspace and approached the outskirts of Seoul. This led to the suspension of civilian air traffic.

There is information that the South Korean aircraft KA-1 **crashed.**",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
56,Достойный подарок девушке к Новому году.,A worthy gift for a girl for New Year.,No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
