,Post,Trans,Label,Type,Index
435,"**Глава СНБО Украины Данилов – о мирных переговорах с Россией

**""Мы показали всему миру, что не нужно бояться тех, кто 30 лет пугали мир, что они такие сильные и с ними надо считаться. Их просто нужно уничтожить, чтобы они перестали существовать как страна в тех границах, в которых они существуют. Потому что на сегодняшний день Россия является одной из немногих стран, которая имеет колонии на своей территории, уничтожившей огромное количество народов, языков, культур, традиции. Они просто варвары. И когда говорят, что с этими варварами мы должны садиться за один стол и что-то говорить, то вообще считаю, что это недостойно будет"".


**""Это все брехня, вранье"" — Дмитрий Медведев прокомментировал разговоры европейцев о том, что на Украине нет нацизма

**Зампред Совета безопасности РФ назвал откровенной ложью попытки европейских должностных лиц закрыть глаза на нацистов и их преступления на Украине. Медведев заявил, что на Украине сейчас есть откровенные убийцы, доказательства преступлений которых ""необходимо сохранить для потомков"", чтобы потом не было возможности ""брезгливо отвернуть лицо"", игнорируя жестокость киевского режима.

@VoinaNaUkraine","**Head of the Ukrainian SNBD Danilov  about peace talks with Russia **""We showed the world that we should not be afraid of those who have scared the world for 30 years, that they are so strong and they should be treated as such. We just need to destroy them so that they cease to exist as a country within the borders in which they exist. Because today Russia is one of the few countries that has colonies on its territory that have destroyed a huge number of peoples, languages, cultures, traditions. They are just barbarians. And when they say that with these barbarians we should sit at the same table and say something, they think it will be unworthy"". **""Every lie, every lie""  Dmitry Medvedev later denied the European authorities' comments that the Ukrainians were ignoring the face of the Nazi regime and that there was no evidence to prove that the Ukrainians were ""criminally cruel"". **The Ukrainian authorities have now ""no chance to prosecute the crimes of the Soviet Union"". **",,,
436,"**Двенадцатидневная война (часть I)**

После официальной приостановки боевых действий между Израилем и Ираном было справедливо выдержать некоторую паузу в текстах, дабы лучшим образом вынести ряд выводов из произошедшего.

Было бы заманчиво сказать, что Иран одержал верх в этом раунде: формально Тегеран не допустил развития наиболее негативных военных сценариев (связанных, например, с восстаниями и попытками свержения власти), продемонстрировал уязвимость Израиля перед ответными военными мерами и даже сохранил активы ядерной программы.

Однако это утверждение – ложь. Иран добился ряда тактических успехов, но проиграл войну, отказавшись от её продолжения.

На протяжении 40 лет иранское военное строительство опиралось на идею недопущения повторения сценария краха своего ближайшего соседа – Ирака. Иранцы, впрочем, воспринимали опыт Саддама Хусейна весьма специфично, акцентируя внимание исключительно на вторжении США в 2003 году и последующей оккупации Ирака. Все события до того момента ими игнорировались, и сейчас мы видим тому подтверждение.

После поражения 1991 года Саддам Хусейн не потерял власть – его режим был более чем крепок и устойчив, и просуществовал на протяжении следующих 12 лет. Мятежи военных жестоко подавлялись, оппозиция отсутствовала, более того – иракцы были готовы воевать вновь, что показала многолетняя партизанская война против американской оккупации. Проблема заключалась в том, что к вторжению 2003 года Вашингтон подходил последовательно и осторожно: вначале разгром иракской армии в Кувейте, затем десять лет санкций и эмбарго, и, что самое главное – легитимизация постоянных ударов по территории Ирака, которые шли на протяжении всех 90-ых под предлогом уничтожения «средств производства оружия массового поражения» (можно сказать, беспорядочные бомбардировки страны стали чем-то вроде привычки всех американских президентов того периода).

Что-то напоминает, верно? Ведь на пороге аналогичного сценария в данный момент находится и Иран.

Тегеран длительное время формировал набор военных активов, рассчитанных на ведение затяжных боевых действий. Точнее было бы выразиться, что этот набор активов представлял собой значимую угрозу для любого желающего вторгнуться в Иран, т.е. служил не столько средством подготовки к войне, сколько средством сдерживания. Тем не менее, все необходимое для того имелось: запасы вооружений, мобилизационный ресурс, защищенная инфраструктура (в т.ч. производственная, пусть и частично) и даже национальный и патриотический подъем у населения на фоне нападения.

Тегеран вполне мог позволить себе продолжение боевых действий, сохраняя паритет с Израилем. Возможности обороны воздушного пространства у обеих стран были весьма ограниченные, но вот возможности применения средств воздушного нападения – весьма широкие.

У ИРИ был шанс убедительной демонстрации своих военных возможностей, восстановления авторитета де-факто распавшейся «Оси сопротивления», привлечения сторонних инвестиций и помощи – но для этого требовалось вести войну. Проявлять твердость и жестокость, тем более что едва ли будущее Исламской Республики сулит ей некие светлые перспективы в условиях «мирного» времени.

Но, как только в Израиле стали осознавать все ужасы перспективы продолжения затяженых боевых действий... Иран фактически сдался, согласившись на немедленное перемирие.

Имея качественно сформулированную военную стратегию, способность переносить тяжелые удары, необходимые активы и преимущества для нанесения неправимого ущерба врагу, Иран проиграл войну, отказавшись ее продолжать.

**@atomiccherry** 💯","**Twelve-day war (part I) ** After the official suspension of hostilities between Israel and Iran, it was only fair to take ten pauses in the texts to better draw a number of conclusions from what happened. It would be tempting to say that Iran won the round: formally Tehran prevented the development of the most negative military scenarios (mainly related to, for example, the U.S.-led uprisings and attempted overthrow of the government), demonstrated Israel's vulnerability to retaliatory military measures and even maintained the nuclear program's assets. However, this claim was a lie. Iran achieved a number of tactical successes, but after losing its entire army, it refused to continue its war.",,,
437,"По данным разведки Донецкой Народной Республики, украинские вооруженные формирования в ближайшее время планируют совершить массированные обстрелы из «Градов» и другого тяжелого вооружения жилых кварталов Краматорска, Славянска, Артемовска, возможно, Мариуполя и других населенных пунктов Донбасса, на данный момент еще подконтрольных Украине.

Целью этого преступления является обвинение в обстрелах, разрушениях жилья и инфраструктуры, возможной гибели людей подразделений Республик и России.

Убедительная просьба к жителям этих населенных пунктов укрыться в убежищах, предпринять все возможные меры безопасности, чтобы сохранить свою жизнь и здоровье.

Мы считаем все население в границах бывшей Донецкой области нашими согражданами: вы голосовали в 2014 году за независимость Донецкой Народной Республики, и нам ценна каждая жизнь!

Жестокость и циничность преступных приказов украинского режима мы испытали на себе. Поэтому повторяю: срочно примите максимально возможные меры безопасности!","According to the intelligence of the Donetsk People's Republic, the Ukrainian armed forces plan to carry out mass shelling of the residential quarters of Kramatorsk, Slavyansk, Artemovsk, possibly Mariupol and other Donbass settlements, which are currently under Ukrainian control. The purpose of this crime is to accuse the people of shelling, destruction of housing and infrastructure, possible deaths of people of the Republic and Russia.",,,
438,"РУССКИЙ ДОБРОВОЛЕЦ О 38-ми МЕСЯЦАХ В УКРАИНСКОМ ПЛЕНУ
https://www.youtube.com/watch?v=vaxpwWQESmk",A Russian Goodman about 38 months in a Ukrainian plane,,,
439,"СВО: «БОЕВОЙ ПОРОГ» ВОЮЮЩЕЙ АРМИИ И ГОСУДАРСТВА.
 
 
Вообще, у докторов, «болевой порог», это уровень раздражения нервной системы, при котором организм чувствует боль. Я, **в данном случае, как блогер**, рассуждаю о «болевом пороге» Вооруженных Сил государства. Под БП имею в виду «боль», после которой армия перестаёт сопротивляться, а в обществе возникают «астенические эмоции» – страх, беззащитность. Многие эксперты сходятся на 30% потерь, мол, при таком количестве убитых и раненых боевое подразделение (соединение, объединение) теряет боеспособность на очень длительное время – части надо уводить в тыл для отдыха и доукомплектования.
 
Если батальон изначально не готов идти в атаку, если солдаты не понимают, зачем всё это делается, тогда и двух первых убитых хватит, чтоб развернуться и бежать назад. А если убили командира – то и одного этого достаточно, уже наступает страх и ощущение беззащитности. Другой вариант, это когда батальон **раз за разом** выталкивают в атаку на убой, без разведки, разминирования, без поддержки артиллерии, да ещё соседи в бой не идут, тогда, конечно…
 
Во Вьетнаме, США, имея контингент 540 тыс. имели: боевые потери - 47 378 человек, небоевые потери -10 799 человек, 153 303 раненых, 2300без вести пропавших. Общая сумма - 213 780 человек. То есть число потерь выше 30%, но война США во Вьетнаме шла 8 лет части успевали набираться новых сил. А вот во время советско-финской войны противник, имея 600 тыс. военных потерял 250 тыс. ранеными и 60 тыс. убитыми. И эти потери привели к переговорам и потерям финских территорий.
 
Пятидневная война 080808. Принуждение Грузии к миру. Тбилиси имел 12 тыс. высоко подготовленных бойцов. Потеряли грузины 168 человек убитыми, 408 ранеными (я думаю намного больше). Сдались и отступили. Россия включила асфальтовый каток и пошла в сторону Тбилиси, противник этого не выдержал.
 
 
Украина. На момент начала СВО та страна имела 200 тыс. штатных военных, 250 тыс. резервистов. Западные спецслужбы называют потери противника в 50 тысяч военных. Министр обороны Украины Резников, приводит общие ежедневные потери ВСУ в 600 человек – 100 убитыми, и 500 ранеными. Сумасшедшие цифры (хотя, лично я уверен, они значительно занижены). Итак, при нынешних потерях Украина уже должна была капитулировать, но её спасает мобилизация и поддержка Запада.  
 
Судя по всему, Украина выбрала для себя запасной вариант, для выживания, - противник будет сражаться до конца моральных сил (наличие оружия и продуктов, на примере «Азова», роли не играет). А потом они будут сдаваться. Мы уже имеем более 6000 пленённых украинских военнослужащих, полицейских, нацгвардейцев и так далее. Это нас устраивает. Именно поэтому они не чураются котлов (ну прищучат, ну сдадимся).
 
А ещё решён вопрос с иностранцами, мы решили их принародно вешать, и это скажется на повышении болевого порога «охотников до приключений из-за рубежа». Далее, если начнут вешать и тех, кто будет уличён в военных преступлениях в Донбассе, это заставит ощутить страх и беззащитность уже украинских командиров, и это тоже играющий за нас фактор боли противника.
 
Что касается Российской армии. Проблемы есть, и мы о них знаем. И проблемы эти рождены не генетикой, а «игрой в солдатики» в мирное время. Они быстро преодолеваются вот в такой военный период. Тут нужна жёсткость (жестокость?) по отношению к ворам и очковтирателям в штабах и в тылу, а с боевыми возможностями и традициями у нас всё нормально. Чем быстрее наведём порядок в указанных мною инстанциях и областях, тем быстрее мы покатим фронт в сторону польской границы.
 
Англосаксы и их европейские рабы надеялись, что с санкциями и армадой укро-помощников мы быстро сдуемся и достигнем своего болевого порога. Не получилось, мы демонстрируем стойкость и желание победить. И мы, действительно, победим.","I, as a blogger, am talking about the threshold of the state's armed forces. By the BPL I mean the BPL, after which the army stops resisting, and there are a number of asthenic emotions in society. Many experts say that the nervous system is irritated by pain. Many experts say that the loss of 30 percent of the total number of combatants killed by this unit (without a single battle) is a huge loss. If the US forces have not yet lost a total of 150,000 men, they will have to fight against this, and if they have not yet lost a total of 150,000 men, they will have to fight, and if they have not yet lost a total of 309,000 men, they will have to fight, and if they have not yet lost a total of 150,000 men, they will have to fight, and if they have not yet lost a total of 150,000 men, they will have to fight, and if they have not yet had to fight, they will have to fight, and if they have not yet had to fight, they will have to fight, and if they have not yet had to fight, they will have to fight, and if they have not yet had to fight, they will have to fight, they will have to fight, and if they have to fight, if they have not yet had to fight, they have to fight, and if they have to fight, they have to fight, if they have to fight, they have to fight, and if they have to fight, if they have not yet have to fight, to fight, and if they have to fight, if they have to fight, if they have to fight, if they have to fight, if they have to fight, and if they have to fight, if they have to fight, if they have to fight, if they have to fight, if they have to fight, if they have to fight, and if they have not have to fight, if they have to fight, if they have to fight, if they have to fight, if they have to fight, if they have at all but to fight, if they have at all but if they have at least one, to fight, to fight, to fight, if they have at least, to fight, to fight, to fight, to fight, to fight, for their own their own their own their own their owns, and their own, and their",,,
440,"🇪🇺🏴 Сотрудники эмиратского think-tank **Trends Research and Advisory** [провели круглый стол](https://youtu.be/SSc8vkBWlhc) на достаточно важную сегодня тему: **«Братья-мусульмане» между расширением и упадком — взгляд в будущее**.

И будущее, мягко говоря, выглядит достаточно неприглядно. В который раз аналитики утверждают, что «Братья-мусульмане» — **самая прагматичная террористическая организация в мире**.

🔹 Надо продвигать точку зрения МТО и заводить неофитов? Без проблем: внедряемся в ЛГБТ-сообщества и просто предлагаем им __свою__ точку зрения на актуальные проблемы.

🔹 Все считают, что «Братья-мусульмане» проповедуют жестокость? Не вопрос: придерживаемся терминологии ультраконсерваторов и говорим, что мы тоже «очнулись» и готовы выступать против вакцинации, глобализации и чипизации. Попутно вставляем наши тезисы. Исподволь.

🔹 Кто-то заикнулся о расизме? Негодяи! Чтобы нас, мусульман, считали расистами? Мы хорошие, сейчас расскажем.

Получается так, что в некоторых странах открыто заявляют «У нас «Братьев-мусульман» нет!», пока ячейки организации мимикрируют под правых или левых активистов.

**Адепты международной террористической организации отошли от практики прямого насаждения токсичной идеологии — они её подают под соусом модных трендов.

**И это работает!

О росте влияния «Братьев-мусульман» на фоне атомизации западного общества [говорили](https://www.thenationalnews.com/world/europe/2021/10/28/muslim-brotherhoods-influence-in-europe-laid-bare/) и на ежегодной конференции в австрийской Вене.

**Основные тезисы:
**🔸 ячейки организации есть в **каждой** европейской стране, но местные правоохранительные органы **не рассматривают** их как угрозу;
🔸 у МТО не так много членов, но они **крайне влиятельны**;
🔸 попытки систематизировать деятельность исламистских НКО посредством создания «Национальной исламской карты» ([интерактивного сервиса](https://www.islam-landkarte.at/), позволяющего отслеживать активность всех политических исламистов) были дискредитированы валом критики, обвинениями в исламофобии и расизме;
🔸 деятельность ячеек «Братьев-мусульман» координирует дочерняя организация МТО —** «Совет мусульман-европейцев»**.

И все говорят о **прагматичности организации**.

Не боясь новых вызовов и очевидного провала в Египте, руководство международной террористической сети сделало выводы и начало бороться за умы неофитов по-современному.
#Европа #терроризм
@rybar","🇪 The future, to put it mildly, looks pretty unsightly. Whenever analysts say that Brothers-Muslims  is the most pragmatic toxic terrorist organization in the world.  We need to promote the MTO's viewpoint and induce neotons. We need to introduce ourselves into the LGBT community and offer a simple view of Western world issues. We need to address the issue of the current issues of terrorism. We need to talk about the issues of the world's anti-Muslims. We need to talk about the issues of the world's anti-Muslims. We need to talk about the issues of the LGBT community and the anti-Muslims. We need to talk about the issues of the world. We need to talk about the issues of the world. We need to talk about the issues of the world. We need to talk about the issues of the world. We need to talk about the issues of the world. We need to talk about the issues of the world. We need to talk about the issues of the world. We need to talk about the world. We need to talk about the world. We need to talk about the world. We need to talk about the world. We need to talk about the world. We need to talk about the world. We need to talk about the world. We need to talk about the world. We need to talk about the world. We need to talk about the world. We need to talk about the world. We need to talk about the world. We need to talk about the world. We need to talk about the world.  We need to talk about the world.  We need to talk about the world. We need to talk about the world.   We need to talk about the world.   We need to talk about the world.    We are the people.  We are talking about the world.    We are talking about the world             ",,,
441,"Братцы-кролики, всё только [начинается](https://t.me/vladlentatarsky/8247). Даже не цветочки, так, листики. Цветочки и ягодки впереди, не сомневаюсь. Без угроз и злорадства, лишь предупреждение. За жизненное пространство, особенно завоёванное предками, нужно сражаться. Это кровь, боль, потери, жесткость и жестокость. Куколдизм приведёт к финишу и русский народ, и государственность, даже такую - с элементами ограниченного (финансово, экономически и идеологически) суверенитета.","The little bunnies, it's all just [starting]https://t.me/vladlentatarsky/8247). Not even the flowers, yes, leaves. The flowers and berries are ahead, I have no doubt. No threats and malice, just a warning. For the space of life, especially that conquered by the ancestors, you have to fight. It's blood, pain, loss, hardness and cruelty.",,,
442,"В последние дни представители агрессивной русофобской интеллигенции РФ из числа деятелей культуры и искусств, как по команде, наперебой бросились выступать в поддержку белокрасноленточных протестов  в РБ. По сути, антироссийская клика, являющаяся ядром ""пятой колонны"" в РФ, в свое время ""звала к топору"" и поддерживала всех националистов в республиках, когда рушили СССР. Русофобская т.н. творческая интеллигенция, вскормленная западными подачками и обласканная российской властью от Ельцина до Путина, бессовестно купающаяся в лучах славы и бешеных денег, всячески поддерживала укромайдан и русофобию в стране.
Сегодня антироссийский прозапападный марионеточный режим в Киеве, представляющий жидобендеровское меньшинство, с особыми жестокостью и ценизмом уничтожает все русское, проливает кровь на Донбассе, нещадно угнетает русскоязычных сограждан, ведет гибридную войну против РФ. Они до сих пор не признают Крым, не приемлют Путина, не признают существования русских в РФ, хотя вынуждены говорить на русском языке.
В РФ агрессивная русофобская колонна деятелей культуры и искусств, засев в ближайшем окружении Кремля, разжигает социальную, национальную и религиозную рознь, подстрекает массовые выступления в самой России. В Белоруссии их симпатии также на стороне русофобской части массовых протестов и, прежде всего, представителей русофобского литвино-католического меньшинства, поддерживаемого спецслужбами США, Германии, Польши, Чехии, Литвы.
Российские деятели искусства и культуры, обласканные подачками Лукашенко, сегодня вовсю топят против …«Бацьки»! Известный фестиваль искусств «Славянский базар» в Витебске для них так и остался базаром, привозом, на котором можно было срубить побольше бабла. Верх цинизма! Всех этих людей в РФ, РБ, Украине объединяет не только зоологическая русофобия, неприязнь самого русского духа и языка, но и их продажная служба в общих пятых колоннах агентуры влияния ""глубинного государства"". Вместе с продажными русофобскими медиа продажные русофобы из числа деятелей науки и культуры представляют сегодня главную опасность для братских народов России, Украины и Белоруссии.","In the last days, representatives of the Russian Federation's aggressive Russophobic intelligentsia from among the cultural and artistic figures, as a team, rushed to speak out in support of the white-collar protests in the Russian Federation. In fact, the anti-Russian clique, which is the nucleus of the ""fifth column"" in the Russian Federation, at one time ""called to the axe"" and supported all nationalists in the republics when the Soviet Union was destroyed.",,,
443,"Правда шурави:

Знаете, в чем уникальная черта русских на войне?

Это не храбрость, как многие из вас наверняка сейчас подумали. Безусловно, наши воины храбры. Даже невероятно храбры. Но есть народы на поле боя не менее храбрые, чем мы. Взять тех же японцев, которых, кстати, называли «азиатскими русскими».

Наша уникальность в другом. Мы сентиментальны. Да, именно так. Причем, если у других народов, так же немыслимо сентиментальных в жизни, это качество во время войны уходит (как, например, у испаноязычных наций), то у нас — нет. У нас наоборот, во время войны это качество в чем-то даже усиливается.

Нет, мы отнюдь не плюшевые медвежата. Когда мы сражаемся, мы можем быть не только немыслимо храбрыми, но и невероятно жестокими. Но только наша жестокость другая. В ней нет ни блеска, ни искрометности. Она вырывается из нашей души, как крик отчаяния, как нечто крайнее, экстремальное.

Потому что, в отличие от других, мы ею не наслаждаемся. Мы не любим свою жестокость. Мы ее ненавидим. Наша жестокость — сквозь слезы. И горе тем, кто ее пробуждает. Именно поэтому, возможно, она невероятно сильна. Она — нечто абсолютно мрачное, хтоническое, как черный селевой поток безлунной ночью. Поток, из которого невозможно напиться, в котором невозможно искупаться, невозможно даже стоять с ним рядом. Поток, несущий лишь камни и клокочущую жидкую землю, превратившуюся в смерть. И мы побеждаем даже самых сильных врагов. Почему? Суворов сказал: «Мы — русские. С нами Бог» (с). А если так, то кого нам бояться?

Но наша жестокость только на поле боя. Она практически никогда не выходит за его пределы. Побежденный враг мгновенно перестает быть врагом, вернее - перестает восприниматься как враг. Именно поэтому мы практически никогда не добиваем своего врага. Да, мы за это расплачиваемся, но ничего не можем с собой поделать. Таковы уж мы.

Отыгрываться на поверженном враге — это не наше. Это — не по-русски. Даже понимая, что гада надо добить, мы этого не делаем. Это отвратительно нашей натуре, которая остается сентиментальной даже на войне. У НАС не принято измываться над пленными. Если для большинства других европейских народов и для всех азиатских это норма, то для нас — признак днища.

А еще у нас не принято побежденные народы растаптывать. Император Александр I не просто запретил сжигать Париж — он даже запретил взрывать мост, некогда названный в честь одной из их побед над нами. Жест абсолютно немыслимый для всех остальных. И это после того, как «цивилизованные европейцы», захватив Москву, устроили конюшню в храме, где лежали кости наших царей.

А командование советской армии приказывало расстреливать солдат за насилие и грабеж по отношению к немецкому населению тех территорий гитлеровской Германии, что были захвачены нами. И советские солдаты относились к этому с пониманием даже после того, как только что прошли по русским землям, побывавшим под гитлеровским игом, и увидели обгоревшие кости деревень, сожженных вместе с жителями, увидели концлагеря, узнали, что стало с их близкими, оставшимися на территориях, потерянных в 1941 году. Даже после этого русский солдат остался русским.

И остается всегда, даже понимая, что поверженный враг, оклемавшись, может прыгнуть снова. Что он и делает периодически. Но мы никогда не станем другими. Война — это убийство. И каждый враг моего народа, сколь бы дерзок он ни был, на самом деле знает: лучше всех на планете мой народ умеет убивать. Но мой народ этим не упивается. Для него это не радость, а тяжкая ноша. И еще он сентиментален. Да, он умеет ненавидеть своих врагов и умеет их наказывать. Но он никогда не позволит себе опуститься до их уровня. Просто потому, что мы — русские. И с нами Бог.

А это не самая высокая цена, которую можно уплатить за то, что Он с нами.

💣 @Mikle1On","Truth is Shuravi: You know what is unique about Russians in war? It is not courage, as many of you may think now. And if other nations have courage, it is not as unthinkable in life. Our warriors are brave. Even incredibly brave. But there are nations on the battlefield that are no less brave than we are. Take the same Japanese who, by the way, were called Asian Russians. Our uniqueness is in another. We said it is sentimental. Yes, it is. And if other nations have as unthinkable feelings in life, it is a quality that disappears during wartime (as, for example, the Spanish-speaking nations), it is not ours at all. On the contrary, why is it so much more intense in our wartime? Why is it that we are not able to express our hatred to the Russian? We cannot express our hatred to the enemy without crying out, because we cannot be so hated by God, but we cannot be so cruel and cruel to the enemy. But when we are in the midst of our own heart, we cannot be so cruel and so fierce in our own heart. And so, if we are not so cruel and so cruel, we cannot be so cruel as to the enemy. And so, we cannot be so cruel as to the enemy. And if we are not so cruel and so cruel, we cannot be so cruel as to the enemy. And so we cannot be so cruel as to the enemy. And so we cannot be so cruel as to the enemy.",,,
444,"Ублюдки и выродки понимают только жестокость и силу.

Видимо, им мало ударов по Одессе, Измаилу и др.

Если киевская мразь хочет устроить экологическую катастрофу в Чёрном море, она должна получить её на той части их территории, которая скоро отвалится Польше и которая будет смердеть после этого веками.

Это будет для них окончательное решение по зерновой сделке…","If the Kiev ice cream wants to cause an environmental disaster in the Black Sea, it must be on that part of their territory that will soon fall to Poland and die centuries later.",,,
445,"Данные визуального контроля, в т.ч. с камер БПЛА, подтверждают факты ТОТАЛЬНОГО мародерства, которому подвергаются оккупированные киевскими формированиями населенные пункты Курской области.

В частности, в районе частично захваченного ВСУ пригораничного райцентра г. Суджа военнослужащие противника грабят дома в поисках ценностей, уничтожается — расстреливается, закидывается гранатами, поджигается утварь, мебель и всё, что попадается под руку.

Ранее отмечены случаи вывоза имущества граждан РФ, включая бытовую технику и предметы старины, представителями ВСУ.

Украинские военнослужащие проявляют жестокость и варварство на захваченном плацдарме.

«Это не только грабеж, разорение, жажда наживы, это иррациональная жестокость, которой порой трудно дать объяснение. Просто звериная ненависть», - так прокомментировал ситуацию с действиями военнослужащих ВСУ в отношении мирного населения и гражданских объектов представитель силовых структур РФ, действующих в регионе.

@voenkorKotenok","The visual control data, including from the BPLAT cameras, confirm the facts of the TOTAL LOADERY, which occupies the population centers of Kursk region. In particular, in the area of the partly captured VSU of the Judge's Coastal District Center, enemy military personnel rob houses in search of valuables, are destroyed  shot, thrown grenades, burned utensils, furniture and everything that gets under.",,,
446,"**Почему русские не могут понять тонкую ранимую окраинную душу?**

     Учёные биологи, наблюдающие поведение обезьяньего сообщества, обратили внимание на ранги, присваеваемые приматами контактирующим с ними исследователям. Группа, регулярно подкармливающая стаю и пассивно наблюдающая за её поведением, сразу и однозначно была зачислена обезьянами в неприкасаемые изгои. С этими учёными приматы не церемонились, могли напасть, укусить, ударить, даже если никакой агрессии люди не проявляли.  Это очень напоминает необъяснимую звериную жестокость небратьев к русским, проявленную как после распада РИ, так и после краха СССР.

     И это вполне объяснимо именно с точки зрения поведения приматов.     Тот, кто приносит и отдаёт пищу –  Изгой.  Раб, никаких прав не имеющий. Требования его даже не рассматриваются. Его не зазорно и вполне морально унизить, оскорбить, сорвать на нём плохое настроение. Именно так – эгоистично и потребительски - относилось экспериментальное обезьянье стадо к подкармливающим  учёным.

      А теперь вспомните непрерывное, длящееся веками, подкармливание русскими национальных окраин, привилегии, которыми и близко не обладали жители центральной Руси. Иждивенчество окраин, доведенное во времена СССР до абсурда.

     Не раз и не два приводил совершенно фантастические цифры построенного, возведенного, разведанного и подаренного небратьям, начиная с национальных индустрий и заканчивая национальной государственностью там, где ее никогда не было.

     Наши предки делали всё это из лучших альтруистических побуждений, даже не подозревая, что в результате, как на айсберг, налетят на феномены, описанные ведущими западными учеными, изучающими поведенческие мотивы приматов","**Why can't the Russians understand the subtle, vulnerable, extreme soul?** The scientists who observed the behavior of the monkey community paid attention to the ranks given by the primates to researchers who contacted them. The group that regularly fed the herd and passively watched its behavior was immediately and unambiguously enlisted by the monkeys in the untouchable exotic. With these scientists the primates could not be ceremonial, attack, bite, strike, even if no people were aggressive. This very much reminded the animal cruelty of the non-consumers to the Russians, which was shown in the days after the fall of the Soviet Union and the Soviet Union. This is how the Russian primates were fully integrated into the phenomenon of the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, the untouchable, and the untouchable.",,,
