Sr. no.,Channel ID,Post ID,Post,HRV (Yes/No),"Type (A,B,C,D)"
11,1093357968,11644,"ЭКСКЛЮЗИВ

«Он лично привёл 14 нацистов в плен»

**Жительница Горловки **[**Вера Калмыкова**](https://t.me/MilitaryCriminal/595)**, которая воевала против ВСУ, рассказала, как погиб её сын:**

«Когда 18 лет исполнилось, он сразу пошёл на первую линию служить. Он даже меня не предупредил об этом. Он поставил перед фактом: «Ма, завтра утром я иду на службу». 

У него были осколочные ранения, контузии — даже не знаю, сколько раз. Он никогда об этом не говорил, я узнавала всё от сослуживцев, потому что он старался меня не расстраивать. 

Должны они были брать ещё одну позицию «укроповскую». Они её взяли, вчетвером её взяли. Они пришли прямо к «укропам». Но продержали они её три часа. Их просто окружили — с одной стороны около 50 человек и с другой. И их просто расстреляли. 

Его [сына] тело сфотографировали и выложили в интернет. Я надеюсь, что они его где-то, может быть, закопали. Был такой разговор, что он лежит для приманки. 

Попытки были забрать ребят, но, к сожалению, неудачно».

@MilitaryCriminal",Yes,C
12,1080134301,18411,"Российский журналист Василий Крестьянинов рассказал, что его аккаунт на «Госуслугах» **взломали и записали в добровольцы**. При этом он уехал из страны ещё в 2021 году.

Мужчина уточнил, что его аккаунт привязан к российской почте, которой он редко пользуется, как и самим порталом.",No,
13,1247556894,5207,"Вистояти - це не впасти!

Готую вислови в наступну книжку☺️",No,
14,1366346975,55580,"Санитарный автомобиль «Линза» построен на базе бронеавтомобиля «Тайфун» из зоны СВО
@Ugolok_Sitha",No,
15,1093357968,13879,"**🇷🇺🇺🇦**🛤💡** О влиянии ударов по энергетической инфраструктуре Украины на логистику ВСУ 

**С началом массированных ракетных ударов ВС РФ по энергетической инфраструктуре на Украине начались [проблемы](https://t.me/rybar/41504) с перевозкой военных грузов: причиной стали перебои с электроэнергией, осложняющие эксплуатацию электровозов. Власти уже пообещали решить проблему за счет более активного использования тепловозов.

Но насколько эти планы реалистичны? Для этого необходимо проанализировать состояние отрасли и железнодорожных перевозок в стране.
**
**▪️В** **2018 году украинский парк тягового состава включал:
 
➖**1628 **магистральных электровозов,**
**➖**680 **магистральных тепловозов, **
**➖**1258 **маневровых тепловозов.

Все они не были новыми и в разной степени требовали ремонта. 
**
**▪️На начало СВО Украина владела всего около **250 исправных магистральных тепловозов**, которые вдобавок были сильно изношены. Сейчас их стало еще меньше: в ходе боевых действий украинские железнодорожники лишились тепловозов в Попасной, Николаеве и Пологах. 

▪️Общий спад экономики страны и снижение грузоперевозок, высвободили значительную часть тепловозов под военные нужды. Но даже их **все равно не хватает** для __одновременного__ обеспечения ВСУ, поставок топлива и транспортировки зерна.
**
**▪️Ситуацию усугубляет необходимость **использовать тепловозы для внутренних пассажирских рейсов.** Она вызвана остановками магистральных электровозов на маршрутах из-за исчезновения напряжения в сети после ракетных ударов.

▪️При продолжении систематического огневого воздействия единая украинская энергосистема может развалиться, что фактически сделает **использование электровозов невозможным.** В этом случае власти будут вынуждены полностью остановить пассажирское сообщение и применять тепловозы **исключительно** для обеспечения фронта.

Вот только даже такие __вынужденные__ меры не смогут полностью исправить ситуацию из-за других серьезных проблем: **

🔻**Перевод военных поставок на тепловозы **сильно снизит темпы и объемы** доставки грузов к линии фронта из-за их меньшей средней мощности в сравнении с электровозами. Также обострится проблема дефицита дизельного топлива.**

🔻**На украинских железных дорогах, в основном, используются тепловозы **2ТЭ-116, 2ТЭ10м и 2ТЭ10у,** которые выпускались на** Луганском тепловозостроительном заводе. **С началом СВО киевские власти лишились возможности получать оригинальные детали даже по ранее действовавшим «серым» схемам.

🔻Отсутствие стабильного электроснабжения скажется на работе всей железнодорожной инфраструктуры: не будут действовать автоблокировка, локомотивная сигнализация и стрелочные переводы. Возникнут также сложности с ремонтом локомотивов. **

**На текущий** **момент энергосистеме Украины __пока__ не нанесен критический урон, который вынудит власти полностью перевести поставки военных грузов на тепловозы. Но этот момент в любом случае настанет при продолжении ракетных атак и вызванного ими [накопительного эффекта](https://t.me/rybar/41185).

И это действительно **серьезно** осложнит логистику ВСУ.  
#железные_дороги #Россия #Украина #электричество
@rybar 

*__Поддержать нас:__ `5536 9141 9147 4885`",No,
16,1080134301,19595,"Мосгорсуд признал законным **выдворение блогера Некоглая в Молдавию**. СМИ сообщают, что он расплакался в зале суда и заявил следующее:

__«Можно меня депортируют быстрее, я не хочу ждать, я хочу домой. Мне правда стыдно, я правда каюсь»

__**Оцените изменения имиджа блогера.**",No,
17,1511148555,13699,"**🚀💥🔥Более 70 ракет HIMARS и две пусковые установки РСЗО MLRS уничтожены при высокоточном ударе по складу металлургического комбината в Кривом Роге, сообщили в Минобороны.**",No,
18,1469021333,12628,"🗳**Одноголосно в 100 голосів сенат 🇺🇸США затвердив Бріджит Брінк послом в Україні.

**🤷🏼‍♀️В Україні не було посла США три роки, після того як 28 червня 2019-го Марі Йованович покинула цю посаду. За цей час у посольстві змінилось четверо тимчасово повірених.

📝Бріджит Брінк працювала на різних посадах при посольствах США в 🇷🇸Сербії, 🇬🇪Грузії, 🇺🇿Узбекистані та на 🇨🇾Кіпрі. У травні 2019-го була висунута президентом Дональдом Трампом на посаду посла в 🇸🇰Словаччині, де працювала до цього часу.

🤝Тепер після вручення вірчих грамот президенту України вона має розпочати свою роботу в Києві.",No,
19,1164348791,4969,"⚡️⚡️⚡️**СРОЧНО

МИНОБОРОНЫ **

Сегодня, 5 марта, с 10 часов утра московского времени российской стороной объявляется режим тишины и открываются гуманитарные коридоры для выхода мирных жителей из МАРИУПОЛЯ и ВОЛНОВАХИ.
Гуманитарные коридоры и маршруты выхода согласованы с украинской стороной.",No,
20,1457892982,24066,"**⚡️""Играем от обороны"", — рашистские паблики вагнеровцов пишут, что наши военные провели несколько удачных атак на Херсонщине

**В частности:
▪️на направлении Андреевка-Лозовое им удалось продвинуться на 10 км и занять село Сухой Ставок;
**▪️**идёт попытка окружить войска РФ в районе Высокополья;
**▪️**основные маневры ВСУ будут осуществляться с наступлением темноты.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
21,1093357968,11708,"**Российский Телеграм прямо сейчас по индексу цитирования:

Политика**. **Персоны
Июльский рейтинг:

**1. [Kotsnews](https://t.me/sashakots) (**Александр Коц**) - индекс цитирования: **3709.0 **(120 971  упоминаний, 102 938 репостов) 
2.[ СОЛОВЬЁВ](https://t.me/SolovievLive) (**Владимир Соловьёв**) - индекс цитирования: **3166.1 **(72 378  упоминаний, 78 202 репостов) 
3. [Kadyrov_95](https://t.me/RKadyrov_95) (**Рамзан Кадыров**) - индекс цитирования: **2946.4** (20 694  упоминаний, 36 462 репостов)
4. [Сolonelcassad ](https://t.me/boris_rozhin)(**Борис Рожин**) - индекс цитирования: **2778.7** (38 429 упоминаний, 110 066 репостов)
5.[ WarGonzo](https://t.me/wargonzo) (**Семён Пегов**) - индекс цитирования: **2731.2 **(77 517 упоминаний, 38 769 репостов)
6. [Кровавая барыня](https://t.me/bloodysx) (**Ксения Собчак**) - индекс цитирования: **2482.1 **(19 529 упоминаний, 22 089 репостов)
7. [Маргарита Симоньян](https://t.me/margaritasimonyan) - индекс цитирования: **2433.0** (43 973 упоминаний, 28 948 репостов)
8. [Политджойстик/Politjoystic](https://t.me/politjoystic) (**Марат Баширов**) - индекс цитирования: **2411.4** (52 991 упоминаний, 56 926 репостов)
9. [Вячеслав Володин](https://t.me/vv_volodin)  - индекс цитирования: **2368.4** (17 180 упоминаний, 23 671 репостов)
10. [Неофициальный Безсонов ""Z](https://t.me/NeoficialniyBeZsonoV)"" (**Даниил Безсонов**) - индекс цитирования: **2336.0** (33 233 упоминаний, 59 464   репостов)
11.[ Поддубный |Z|О|V| edition](https://t.me/epoddubny) (**Евгений Поддубный**) - индекс цитирования: **2183.7** (59 073 упоминаний, 32 224 репостов)
12. [Vоенкор Котенок Z](https://t.me/voenkorKotenok) (**Юрий Котенок**) - индекс цитирования: **2133.9** (52 374 упоминаний, 46 696 репостов)
13. [Дмитрий Медведев](https://t.me/medvedev_telegram) - индекс цитирования: **1998.8** (8 690 упоминаний, 10 819 репостов)
14. [Андрей Медведев](https://t.me/MedvedevVesti) - индекс цитирования: **1946.3** (32 168 упоминаний, 24 137 репостов)
15. [Сладков ](https://t.me/Sladkov_plus)+ (**Александр Сладков**) - индекс цитирования: **1925.4 **(22 750  упоминаний, 26 804 репостов)
16. [Мария Захарова](https://t.me/MariaVladimirovnaZakharova) - индекс цитирования: **1813.3** (11 668 упоминаний, 19 847 репостов)
17. [Юлия Витязева 🇷🇺](https://t.me/vityzeva) - индекс цитирования: **1697.4** (50 145 упоминаний, 62 987 репостов)
18. [Александр Ходаковский](https://t.me/aleksandr_skif) - индекс цитирования: **1375.0 **(7 826 упоминаний, 15 576 репостов)
19. [Захар Прилепин](https://t.me/zakharprilepin) - индекс цитирования: **1326.7 **(16 051 упоминаний, 23 347 репостов)
20. [Скабеева](https://t.me/skabeeva) (**Ольга Скабеева**) - индекс цитирования: **1284.6** (12 653 упоминаний, 20 993 репостов)
21. [АНТОН ВЯЧЕСЛАВОВИЧ](https://t.me/krasovkin) (**Антон Красовский**) - индекс цитирования: **1183.2 **(9 911 упоминаний, 9 578 репостов)
22. [Шулика](https://t.me/kshulika) (**Кирилл Шулика**) - индекс цитирования: **1115.5** (12 782 упоминаний, 25 971 репостов)
23. [ГАСПАРЯН](https://t.me/ASGasparyan) (**Армен Гаспарян**) - индекс цитирования: **1085.3** (23 389 упоминаний, 18 763 репостов)
24. [Максим Кононенко 🇷🇺](https://t.me/kononenkome) - индекс цитирования: **1033.7** (16 875 упоминаний, 16 800 репостов)
25. [МАРДАН](https://t.me/mardanaka) (**Сергей Мардан**) - индекс цитирования: **994.0** (8 118 упоминаний, 9 882 репостов) 
26. [КАРНАУХОВ](https://t.me/sskarnaukhov) (**Сергей Карнаухов**) - индекс цитирования: **992.7** (12 811 упоминаний, 9 898 репостов) 
27. [Колезев ☮️](https://t.me/kolezev) (**Дмитрий Колезев**) - индекс цитирования: **912.2 **(9 330 упоминаний, 13 661 репостов)
28. [Ekvinokurova](https://t.me/ekvinokurova) (**Екатерина Винокурова**) - индекс цитирования: **844.2** (13 790 упоминаний, 9 345 репостов)
29. [Abbas Djuma](https://t.me/Abbasdjuma) (**Аббас Джума**) - индекс цитирования: **835.0** (14 536 упоминаний, 10 335 репостов)
30. [Мария Бутина](https://t.me/mariabutina) - индекс цитирования: **822.2** (10 292 упоминаний, 7 264 репостов)",No,
22,1144404150,19059,"❗️Спустя несколько минут после заявления МО России о «приостановке участия в зерновой сделке», **на всей территории Украины объявлена воздушная тревога.
 
**@warjournaltg",No,
23,1469021333,10454,"""Вбитий"" московськими ЗМІ Арсен Аваков записав відео з ""того світу""",No,
24,1469021333,9600,🇱🇻 **Латвія дозволила своїм громадянам воювати проти Московії у нас. Це все більше стає схоже на єдиний європейський хрестовий похід проти орди**,No,
25,1469021333,8780,"Калинівка, Вінницька область, військові склади",No,
26,1457892982,26131,"**Помните украинцы покупали спутник?

**Так вот, за два дня работы спутника ""ICEYE"", который приобрели украинцы, враг потерял больше бронетехники, чем стоил весь проект со спутниками. Об этом сообщил глава Минобороны Резников.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
27,1498939244,36778,Взрывы в Тернопольской области и Ивано-Франковске.,No,
28,1109403194,36389,"Обгоревшие цистерны убирают с железнодорожной части Крымского моста. По крайней мере, на этих кадрах разорванных цистерн нет, что подтверждает, что на ж/д мосту взрыва не было, состав загорелся после мощной детонации в районе автомобильного пролета.

@sashakots",Yes,B
29,1144404150,12164,"В МККК заявили, что вторая попытка по эвакуации из Мариуполя 200 тыс человек сорвалась",No,
30,1457892982,28368,"**Мистика. Два российских вертолета Ка-52 по непонятной причине взорвались в Псковской области РФ😏

**""Боевые машины находились на территории военного аэродрома, **который расположен недалеко от российско-латвийской границы**"", - сообщают российские паблики. Причины взрыва неизвестны, но **он был такой силы, что обломки фюзеляжа раскидало на 200 м вокруг.

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,B
31,1283359437,40896,"ВГА Херсонской области: референдум о выходе из состава Украины и присоединении к России **состоялся**, данное решение поддержано большинством жителей. 

@voenkorKotenok",No,
32,1247556894,5658,"📢**Нагадуємо, що у разі перебоїв із зв'язком та електропостачанням можуть виникати збої у роботі вуличних сирен. У такому разі про сигнал повітряної тривоги сповіщатимуть за допомогою гучномовців Нацполіції та ДСНС

**🙏Будь ласка, звертайте увагу на такі оповіщення і в разі повідомлення про повітряну тривогу прослідуйте в укриття.

📱 За наявності зв’язку —  орієнтуйтеся на офіційні повідомлення міської влади у Telegram чи сповіщення у застосунку ""Київ Цифровий"".

🤍Бережіть себе та близьких!",No,
33,1247556894,2414,"🦷**У столиці невідкладна стоматологічна допомога надається безвідмовно та безоплатно** і**з 10:00 до 16:00

**❕Графік роботи та адреси можуть змінюватися, оскільки місто живе в умовах воєнного стану.  Доцільним буде пересвідчитися щодо роботи конкретного закладу за телефонами, які надаються нижче.

**🧑🏼‍⚕️Лівий берег

▫️вул. А. Навої, 1 
**(хірург, терапевт, дитячий)
(044) 512-16-47

**▫️вул. Вербицького, 3-Б
**(Хірург, терапевт)
(044) 564-61-84

**▫️вул. Харківське шосе, 121
**щелепно-лицьове відділення
КМКЛ № 1, хірургічна стоматологія
(044) 561-17-30

**🧑🏼‍⚕️Правий берег

▫️вул. Іллєнка, 69-А
**(Хірург, терапевт, дитячий)
+380 (67) 449 31 10

**▫️вул. Кирилівська 119/1
**(Лікар стоматолог-хірург)
із 11:00 до 16:00",No,
34,1498939244,33915,"[❗️🇷🇺🇺🇦 ](https://rybar.ru/piwigo/i.php?/upload/2022/11/21/20221121223759-de3aa640-xl.png)**Хроника специальной военной операции
**__за 21 ноября 2022 года

__🔻**Североукраинское направление** **(**[**карта**](https://t.me/rybar/41353)**)**:

▪️На** Киевском участке** две диверсионные группы действуют в районе урочищ **Денисовичи **и **Яковецкое**. Одна из ДРГ пересекла госграницу с Беларусью и достигла **Полесского заповедника.

▪️**Попутно с этим в **Сумской области** украинские саперы начали разминирование местности у границы с РФ.

🔻**Харьковское направление:

**▪️В** Харьковской области** завершается формирование 47-й отдельной штурмовой бригады ВСУ для усиления группировки на границе с** Белгородской областью.

**▪️В окрестностях **Стрелечьей** и **Волчанска** действуют диверсионно-разведывательные группы ВСУ, а в **Терновую** переброшен 228 батальон 127 обр ТРО.

🔻**Старобельское направление (карта):

**▪️На** Купянском участке **силы 14 омбр ВСУ предприняли неудачную попытку штурма российских позиций на высоте у** Орлянки.** Бойцы ВС РФ отбили атаку, уничтожив две БМП с экипажем.

▪️На **Лиманском участке** сводные подразделения 66 омбр и 25 овдбр атаковали позиции ВС РФ на направлении **Краснопоповки. **Огнем артиллерии формирования ВСУ были вытеснены на исходные позиции.

🔻**Соледарское направление:

**▪️На** Бахмутском (Артемовском) участке** командование ВСУ перебрасывает дополнительные силы, включая отряды американских наемников, из-за тяжелой ситуации на передовой.

▪️В окрестностях **Константиновки **идёт ускоренное обучение мобилизованных первоначальной боевой подготовке. После нескольких дней тренировок личный состав будет направлен на линию соприкосновения.

🔻**Луганская Народная Республика**:

▪️Украинские формирования обстреляли из РСЗО HIMARS гражданскую инфраструктуру в **Алчевске. 

**🔻**Донецкое направление (**[**карта**](https://t.me/rybar/41358)**):

**▪️Мотострелковые подразделения ВС РФ установили контроль над ключевыми объектами вдоль проспекта Дружбы в центре **Марьинки.** Бои продолжаются в районе занятой ВС РФ школы №2.

▪️Украинские войска в очередной раз нанесли удары по **Марьинке, Красногоровке, Первомайскому, Донецку, Макеевке** и** Новоселовке.

**🔻**Запорожское направление:

**▪️ВС РФ нанесли несколько ракетных ударов по позициям 65 механизированной бригады в **Орехове, Степовом** и** Зализничном.

**▪️Украинские силы продолжают накапливать резервы отдельных участках: личный состав и техника прибывают к **Белогорью, **а также концентрируются у **Покрова** на правом берегу** Каховского водохранилища.

**🔻**Южный фронт: Херсонское направление**:

▪️ВС РФ нанесли несколько ракетных ударов по позициям украинской армии на Карантинном острове в** Херсоне**, а также в **Клапае, Высунцах и Веселом.

**[**Карта в высоком разрешении

**](https://rybar.ru/piwigo/i.php?/upload/2022/11/21/20221121223759-de3aa640-xx.png)Foreign versions: [**DE**](https://rybar.ru/piwigo/upload/2022/11/21/20221121223825-d7e6a655.png)** |**[** EN**](https://rybar.ru/piwigo/upload/2022/11/21/20221121223829-0c2ad5a2.png)** | **[**ES**](https://rybar.ru/piwigo/upload/2022/11/21/20221121223837-2c7d1f6e.png)** | **[**FR**](https://rybar.ru/piwigo/upload/2022/11/21/20221121223844-05427187.png)** | **[**IT 

**](https://rybar.ru/piwigo/upload/2022/11/21/20221121223847-685b5fdb.png)#дайджест #Бахмут #Донецк #Запорожье #карта #Луганск #Россия #Славянск #Украина
@rybar

*Поддержать нас: `5536 9141 9147 4885` | `0x4739352b67Da6F4064757627D92A08EaDd3fb6b6` (ETH) | `33i1BwMuzeYTAUNtiLa6CjvaHtTVYNJfnp` (BTC)",Yes,B
35,1080134301,14664,"**Пиздец прямиком из Пензы. 
**Вчера 17-летнюю блоХершу накачал собственный парень неизвестно чем, обмазал месячными и заставил на камеру говорить, что она не против с ним лишиться девственности и никаких претензий иметь не будет. 

Если вы думаете, что уже где-то видели это тело, то мы вам напомним: 

https://t.me/zvoinaukraina/10772",No,
36,1457892982,28162,"**❗️МИГ-31К в Беларуси приземлился и по Украине пошли отбои тревог. Пусков зафиксировано не было, просто мешали украинцам спокойно жить

**Такие воздушные тревоги могут продолжаться ещё несколько дней из-за учений в Беларуси российской авиации

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
37,1129015804,12192,"В Пакистане продолжает развиваться [политический кризис](https://t.me/directorate4/12137), связанный с пока действующим премьер-министром страны Имраном Ханом. По решению Верховного суда, парламент, распущенный Ханом [неделю назад](https://t.me/directorate4/12139), вновь собрался для голосования по вопросу вотума недоверия политика. Оппозиция заявляет, что у нее есть 172 голоса из 342 необходимых для отстранения премьера. 

Имран Хан заявил, что несогласен с голосованием. Он подчеркнул, что борется за защиту суверенитета Пакистана, и призвал своих сторонников выйти на улицы, чтобы бросить вызов противникам, решившим свергнуть его. В связи с этим в Исламабаде усилили меры безопасности, силовики взяли под охрану ключевые объекты в городе. Политикам и чиновникам, в т.ч, и Хану, запрещено покидать Пакистан без специального разрешения.",No,
38,1366346975,56440,"⚡️Россия не отказывается от переговоров с Украиной, но чем больше откладывается процесс, тем сложнее будет договориться (с) Сергей Лавров.

Они не хотят договариваться, Сергей Викторович. Им даже Крыма и Донбасса уже мало. Вот, например, заявление секретаря СНБО Украины Данилова, цитирую: 

__Украину уже не устроит ни «сдача» Россией Крыма с Донбассом, ни репарации за «вторжение». Киев вместе с западными союзниками будет добиваться «полной капитуляции и демилитаризации РФ».__",No,
39,1366346975,57455,"**‼️🇷🇺247-й казачий полк ВДВ охотится на ВСУ на Херсонщине
**Враг прячет боевиков и технику по посадкам у линии фронта, готовя очередные попытки наступления, но за ними круглосуточно охотятся гвардейцы-десантники.
**__На днях парням ушёл Mavic 3 от наших читателей.
__****t.me/RVvoenkor**",No,
40,1093357968,11948,"Две площадки отказались работать с RT, когда узнали, что тематика вечера - творчество, посвящённое СВО. Никогда про эти заведения не слышал, зашёл посмотреть, каким же мероприятиям там отдаётся предпочтение.

И сразу, ДК «Рассвет»: «Живи там хорошо. Музыка русской эмиграции»

Или «Фотофактура»: «Вечеринка, посвящённая здоровому гедонизму»

Спасибо, что не благотворительные вечера для ВСУ.

https://t.me/rt_russian/123905",No,
41,1469021333,11681,"**🇺🇦Наша мета — перемога!

**Прості резервісти, прості піхотинці вибили спецназ, кадировців і десантників ворога з Мощуна 21 березня.

Слава кожному учаснику та вічна пам'ять нашим воїнам, для кого ця битва була останньою.",No,
42,1457892982,27703,"**⚡️Экс-нардепа Микитася разоблачили на попытке подкупа мэра Днепра Филатова

**Бывший нардеп хотел дать Филатову  **22 млн евро взятки — это одна из рекордных сумм взятки**, зафиксированной правоохранителями в Украине.

По данным [следствия](https://nabu.gov.ua/novyny/eksnardepa-vykryly-na-sprobi-pidkupu-mera-dnipra), в октябре 2022 года бывший народный депутат Украины и экс-топ-чиновник госкомпании «УкрБуд» предложил Филатову взятку за заключение с его компаниями контракта по строительству метрополитена в Днепре вне конкурса. **Микитась задержан.

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,D
