Sr. no.,Channel ID,Post ID,Post,HRV (Yes/No),"Type (A,B,C,D)"
11,1366346975,48942,Вторая часть фоторепотажа с разминирования центральных улиц Донцка.,No,
12,1144404150,14556,"В Кировском районе Макеевки (ДНР) под обстрел ВСУ попало нефтехранилище.

По пока неподтвержденным данным, в результате обстрела есть пострадавшие.

@warjournaltg",Yes,A
13,1129015804,12105,"В Нигерии неизвестные совершили нападение на пассажирский поезд, в котором находилось около тысячи человек. Теракт произошел в ночь с 28 на 29 марта на участке железной дороги Абуджа - Кадуна. Как сообщается, сначала боевики привели в действие СВУ, чтобы поезд остановился, а затем открыли по составу огонь. При обстреле погибли два человека, еще несколько десятков получили ранения. Террористы взяли в заложники неустановленное количество пассажиров и увезли их в неизвестном направлении. По предварительным данным, за терактом стоят боевики ""Боко Харам"".",Yes,A
14,1469021333,13535,"🛰**У вільному доступі з’явились супутникові знімки за 28 липня

**Хоч вони і досить низької якості, але дозволяють побачити деякі зміни транспортної інфраструктури через річку Дніпро на південному напрямку:

**🟣Антонівський автомобільний міст
**Зверніть увагу на пошкодження мосту ближче до лівого берегу, а також на зведені з’їзди до понтонної переправи північніше мосту. Самої переправи, проте, на знімках не видно.

**🔵Каховська ГЕС
**Деякі зміни на мосту через шлюз ГЕС, можливо наведено механізований міст для посилення конструкції мосту, раніше пошкодженої нашими засобами ураження. Зверніть увагу на затори по обидва боки від ГЕС.

🟢**Залізничний міст
**Руйнування в районі заїзду на міст через Дніпро (тому що є ще малий міст через Конку) з лівого берегу.

📅Знімки за **18.07**.2022 та **28.07**.2022 відповідно.",No,
15,1093357968,10831,"Во Владивостоке после 9/11 консульство США тоже охраняли американские GI (морпехи). 

Пили они страшно. Представьте американского реднека, который дорвался до цивилизации. 

Однажды в клубе «Зелёная лампа» такой вот GI решил познакомиться с девушкой. Она не то чтобы была очень за, но GI, нахлебавшийся то ли «Уссурийского бальзама», то ли «Капитанского рома», не унимался, грубил на своём реднекском языке и всячески хулиганил. 

Нравы тогда в Приморье были суровые. И когда GI девушке окончательно надоел, кто-то достал ружьё (тогда все ходили в клубы с оружием (нет) и выстрелил морпеху в его реднекскую задницу. 

С тех пор GI в город не выходили. 
https://t.me/vestiru24/33177",No,
16,1511148555,14454,"Спикер Конгресса Нэнси Пелоси **поцеловала руку Зеленского, **когда он  передавал ей украинский флаг

💤ахаххаха,идиоты",No,
17,1080134301,14482,"**Допрыгалась

**В Тутаеве Ярославской области полицейские приехали на вызов о шумной компании, а при выяснении женщина из компании вела себя слишком дерзко, поэтому пришлось задерживать.
Итог: административка превратилась в уголовку за нападение на представителя власти",No,
18,1093357968,11259,"🚑**День медицинского работника готовятся отметить не только в России: в третье воскресенье июня поздравления с профессиональным праздником принимают доктора, фельдшеры, медицинский персонал и все-все-все, имеющие отношение к сфере здравоохранения** **в ЛНР и ДНР.
** 
Медиков часто называют героями невидимого фронта, что справедливо даже самые благополучные времена. В последние месяцы в ЛНР и ДНР эта фраза приобрела особый смысл. В чудом уцелевших операционных, приёмных, обычных палатах, иногда – прямо в коридорах, не метафорически, а по-настоящему они продолжают вести борьбу за жизни сограждан. **Недавняя пандемия уже не кажется таким коварным противником. На смену ей пришли осколочные ранения, тяжелейшие травмы, опасные отправления, необратимые повреждения жизненно важных органов, страшный травматический шок. 
** 
И это - история не про военную медицину. Так сегодня работают гражданские врачи, в руки которых ежедневно поступают десятки человек – таких же мирных жителей, маленьких и взрослых. **Работают вопреки усталости, отсутствию электричества, лекарств, бинтов, во имя главной миссии – спасти и сохранить.** Звучит высокопарно, но ведь не зря именно врачей называют еще и «первыми после бога».
 
Доставляя грузы на пострадавшие территории ЛНР, ДНР и Украины, Русская Гуманитарная Миссия с особым вниманием относится к запросам и нуждам медучреждений. **Нам удалось передать тонны медикаментов, расходники, оборудование и даже машины экстренной помощи не только в центральные больницы, но и на периферию, в прифронтовые районы, где потерпевших особенно много.** На днях партия помощи от РГМ добралась до Белолуцка, где ее ждали подопечные интерната для пожилых людей. 145 гуманитарных наборов завезли в больницу Стаханова: город живет под огнём, неделю назад здесь погибла медсестра. 
 
🤝** Мы глубоко признательны всем, кто продолжает помогать нам в закупке необходимого для медицинских и социальных учреждений ЛНР и ДНР. Особая благодарность – нашему другу, журналисту и координатору РГМ **[**Евгению Поддубному**](https://t.me/epoddubny)**. Работая в самом пекле, он как никто знает, насколько уязвим человек, насколько хрупка жизнь. Именно поэтому средства, собранные Евгением и его подписчиками, мы направляем в том числе на приобретение лекарств, электрогенераторов, фильтров, продуктов для врачей. 

Даже героям необходимы свои хранители, и имя одного из них известно нам точно. Женя, низкий поклон.

**#ргм #русскаягуманитарнаямиссия #rhm #russianhumanitarianmission #ргм_гуманитарнаяпомощь",Yes,A
19,1457892982,25406,"**Украинцам задали вопрос: ""куда бы вы потратили миллион, если бы сейчас его выиграли?""

**Ответ на видео.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
20,1164348791,6592,"ВСЁ ХОРОШО, УКРАИНА ДАСТ РОССИИ ЧЕСТНОЕ СЛОВО, И ЗЕРНО ПОТЕЧЕТ В АФРИКУ. 

А такая уважаемая, с безупречным реноме организация, как ООН, подтвердит, что Украине можно верить.   

А мы будем ждать, когда НАТО опять обдурит «фраера ушастого» (Из к/ф «Место встречи изменить нельзя»).   

 https://t.me/apleonkov/10715",No,
21,1080134301,20412,Спастись от пожара не удалось,Yes,B
22,1080134301,16202,В Сети публикуют момент прилёта по сектору Газа.,No,
23,1511148555,12088,"**‼️****На Усраине, несмотря на заявления Шойгу и Суровикина, продолжают заявлять, что не видят признаков отвода российских войск и продолжают настаивать на том, что ВС РФ разыгрывают некий ""хитрый план"" на Херсонском направлении, чтобы заманить ВСУ в Херсон.**",No,
24,1283359437,42143,"Тем временем по объекту вновь начался ""торг"". Reuters пишет, что Baykar всё же построит на Украине завод по производству ""Байрактаров"", и сделано это будет в течение двух лет.

@voenkorKotenok",No,
25,1144404150,12670,"Новые кадры сдачи в плен бойцов бригады ВСУ.

@opersvodki",Yes,D
26,1283359437,43005,"Прибытие в Москву самолета с российскими военнослужащими, освобожденными накануне из украинского плена.

@voenkorKotenok",Yes,D
27,1247556894,3583,"⚡️**Міська влада просить киян утриматися** **від відвідування кладовищ на період воєнного стану

**❗️Містянам нагадують, що столиця неодноразово зазнавала ракетних ударів, загинули мирні жителі, пошкоджені будинки, школи, дитсадки. Є факти обстрілів і територій кладовищ.

🙏🏻Не створюйте скупчення людей на територіях кладовищ, не наражайте на небезпеку себе і своїх близьких!",Yes,A
28,1536211233,1310,"⚡️**25,000 people died in Mariupol, mostly civilians**, - representative of the Azov regiment

⚡️**В Мариуполе погибло 25 000 человек, в основном мирные жители**, - представитель полка ""Азов""",Yes,A
29,1366346975,55251,"Разгромленная бронемашина СБА ""Новатор"" ВСУ в Харьковской области.

Источник: [@XU_kraine](https://t.me/XU_kraine/17578)",No,
30,1283359437,39991,"Наши силы контрактакуют противника на Шевченковском направлении. В бой брошены резервы, которые уже подошли и с ходу вступают в бой.",No,
31,1498939244,36445,"Вечерний ВладлЭн. 23.12.2022г

- Скоро дьжахнем.
- Враньё командиров на местах.
- Снарядная проблема.",No,
32,1080134301,17649,В Дагестане полиция стрельбой в воздух разгоняет несанкционированный митинг,No,
33,1247556894,2093,"‼️**Увага! Оголошена повітряна тривога! **
Негайно прямуйте [до найближчого укриття](https://cutt.ly/2PCbkFa)!",No,
34,1093357968,8833,"Минобороны РФ: Накануне вечером высокоточным оружием был нанесен удар по складу хранения боеприпасов в населенном пункте Сарны Ровненской области. 

В результате были уничтожены хранилища с ракетами и боеприпасами, в том числе для тактического комплекса «Точка-У». 

@epoddubny",No,
35,1498939244,32422,"Принудительная эвакуация будет проводиться в Каховском районе Херсонской области с 6 ноября, сообщили власти",No,
36,1498939244,36324,"Любители теории заговоров разгоняли, что Зеленский якобы полетит в США из Киева на турецких самолётах. 

Как выяснилось, украинский президент сперва приехал в польский город Перемышль на поезде, а уже потом полетел в США на самолёте.

Об этом сообщили польские и американские СМИ.",No,
37,1511148555,9847,"‼️‼️‼️🇷🇺🇮🇹**Газ из России вновь пошёл в Австрию**

«Газпром» и покупатели газа в Италии нашли решение по поставкам. Транспортировка российского газа через территорию Австрии возобновляется.",No,
38,1498939244,29467,"Ах да, чуть не забыл, с круглой датой любимое детище. 
Скромные пол миллиона человек. 

Кроме коллег админов, с этой датой и всех наших олдов.

Р.S. Вихрь уже улетел хохлам.",No,
39,1498939244,29389,"А с тебя вообще всё началось брат! Спасибо! 

https://t.me/Army_Russia/32517",No,
40,1144404150,13000,"🇷🇺🇺🇦 Взрывы и пожары в Хмельницком. Местные жители сообщают о попадании двух крылатых ракет по объектам в городе.

Сегодня под удар [также попал](https://t.me/rybar/30025) расположенный к северу аэродром в **Староконстантинове. **Там были уничтожены не только запасы ГСМ, но и боевые самолеты: их украинское командование безуспешно пыталось скрыть в капонирах от обнаружения.
#Россия #Украина #Хмельницкий
@rybar

__*Поддержать нас: 4377 7278 0407 7977__",Yes,C
41,1498939244,33857,"Турецкий город Каркамыш подвергся обстрелу со стороны Сирии, есть раненые.

По данным телеканала Habertürk, члены запрещенных в Турецкой Республике «Рабочей партии Курдистана» и «Сил народной самообороны» выпустили не менее четырех ракет по городу. Некоторые из снарядов разорвались в центре города. Число пострадавших не уточняется.",Yes,A
42,1144404150,16236,"Репортаж пресс-службы Народной милиции ЛНР из освобожденного города Горское.

@warjournaltg",No,
43,1080134301,17687,"На обоих пистолетах школьного стрелка в Ижевске плетенные самодельные брелки. В один брелок вплетены имена ""Эрик"" и ""Дилан"". На втором надпись тоже латиницей – ""Колумбайн""*.

Эрик Харрис и Дилан Клиболд - устроили массовое убийство в школе ""Колумбайн"" в штате Колорадо США. Именно после этого всех последователей стрельбы в школах стали называть ""колумбайнерами""*.

*Движение, признанное террористическим, и запрещённое в России.",No,
44,1498939244,34586,"**Главное из заявлений Путина на встрече с участниками конгресса молодых ученых в «Сириусе»:**

— Зависимость от иностранной приборной базы в РФ большая, по некоторым направлениям до 90%;

— Ситуация подталкивает страну к внутреннему развитию, за нефте- и газодоллары можно закупать все, только своего никогда ничего не будет;

— России нужно закрепиться на новых территориях. Но не только решая военные и политические вопросы – нужна работа с людьми, чтобы они ощущали преимущество от вхождения в РФ. Это наши люди, мы должны сделать все, чтобы их поддержать;

— Период завершения интеграции Донбасса в российскую науку будет зависеть от темпов – чем быстрее, тем лучше;

— Власти РФ будут делать все, чтобы льготы ученых распространялись и на их коллег в новых регионах;

— Демобилизация студентов и аспирантов в ДНР и ЛНР должна закончиться сегодня.",No,
45,1469021333,14923,"🕶 **Адвент. День 14 - Мощун, Київщина

****🔫** Хоч село і знищене в боях, але саме тут відбувалася дуже важлива битва, яка вирішувала подальшу долю наступу ворога на Київ. Ціною втрат, проявивши професіоналізм і жертовність, ЗСУ вдалося зупинити ворога. І хто б там не розказував, що [білоруські сракомийки врятували Київ](https://t.me/DeepStateUA/12543) - брехня грантососів. Ворога зупинив український солдат, для якого падіння столиці означало б кінець.

🫡 Шана всім, хто боронив тоді Київ та його околиці.

🇺🇦 deepstatemap.live/#15/50.5995/30.3105

⬇️У коментарях світлина без стиснення.",No,
46,1469021333,11546,"❗️**Мабуть, більшості це відомо. Проте, варто зайвий раз нагадати на свіжому прикладі з Харківщини, що орки мінують дороги та села**. **Треба бути обережним**",No,
47,1109403194,35346,"От винта!

https://t.me/fighter_bomber/8426",No,
48,1536211233,1658,"🔥Mass explosions continue in occupied Sevastopol

🔥 Продолжаются массовые взрывы в оккупированном Севастополе",No,
49,1093357968,8346,"🇷🇺🇺🇦 Обстрелы в Лисичанске на занятой ВСУ территории ЛНР.
#Луганск #Россия #Украина
@rybar

__*Поддержать нас: 4377 7278 0346 9118__",Yes,B
50,1109403194,33022,"Бомбическая ночная демилитаризация позиций ВСУ. Где-то на Изюмском фронте.

@sashakots",Yes,B
51,1469021333,11332,"📘**Цікаво ж, що читають орки? Це взагалі рідкість, коли серед них трапляються такі, що читають

**❕«Соврємєнному офіцеру»❕

Автор: Сєргієнко Андрєй Анатолієвіч
Видано 2021

🖌Опис: __Книга написана для действующих офицеров, для молодых людей, которым предстоит встать на офицерский путь, а также для тех, кто проходил военную службу и непосредственно связан с офицерским корпусом.
Книга подскажет, как выстроить линию поведения с подчиненными и руководством, сформировать свой индивидуальный стиль в работе и в своем внешнем виде, поможет достойно организовать офицерское торжество по поводу вручения звания или награды, даст дополнительные знания о правилах поведения в обществе.
Станет хорошим подарком друзьям и сослуживцам, так как содержит в простой и удобной форме много практических советов и интересных заметок.

__🤷🏻‍♂️Мабуть, воно не сильно їм допомагає стати чесними та порядними офіцерами. А першочерговий задум був правильним...",No,
52,1511148555,8866,Добро 🔥🔥🔥,No,
53,1144404150,18206,"В Харьковской области (н.п. Прелесное) эльфы из ВСУ занимаются ~~мародерством~~ сбором средств для нужд ЗСУ. Кто-то даже увел в свой личный гарем 2х овец. Думаю владельцы узнали свои дома и теперь знают, кто их обчистил.

@razved_dozor",No,
54,1080134301,18266,"А так выглядел удар по Днепру сквозь лобовое стекло, с флагом запрещённой УПА на торпеде.",No,
55,1511148555,13488,"❗️**Все санкции, введенные США в последнее время против своих врагов,** **не работают,** **а потому санкционную политику Америки нужно ужесточить и милитаризовать** - бывший советник президента США по национальной безопасности Джон Болтон.

""__Мы не смогли понять, что объекты наших санкций **коварны и изобретательны**""__ — негодует Болтон.

Пишет, что очень коварным оказался Иран, который, как выяснилось, использовал большое количество американских и европейских компонентов для создания своих беспилотников, а кроме того, смог нарастить арсенал баллистических ракет. 

Точно так же санкционная система оказалась **малоэффективной** против России. Выяснилось, что **__""наказать"" Россию так, чтобы избежать роста мировых цен на нефть, невозможно. 

__**""Необходимо менять эту ситуацию, можно, например, создать ""Экономическое командование"", аналогичное Киберкомандованию. Оно могло бы анализировать эффективность тех или иных санкций, ужесточая их в случае необходимости. **__Иначе санкционная политика США становится предметом насмешек во всём мире__**"".

Болтон начал что-то подозревать

[Конфликт🔥Z Подписаться](https://t.me/konfliktworld)",No,
56,1164348791,6555,"ЧТО ТАКОЕ «ГРЯЗНАЯ БОМБА» ПО ВИКИ? 

«Самый простой вариант радиологического оружия — «**грязная бомба**», состоящая из контейнера с радиоактивным [изотопом](https://ru.m.wikipedia.org/wiki/%D0%98%D0%B7%D0%BE%D1%82%D0%BE%D0%BF) (изотопами) и заряда взрывчатого вещества. При подрыве заряда взрывчатого вещества контейнер с изотопами разрушается, и радиоактивное вещество распыляется ударной волной на большой площади. Конкретное исполнение бомбы может быть различным в зависимости от количества и свойств исходного материала. Одним из вариантов «грязной бомбы» может быть намеренный подрыв установки невоенного назначения, использующей радиоактивные материалы». 

По моей информации обвинения в подготовке применения «грязной бомбы» предъявлялись взаимно и обоюдно федеральным командованием и боевиками в самом начале Второй Чеченской кампании. 

Я даже поднимался на гору у станицы Виноградной (Север Чечни) для подтверждения, что хранилища радиоактивных отходов запечатаны. Мы проверяли их состояние с начальником войск химической и бактериологической защиты СКВО Сергеем Нарышкиным.     

От украинцев, честно говоря, всего можно ожидать. Но мы жестоко отреагируем.",Yes,B
57,1511148555,12628,"🤷‍♂️Поляки наконец-то нашли решение проблемы украинских беженцев - половину можно тупо отправить на убой.

Власти страны, под предлогом помощи Киеву, окрыли тренировочные лагеря, куда принудительно отправляют беженцев мужского пола. Таким образом Польша становится главным координатором помощи государству 404 и может пилить международную помощь как душе угодно. Также появляется возможность натаскать лояльных украинцев для будущей аннексии Галичины. Ну и последним пунктом профита является естественная утилизация беженцев, проедающих государственные ресурсы и требующих постоянной поддержки - дешевле один раз одеть и отправить на смерть .",No,
58,1109403194,35494,"Рассчитываю на чистоплотность коллег, которые не будут рекламировать этих говноедов. Ни я, ни, уверен, Стешин, к этому дерьмищу отношения не имеем. И, разумеется, никакое сообщество военкоров никакие закрытые каналы при поддержке Минобороны не создавало.

@sashakots",No,
59,1511148555,9970,✅В ВС Белоруссии поступят комплексы «Искандер» и ЗРС С-400** **— Минобороны cтраны,No,
60,1144404150,11985,"🇷🇺🇺🇦 ВС РФ в Херсоне.

@warjournaltg",No,
61,1457892982,24574,"**Сообщается, что на видео момент уничтожения вражеского Су-25 в Харьковской области

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
62,1144404150,15346,"❗️Военнослужащий Народной милиции ЛНР впервые за 8 лет встретился с матерью в освобожденном Светлодарске (ДНР).

@warjournaltg",No,
63,1536211233,1683,"**🔴DAILY REPORT WITH KEY NEWS🔴**

**Available on Medium:**

**🇬🇧**[**English**](https://medium.com/p/faec6ce1f7e7)
**🇺🇦**[**Ukrainian**](https://medium.com/p/af24183a08ed)
**🇩🇪**[**German**](https://medium.com/p/76428a380ba5)
**🇫🇷**[**French**](https://medium.com/p/5079fd913fc6)** 
🇪🇸**[**Spanish**](https://medium.com/p/5b6174f37d97)
**🇷🇸**[**Serbian**](https://medium.com/p/6322040f7c95)
**🏳**[**Russian**](https://medium.com/p/341c62321ef6)** **

**Please share our recap with all of your friends and colleagues**",No,
64,1457892982,27428,"**Так вот, кто на самом деле спонсор ""бавовны"" в Белгороде🤫

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
65,1080134301,16685,"Индус попытался запустить салюты с рук. 

Получилось красиво, но смертельно",No,
66,1511148555,9881,"Мобилизованные из Якутии проходят подготовку на одном из полигонов.

💤Достойный обвес 🫡🇷🇺",No,
67,1093357968,11206,"**ВСУ планируют атаку на Балаклею в Харьковской области**

**По данным ""Иди и смотри"",**  в направлении Балаклеи отправлены иностранные наемники и нацисты из ""Кракена"".

__💬""Будут пытаться пробиться ближе к городу"",__ - рассказал источник канала.

Балаклея была занята российскими войсками еще в первый месяц специальной военной операции и в дальнейшем служила форпостом на линии фронта. 

Важность Балаклеи заключалась в огромных складах боеприпасов.

@smotri_z",No,
68,1469021333,14920,"📍 **Орлянка на Сватівському напрямку досі під контролем ворога

**Першого листопада з'явилося відео підриву нашої БМП на мінній доріжці і були повідомлення про бої в районі села. На жаль, на свіжих кадрах ворог перебуває в селі і біля того злощасного підриву на міні, де так і не поховав двох наших загиблих бійців.

🇺🇦 deepstatemap.live/#15/49.6857/37.9157

[Магазин](https://deepstateua.shop/)🛑[Блог](https://deepstateua.com/)🛑[Мапа](https://deepstatemap.live/)🛑[Написати нам](http://t.me/newsDeepStatebot)🛑[Звіти](https://help.deepstateua.com/)🛑[ЗСУHelp](https://t.me/help_deepstateua)",No,
69,1511148555,10765,🚀👋В Киеве снова объявлена воздушная тревога,No,
70,1498939244,30230,Бойцы 3-й бригады НМ ДНР уничтожают опорный пункт ВСУ из ПТРК,No,
71,1366346975,53876,"В освобожденном Благодатном (Николаевское направление). ""Контрнаступление ВСУ на Херсон"" идет в обратном направлении.

Видео - ТК ""Звезда""",No,
72,1109403194,37480,"Сообщают о взрывах во Львовской области. Я бы на месте украинских СМИ эту новость переводил еще и на польский. Чтобы трактора попрятать успели

@Makarr80",No,
73,1366346975,52636,"🎥 ""Тела своих оставляют на поле боя"" — как ВСУ воюют к северу от Горловки

Последние годы поселок Зайцево был разделен на две части: северная была под контролем Киева, южная — ДНР. Украинская сторона все время прощупывала линию обороны и пыталась отодвинуть линию разграничения. В августе силы ДНР перешли в наступление.

@FridrihShow 🖌",Yes,C
74,1457892982,28587,"**⚡️Мэр Киева не исключает, что город может окунуться в полный блэкаут из-за обстрелов и остаться без воды, света и связи

**«Мы [делаем](https://www.rbc.ua/rus/news/chi-mozhliviy-povniy-blekaut-kievi-vidpovid-1667678458.html) все, чтобы этого не произошло, но наши враги делают все для того, чтобы столица осталась без тепла, электричества и воды. Уже сейчас сделан большой запас топлива, генераторов, еды и большой запас воды, созданы пункты обогрева», — Кличко.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,B
75,1080134301,20877,"**🇷🇺****Российский миротворец своим молчанием вывел из себя репортера-провокатора из Азербайджана.

**Репортер в наглой форме пытался спровоцировать миротворца РФ, но стойкость и спокойствие нашего солдата не позволило ему вывести его на эмоции.

Бунтари требуют остановить якобы незаконную эксплуатацию  месторождений на территории Карабаха.

Как вы считаете правильно ли реагирует наш миротворец на выпадки провокатора

👍 – Молодец, не поддался на провокацию

👎 – Надо было ответить наглецу

🔥 – Российские миротворцы залог спокойствия в регионе.


[**Не ZабыVай**](https://t.me/ne_zabivai) — Парень большой молодец, держался как настоящий мужчина и не повелся на провокацию.",Yes,C
