Sr. no.,Channel ID,Post ID,Post,HRV,HRV_Type
11,1283359437,37972,"**Военный эксперт Борис Рожин с краткой сводкой по итогам операции по денацификации и демилитаризации Украины на 00.15 30 июня 2022 г. специально для канала Vоенкор Котенок Z ****@voenkorKotenok****:
1.  
__Лисичанск__. 
**Сегодня взят Лисичанский НПЗ, продолжаются бои в Верхнекаменке, в районе Белой Горы, Приволья (есть сообщения об отходе ВСУ), а также в самом Лисичанске. Противник частично осуществляет отход к Северску, где выстраивается новая линия обороны. 
**2.  
__Артемовск__. 
**Продолжаются бои в Клиновом, наши войска продвинулись в поселке. У Покровского без особых изменений. Также противник удерживает линии снабжения на Новолуганское и Углегорскую ТЭС.
**3.  
__Соледар__. 
**Продолжаются бои у Николаевки, в Белогоровке и Берестовом. Противник пока что удерживает фронт, но вскоре ВСУ предстоит решать проблему наступления ВС РФ с севера, после завершения освобождения Лисичанска основной нажим пойдет на Северск и Соледар.
**4.  
__Славянск__. 
**Бои у Богородичного, Краснополья, Пришиба, Сидорово. Темпы продвижения к Славянску пока что невысокие. 
**5.  
__Харьков__. 
**ВС РФ вытеснили ВСУ из Дементьевки и усиливают огневое поражение позиций противника на окраинах Харькова. Прощупываются возможности продвижения в районе Верхних Проходов, Уды, Цуповки. Также идет обработка Золочевского укрепрайона. 
**6.  
__Авдеевка__. 
**На линии фронта без существенных изменений. Артиллерийские обстрелы Донецка стали менее интенсивными после усиления контрбатарейной работы. 
**7. 
__Угледар__. 
**После недавних попыток наступления у Павловки, Егоровки и Шевченко противник, понеся большие потери, был вынужден снизить свою активность, и бои тут снова развиваются в позиционном ключе. В районе Новомихайловки и Марьинки без изменений. 
**8.  
__Запорожье__. 
**На линии Каменское-Орехов-Гуляйполе-Великая Новоселовка без существенных изменений. В районе Каменского прошел самый большой обмен военнопленными с начала СВО – поменяли 144 на 144 человека. Среди обменянных с украинской стороны было 43 раненых боевика «Азова». Среди наших – несколько летчиков.
**9.  
__Николаев__. 
**На фронте без существенных изменений. На Никопольском направлении противник пытается поддавливать в районе Потемкино. По Николаеву продолжают наноситься интенсивные ракетные удары. Активизация на этом направлении вполне возможна уже в июле.
**10.  
__Одесса__. 
**Украина продолжают подготовку к попыткам атаковать остров Змеиный в рамках поставленной политической задачи. В ближайшие недели это безусловно выльется в обстрелы острова из РСЗО и ОТРК, а также попытки ударить с воздуха. ВС РФ и ЧФ также готовятся к этим попыткам. Украина нужна хоть какая-то победа на фоне отступления на Донбассе. Кроме того, США и Британия пытаются оспорить контроль ЧФ в северо-западной части Черного моря.

@voenkorKotenok",Yes,A
12,1144404150,11643,"⚡️⚡️⚡️На данный момент подразделениями Вооруженных Сил Российской Федерации завершено блокирование города Чернигов

Российские военнослужащие принимают все меры для недопущения жертв среди мирного населения, сообщает Минобороны РФ.

@warjournaltg",Yes,A
13,1457892982,29762,"**Страны НАТО должны нарастить военное производство, иначе Украина не сможет победить, — Дмитрий Кулеба в интервью Politico

**""Если этого не произойдет (увеличение производства оружия), мы не сможем победить — вот так просто"", - сказал он.

Также Кулеба заявил, что ""в мире есть страны, которые имеют то, что нужно Украине, но не собираются продавать это в достаточном количестве по политическим причинам"". 

Запуск производств поможет снизить зависимость Украины от таких стран.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
14,1144404150,12579,"**Бои за логово террористов ""Азова"".
Ситуация в Мариуполе и его восточных окраинах

**Съемочной группе ANNA-News удалось войти в Мариуполь с восточной стороны, где идут тяжелые городские бои с террористами запрещенной в России группировки ""Азов"". Именно Левый берег города, который сейчас стал центром шахматной мариупольской доски, выбрали боевики неонаци в качестве своего главной крепости еще в далеком 2014 году.

На этом фоне из города просачиваются мирные жители, которые концентрируются в районе н.п. Безыменное.

**Подробнее в нашем репортаже:
**https://vk.com/video-35276355_456246778

@anna_news @akimapachev @diza_donbass",No,
15,1247556894,2462,"🍵**Столичні терцентри соціального обслуговування забезпечили продуктами та гарячим харчування майже 7 тисяч людей

**✔️Усі 11 територіальних центрів продовжують роботу в умовах воєнного стану. Уже доставлено 4568 продуктових наборів тим, хто їх потребує. Ще понад 2 тисячі людей отримали гаряче харчування. 

🤍Соціальні працівники надають і послуги обслуговування на дому для самотніх літніх людей, осіб із інвалідністю та паліативних хворих. Це приготування їжі, закупка продуктів, годування, прибирання тощо. Такі послуги нині отримують більше 3 тисяч осіб.

❗️Якщо ви опинилися у складних у життєвих обставинах, звертайтеся до територіальних центрів свого району та залишайте заявку на допомогу.

📞 Київський міський територіальний центр соціального обслуговування
(044)-450-91-66
Вул.Котельникова. 32/11

**📞Голосіївський район
**просп. Голосіївський, 36
096-545-41-60

**📞Дарницький район
**вул. Вербицького, 9-І
044-564-08-22

**📞Деснянський район
**вул. В. Беретті, 18
044-515-20-18

**📞Дніпровський район
**вул. Курнатовського, 7а
044-512-00-35

**📞Оболонський район
**вул. Озерна, 18-А
044-411-97-75

**📞Печерський район
**вул. Бойчука (Кіквідзе), 11-А
066-733-07-30

**📞Подільський район
**вул. Братська, 15/9
044-425-05-12

**📞Святошинський район
**вул. Жмеринська, 22-А
044-290-47-86

**📞Солом’янський район
**б-р В. Гавела, 83-А
044-497-73-27

**📞Шевченківський район
**вул. Половецька, 14
044-486-66-61

✔️Ще у Києві працює Гуманітарний штаб. Залишити заявку, якщо ви потребуєте допомоги,  можна на сайті: https://potreby.kyivcity.gov.ua/.",Yes,B
16,1093357968,10032,"От подписчика. Воха. 

@epoddubny",No,
17,1144404150,17675,"Местные жители сообщают о двух прилетах в районе н.п Шепетовка Хмельницкой области.

@warjournaltg",No,
18,1457892982,24325,"**А вот и доказательство того, что Россия набрала на войну с Украиной зэков и первый из них уже воюют в Украине

**ВСУ взяли в плен такого ""вояку"", которого завербовала ЧВК ""Вагнер"". Из интересного, он заявил, что их подготовка к войне заняла всего неделю, и в РФ приехали инструкторы из Африки.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,D
19,1366346975,53228,"**‼️💥Работает ""Солнцепёк: ""🅾️тважные"" продолжают громить ВСУ

**Тяжелая реактивная артиллерия ТОС-1А “Солнцепек” группировки ""🅾️"" мастерски уничтожает укрепрайоны украинских боевиков в районе села Веселое. #эксклюзив с фронта

**t.me/RVvoenkor**",No,
20,1283359437,39387,"Оставляя за скобками угрозу радиационного выброса на Запорожской АЭС и последующее за этим вероятное применение тактического ядерного оружия, попробуем разобраться, чего пытается добиться командование ВСУ прямо сейчас.

Оценка текущей дислокации бригад ВСУ показывает, что не все более менее боеспособные соединения задейстованы на востоке страны. Нет их также и в глубине, за исключением формируемых новых бригад под руководством западных инструкторов. 
Также уже очевидно, что наступать на Херсон украинский генштаб не считает целесообразным, во многом за счёт того, что российское командование перебросило достаточные резервы на Николаевско-Криворожское направление. Удары РСЗО HIMARS, в принципе как и сказал министр обороны, проблемы на первом этапе создали, но критичными не стали, удалось приспособиться. 

С одной стороны, стратегия ведения диверсионной войны и обстрелов критически важных объектов на грани ""красной линии"" создаёт иллюзию успешного противостояния ВСУ наступательной операции союзных войск на Донбасской дуге. 
С другой стороны, любой план огневого поражения преследует цели либо подготовить условия для наступления на позиции противника, либо сорвать аналогичные планы оппонента. 

Таким образом, генштаб ВСУ либо ожидает в скором времени наступления ВС РФ на Запорожье, либо готовит такой план сам с целью пробиться к Запорожской АЭС. 
Исходя из этого, где-то в глубине Днепропетровской области должны быть уже сосредоточены от двух до трех бригад ВСУ, готовые к активным действиям. 
""Окно возможностей"" невелико - пока не иссяк поток военной помощи Запада и поставки боеприпасов более менее регулярны, развязка должна произойти в ближайший месяц. Затем - только глухая оборона.",Yes,B
21,1366346975,49909,Фото от бойцов 163 полка💪,No,
22,1144404150,16653,"⚡️** Сводка Министерства обороны Российской Федерации о ходе проведения специальной военной операции на территории Украины** (12.07.2022 г.)

Часть 1 ([см.часть 2](https://t.me/mod_russia/17597))

◽️ **Вооруженные Силы Российской Федерации продолжают специальную военную операцию на Украине.  

**💥 В районе населенного пункта Березань Одесской области **высокоточными ракетами наземного базирования «Искандер» уничтожены пусковые установки противокорабельного ракетного комплекса «Harpoon» (Гарпун) производства США. 
** 
💥** В результате удара высокоточными ракетами воздушного базирования** в районе населенного пункта Артемовск Донецкой Народной Республики **уничтожено** **180** военнослужащих и **26** единиц военной техники 30-й механизированной бригады ВСУ.
 
◽️ Кроме того, **высокоточным оружием ВКС России уничтожены**: живая сила и военная техника ВСУ в **12** районах, **четыре** склада с боеприпасами 79-й десантно-штурмовой бригады в районе Матвеевки Николаевской области, а также **пункт ремонта и восстановления бронетехники ВСУ **в районе Северска. 
 
💥 **В рамках контрбатарейной борьбы уничтожены**: **два** взвода реактивных систем залпового огня «Град» и **два** артиллерийских взвода гаубиц «Гиацинт-Б» на огневых позициях в районе Дзержинска Донецкой Народной Республики. 
 
💥** Оперативно-тактической и армейской авиацией, ракетными войсками и артиллерией за сутки поражено**: **три** пункта управления, **три** склада боеприпасов, подразделения артиллерии на огневых позициях в **97-ми** районах, а также живая сила и военная техника в **111-ти **районах. 
 
💥 **Российскими средствами противовоздушной обороны за сутки сбиты семь украинских беспилотных летательных аппаратов **в районах населенных пунктов Изюм, Малые Проходы, Питомник Харьковской области, Славянск, Шандриголово Донецкой Народной Республики, в том числе **один ударный беспилотный летательный аппарат** в районе города Николаев. 

◽️ Кроме того, **перехвачено 12 снарядов реактивной системы залпового огня «Ураган»** в районах населенных пунктов Лисичанск Луганской Народной Республики, Бражковка Харьковской области и Новая Каховка Херсонской области. 

📊 **Всего** с начала проведения специальной военной операции **уничтожены**: **243** самолета, **137** вертолетов, **1513** беспилотных летательных аппаратов, **354** зенитных ракетных комплекса, **4046** танков и других боевых бронированных машин, **741** боевая машины реактивной системы залпового огня, **3135** орудий полевой артиллерии и минометов, а также **4165** единиц специальной военной автомобильной техники.

#Минобороны #Россия #Украина @mod_russia",No,
23,1498939244,32293,🤨🤨🤨,No,
24,1472280635,16623,"А вот и он.
Договор о покупке Киева российским царём Алексеем Михайловичем Тишайшим.
Так что это наша собственность, а не каких-то мифических ""украинцев"".

✅[Спецоперация на Украине](https://t.me/specops2022). ✅[Подписаться](https://t.me/specops2022)✅",No,
25,1366346975,48789,"Работа РСЗО на Авдеевском направлении, которая обеспечила продвижение армии ДНР к окраинам поселка Пески.

https://t.me/Za_readn/57",No,
26,1109403194,35978,"Опять ублюдка называют «стрелком». Давайте не романтизировать убийцу со свастикой на груди.

@sashakots",No,
27,1247556894,3482,"Друзі! Сьогодні в мерії Києва відбулася дуже символічна подія - разом з делегацією європарламентарів та сенаторів Французької республіки, наукових і громадських діячів Європи, ми відкрили Європейський Дім - European Working Place “WeEurope” і підійняли на Хрещатику, біля приміщення Київської міськї ради прапор Євросоюзу.

Я сподіваюсь, що керівники і народи держав Євросоюзу переконались, що сильна  і стабільна Європа неможлива без сильної і успішної України. Ми налаштовані швидко подолати шлях до повноправного членства в ЄС. Досягнути всіх необхідні критеріїв.
 
Свій внесок в цей процес має зробити і Європейській Дім - European Working Place “WeEurope”. Ми створюємо його як місце для зустрічей та дискусій, що сприятимуть європейській інтеграції України. Для втілення проектів задля допомоги Києву та Україні. – Політичної, економічної допомоги, проектів з розвитку демократії.",No,
28,1093357968,10599,"Американские гаубицы М777 уже используются украинской артиллерией в Донбассе.

@sashakots",No,
29,1498939244,30126,На Криворожском направлении 126 бригада отбивается от наступления ВСУ. Опять вопреки всему чему только можно.,Yes,D
30,1080134301,20198,"🔞 В Казани поехавшая мамашка сняла на камеру избиение собственной дочери, чтобы отомстить мужу, который ушёл от неё. 

Как рассказывают соседи, старшая дочь женщины воспитывается у бабушки. Также у нее есть сын-инвалид. Маленькую дочь она избивает и недолюбливает",No,
31,1366346975,53909,"🇺🇦🏴‍☠️**И снова печальные данные: за сутки в ДНР ударами украинских нацистов убиты два человека, еще шесть ранены

**Такую информацию за 28 августа сообщает Штаб ТерО ДНР.

Кроме того, сообщается, что из-за [**утренних ударов**](http://rusvesna.su/news/1661746915) по городам ДНР без света остались более тысячи абонентов в Горловке и и более 1700 в Макеевке.

**t.me/rusvesnasu**",Yes,A
32,1498939244,29911,"Товарищи, у кого есть на него выход, напишите ему, что он чмо",No,
33,1366346975,51576,"Уничтожение ВСУшноного блокпоста, Сумская область.

Это один из примеров, как обнаглевших хохлов наказывают за их вылазки в Курскую область. Больше вылазок - больше трупов ВСУ.",Yes,A
34,1080134301,19164,"Россиянин из Березников, Пермский край, набухавшись объявил всех **Бойцов СВО мясом и петухами**. 

На следующий день произошла классика, он извинился, сказав, что перепил и поехала крыша🤡",No,
35,1129015804,12179,"В Сирии при обстреле неизвестных в провинции Дейр-Эз-Зор пострадали четверо военнослужащих ВС США. По данным международной коалиции, боевики выпустили несколько реактивных снарядов в направлении расположения ВС США на нефтегазовом месторождении ""Умар"", два из них попали в цель. Как сообщается, военные получили легкие ранения и контузии. Ответственность за нападение пока никто не взял. В Пентагоне подозревают, что за обстрелом стоит одна из проиранских группировок. Это уже третий подобный инцидент в Сирии с начала 2022 года. 

Одновременно с этим в Ираке воинская часть ""Айн Аль-Асад"" подверглась обстрелу реактивными снарядами и налету БПЛА. ВС США заявили, что ПВО удалось сбить один из беспилотников, что помогло избежать жертв при теракте. Пока никто не взял за него ответственность.",Yes,A
36,1129015804,12978,"В Ираке в ночь с 13 на 14 июля неизвестные самолеты нанесли удар по расположению проиранских сил неподалеку от приграничного с Сирией г. Эль-Кайм. Как сообщается, при налете было разрушено несколько складов с вооружением.

В июне 2021 года Пентагон нанес [удары](https://t.me/directorate4/10014) по расположению проиракских группировок в округе Эль-Кайм. Американцы мотивировали налеты тем, что поддерживаемые Тегераном бойцы совершали нападения на объекты ВС США в Ираке и Сирии.",Yes,B
37,1498939244,32846,"Товарищи участники! 

Застегните карманы, проверьте закрытие автомобилей. За утерю личных вещей администрация саммита ответственности не несет!",No,
38,1093357968,13509,"Советы бывалых: Боец ОРБ «Спарта» рассказывает о работе беспилотчиков.
Вопрос: применение дронов с устройствами для сброса боеприпасов.",No,
39,1144404150,12614,"❗️**Народная милиция ДНР**: В ходе зачистки от украинских националистов н.п. Марьинка **15 военнослужащих** 54 механизированной бригады д**обровольно сложили оружие** и на **двух БМП перешли на сторону Донецкой Народной Республики**. 

@warjournaltg",Yes,B
40,1093357968,8968,"Похоже, что возле побережья Одессы начали взрываться те самые мины, ранее установленные ВСУ, а теперь дрейфующие из-за обрыва якорных тросов. 

Видео: соцсети 

@epoddubny",No,
41,1144404150,16160,"🇷🇺🇺🇦 Украинская артиллерия вновь нанесла удар по жилым кварталам в Киевском районе Донецка.
#Донецк #Украина
@rybar

__*Поддержать нас:__ `4377 7278 0407 7977`",Yes,B
42,1498939244,36810,"Сообщают о новом взрыве в Николаевской области. Пишут, что проблемы со светом начались. В области воздушная тревога.",No,
43,1129015804,13920,"Во Франции спецслужбы задержали десять женщин, подозреваемых в связях с Исламским государством. Одной из них предъявили обвинение в преступлениях против человечности и геноциде. Задержанные были экстрадированы на родину из Сирии в конце прошлой недели. Всего на французскую территорию вернулись пятнадцать женщин в возрасте от 19 до 42 лет, а вместе с ними сорок их детей. Они содержались с другими родственниками боевиков ИГ в подконтрольных ""Сирийским демократическим силам"" лагерях в северо-восточной Сирии.

Ранее к аналогичной процедуре экстрадиции прибегли и другие [страны](https://t.me/directorate4/13073), в т.ч. [Россия](https://t.me/directorate4/13880), однако о возбуждении уголовных дел в отношении возвращенных не сообщалось.",Yes,D
44,1283359437,41648,"Балкенкройц на украинском танке — украинские нацисты хвастаются раскраской техники в духе нацистов предыдущих, которых русские 77 лет назад закатали в землю.

@voenkorKotenok",No,
45,1366346975,49693,"МО РФ заявляет, что рассматривает возможность причастности американской организации USAID (которая тесно связана с Госдепом США и ЦРУ) к распространению коронавируса в мире.",Yes,A
46,1080134301,17856,"🔥🇷🇺🇺🇦 Российские РСЗО ""Ураган"" бьют по целям ВСУ.

Корректировку огня и доразведку целей российским артиллеристам обеспечивают БПЛА.",No,
47,1457892982,27661,"**❗️В Житомире, предварительно, два попадания по энергетическому объекту

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
48,1080134301,14951,"В Пензе шторм  опрокинул строительный кран на будку сторожа, мужчина погиб.",Yes,A
49,1283359437,41469,"Путин: Украинские спецслужбы осуществили уже** три теракта.** Была осуществлена попытка подрыва ""Турецкого потока"". Оставлять без ответа преступления киевского режима просто **невозможно**.

@voenkorKotenok",Yes,C
50,1093357968,9251,"Где-то в Черниговской области.

Инженерные войска РФ проводят работы по разминированию территории.

@epoddubny",No,
51,1511148555,12507,"Могила военнослужащего ВСУ. Тело лежало рядом с подбитым ""Бардаком"".

Мёртвого врага никто не обоссал, ничего не отрезал, не глумился...

Потому что мы Воины Христовы, а они нечисть. Мы не можем  поступать по другому, потому что добро живёт внутри нас, а у них в душе бесы. Помните об этом.",Yes,B
52,1144404150,18568,"В районе Сватово-Кременная тяжелая обстановка. 

Приехали к генералу Лапину на месте выяснить ситуацию.

Подробности позже.

@vladlentatarsky",No,
53,1366346975,50428,"**‼️🇺🇦🏴‍☠️Боевик ВСУ рассказал, что их готовили к нападению на Донбасс

**О готовящемся нападении на Донбасс и войне с Россией РИАН рассказал пленный ""украинский защитник"" 53-й механизированной бригады ВСУ.
**t.me/RVvoenkor**",Yes,C
54,1469021333,14148,"[🔄](https://deepstatemap.live/#11.75/49.6786/37.5808)**Мапу оновлено. Враховано звільнення лівобережної частини Куп'янська**. Багато часу забрало друге відео, яке на скріншоті

[Магазин](https://deepstateua.shop/)▫️[Блог](https://deepstateua.com/)▫️[Мапа](https://deepstatemap.live/)▫️[Написати нам▫️](http://t.me/newsDeepStatebot)[Звіти](https://help.deepstateua.com/)▫️[ЗСУHelp](https://t.me/help_deepstateua)",No,
55,1457892982,29817,"**Тем временем, объявился главный вояка ""ДНР"". Узнали? 

**Хорошо, что все-таки живой, Гаага готова встретить😏

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
56,1366346975,53435,"**Не рой могилу другому, сам в нее попадешь.

**Как иронично. Два видео с командиром 28-й отдельной механизированной бригады ВСУ. Одно от декабря 2021-го года, где он смеясь рассказывает, что он всерьез озабочен вопросом, ""Где он будет хоронить русских солдат"". А на втором видео снятом в июле 2022-го года хоронят уже его самого - персонаж стал жертвой высокоточного удара по штабу 28-й омбр, в результате которого погиб почти весь старший командный состав бригады. 

https://t.me/sashakots/35168",Yes,A
57,1457892982,29228,"**⚡️Статья 5 устава НАТО не была бы запущена, даже если бы была доказана вина России. Никто не хочет дальнейшей военной эскалации, — **[**Bloomberg**](https://www.bloomberg.com/news/articles/2022-11-16/g-20-latest-leaders-react-to-polish-probe-on-russia-made-rocket)** со ссылкой на французского чиновника

**Также, что известно на данный момент об инциденте в Польше:
▪️Дуда заявил, что в настоящий момент **нет однозначных доказательств того, кто запустил ракету в Польшу;
**▪️Эрдоган считает, что **факты указывают на непричастность России** к инциденту в Польше;
▪️Ясно одно: э**того бы не произошло, если бы не ужасающие ракетные удары России по Украине** — премьер Нидерландов;
▪️На сегодняшний день запланирован ряд встреч и консультаций между лидерами стран ЕС и НАТО. Несколько из них уже сделали **разные заявления,** но мнение одно — нужно дождаться результатов расследования.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
58,1511148555,9726,"💢💢💢**Командование ВСУ снимает резервы из Одессы и перебрасывает на херсонский участок,** - __украинские СМИ__

Также украинские каналы сообщают, что форсирование событий и наступления ВСУ несмотря на огромные потери делаются для того, чтобы успеть до окончательного оформления вхождения новых субъектов в состав РФ __(голосования в Госдуме, ратификация, одобрение Совфеда и т.д.)__, то есть - до 4 октября.

**Интересно, чего Киев ожидает после 4 октября, и откуда такая спешка.**",Yes,D
59,1080134301,15260,🔥🇷🇺🇺🇦 Донбасс. Все что осталось от ночных российских ударов по позициям ВСУ.,No,
60,1498939244,36800,"Уничтоженный грузовик ВСУ с боекомплектом, и две повреждённые Ноны. 
Локация неизвестна",No,
61,1080134301,18164,"На Крымском мосту произошел подрыв грузового автомобиля — Национальный антитеррористический комитет.

Это привело к возгоранию 7 топливных цистерн и частичному обрушению двух пролётов моста.",No,
62,1093357968,9606,"Бойцы ВС РФ и НМ ДНР смогли эвакуировать 47 членов экипажа с кораблей, захваченных украинскими националистами в порту Мариуполя.

Сейчас моряки из России, Азербайджана, Египта и Украины направляются в Донецк.

@epoddubny",No,
63,1247556894,3829,"Друзі! 
Важлива інформація!

У Києві та області змінюється час комендантської години.

Із неділі, 15 травня, комендантська година розпочинатиметься на годину пізніше.

І триватиме з 23:00 до 5:00 ранку.

Від 16 травня громадський транспорт столиці працюватиме довше. 

Метрополітен - з 06:00 до 22:00. 
Наземний громадський транспорт - з 06:00 до 22:30.

Дотримуйтеся правил комендантської години. А також - не нехтуйте сигналами повітряної тривоги! Бо загроза ракетних обстрілів Києва залишається.",No,
64,1283359437,38638,"**Сводка МО РФ от 24 июля 2022 г. Главное:

**— На военном аэродроме Канатово Кировоградской области поражена авиационная техника воздушных сил Украины;
— В Одессе на территории судоремонтного завода уничтожены украинский военный корабль и склад ракет «Harpoon»;
— В районе н.п. Верхнекаменское (ДНР) уничтожено свыше 70% 108-го и 109-го батальонов 10-й горно-штурмовой бригады ВСУ;
— В Николаеве нанесен удар по складам вооружений — уничтожено более 50 боевиков, более 3000 артиллерийских боеприпасов различного калибра и 10 единиц бронетехники;
— В районе Артёмовска уничтожены две гаубицы М777, а в районе Николаева — комплекс РЭБ ""Буковель"";
— В рамках контрбатарейной борьбы подавлены три взвода РСЗО ""Град"" и 37 артиллерийских взводов;
— Сбиты пять украинских БПЛА.

@voenkorKotenok",No,
