Sr. no.,Post,HRV Result,HRV Type
43,"Во Франции спецслужбы задержали десять женщин, подозреваемых в связях с Исламским государством. Одной из них предъявили обвинение в преступлениях против человечности и геноциде. Задержанные были экстрадированы на родину из Сирии в конце прошлой недели. Всего на французскую территорию вернулись пятнадцать женщин в возрасте от 19 до 42 лет, а вместе с ними сорок их детей. Они содержались с другими родственниками боевиков ИГ в подконтрольных ""Сирийским демократическим силам"" лагерях в северо-восточной Сирии.

Ранее к аналогичной процедуре экстрадиции прибегли и другие [страны](https://t.me/directorate4/13073), в т.ч. [Россия](https://t.me/directorate4/13880), однако о возбуждении уголовных дел в отношении возвращенных не сообщалось.",Yes,D
45,"МО РФ заявляет, что рассматривает возможность причастности американской организации USAID (которая тесно связана с Госдепом США и ЦРУ) к распространению коронавируса в мире.",Yes,A
48,"В Пензе шторм  опрокинул строительный кран на будку сторожа, мужчина погиб.",Yes,A
49,"Путин: Украинские спецслужбы осуществили уже** три теракта.** Была осуществлена попытка подрыва ""Турецкого потока"". Оставлять без ответа преступления киевского режима просто **невозможно**.

@voenkorKotenok",Yes,D
53,"**‼️🇺🇦🏴‍☠️Боевик ВСУ рассказал, что их готовили к нападению на Донбасс

**О готовящемся нападении на Донбасс и войне с Россией РИАН рассказал пленный ""украинский защитник"" 53-й механизированной бригады ВСУ.
**t.me/RVvoenkor**",Yes,D
56,"**Не рой могилу другому, сам в нее попадешь.

**Как иронично. Два видео с командиром 28-й отдельной механизированной бригады ВСУ. Одно от декабря 2021-го года, где он смеясь рассказывает, что он всерьез озабочен вопросом, ""Где он будет хоронить русских солдат"". А на втором видео снятом в июле 2022-го года хоронят уже его самого - персонаж стал жертвой высокоточного удара по штабу 28-й омбр, в результате которого погиб почти весь старший командный состав бригады. 

https://t.me/sashakots/35168",Yes,A
58,"💢💢💢**Командование ВСУ снимает резервы из Одессы и перебрасывает на херсонский участок,** - __украинские СМИ__

Также украинские каналы сообщают, что форсирование событий и наступления ВСУ несмотря на огромные потери делаются для того, чтобы успеть до окончательного оформления вхождения новых субъектов в состав РФ __(голосования в Госдуме, ратификация, одобрение Совфеда и т.д.)__, то есть - до 4 октября.

**Интересно, чего Киев ожидает после 4 октября, и откуда такая спешка.**",Yes,D
77,❗️**Предварительные итоги контрнаступления 128 бригады ВСУ на Херсон в некрологах закарпатских СМИ**,Yes,D
80,"ДИВЕРСИИ УКРАИНЫ. А ПОЧЕМУ МЫ, СОБСТВЕННО, НЕ ОТВЕЧАЕМ В ТОМ ЖЕ ДУХЕ, ПОЧЕМУ МЕДЛИМ С ТЕМ, ЧТО ЕЩЁ ПРЕДСТОИТ РАЗВЕРНУТЬ?
 
Опять моя эпистолярная дискуссия с Блогером. Его мысли, по традиции, в
кавычках.
 
**«Аттентат**, как следует из словаря, устаревшее название политического убийства. Но, как и во многих других вопросах, на Украине слово обозначает не то де самое, что во всём остальном мире.
 
Бандеровцы (исторические, не нынешние) долго говорили, что аттентат - одним из их способов политической борьбы. Не самая жёсткая для того времени идея, тридцатые годы 20го века вообще время далёкое от гуманизма. Только вот убивать действительно высокопоставленных политиков бандеровцы так и не смогли, постепенно скатываясь в терроризм. В итоге жертвами ""бандеровских аттентатов"" становились врачи, учителя, колхозники...
 
Современная же Украина занимается одновременно реконструкцией худшего, что могла найти в истории прошлого века, и игрой в слова, чтобы не затрагивать устоявшиеся у западных хозяев триггеры.
 
Как это выглядит? Украина не призывает к терроризму, но зато там требуют ""восстановить традицию бандеровского аттентата"". Какой терроризм, просто это особенности культуры и национальные традиции. Запад проглотил это когда убивали несогласных на Украине, на Донбассе, теперь и идеологических врагов в Москве.
 
Проблема в том, что в России многие не понимают в насколько иной системе ценностей и понятий живут на современной Украине, всё ещё находясь в плену воспоминаний о нормальной Украине. А там уже давно переименовали терракты в ""аттентаты"", ""диверсии"" или просто сухое ""уничтожение объектов"". Слова тоже многое значат, настолько многое, что на Украине значительная часть населения реально уверена в том, что воюет против русских террористов из организации ДНР, например.
 
С другой стороны, надо понимать, Москва проснулась в новой реальности: от серии терактов, которые отрезвили многих до сих пор очарованных былым братством народов. Но самому явлению современного украинского терроризма уже более 8 лет, оно родилось, сформировалось и выросло, годами продвигаясь к своей цели - горящей Москве».
 
**Я:** Оставьте, Украина давно измазана в крови идеологических оппонентов: Олесь Бузина, жертвы Сожжённой Одессы, Дарья Дугина. Это всё преднамеренное действие англосаксов. Они жгут мосты для отступления, не дают миротворческого манёвра своим нукерам из Киева. Кровь есть на руках? Кто ж их простит, они вынуждены воевать с нами до конца, любыми лютыми методами. О политических убийствах я упомянул. Жертвы диверсий: Захарченко, Моторола, Гиви, подорванный Крымский мост – последняя точка.
 
А что мы? А мы ещё не готовы выйти на тропу **этой **войны. Почему я в этом уверен? Так дайте хоть одну громкую сатисфакцию, оповестите о ней. А знаете, чем у нас занимаются профессионалы в этой области? Они воюют, как обычная пехота, потому что обычной пехоты не хватает. Где спецназы ГРУ (бригады все на войне), где легендарный «Вымпел»? На войне. Где ССО? На войне. У нас всю жизнь разведка охраняет командиров и штаб, а в джунгли ходить некому. Мы окунули СпН (профессиональных диверсантов) в окопную рутину, и ждать от них перестройки работы, в ближайшем будущем, не стоит.
 
Продолжим заколачивать рельсовые костыли хрустальными молотками?",Yes,A
81,"Вынос раненой девочки из под завалов дома в Донецке после украинского обстрела.
Официально заявляют об 1 погибшем и 4 раненых.
Неофициально говорят, что погибло 2 человека.

https://t.me/zheltyeslivy/42770",Yes,A
82,"❗️🇦🇲🇦🇿 **Азербайджан применил Bayraktar TB2.

**Около 15:00 на северо-западном участке линии соприкосновения азербайджанские подразделения применили БПЛА на высоте Сарыдаг, в результате чего смертельноe ранение получил один военнослужащий армении еще 8 военнослужащих получили ранения различной степени тяжести. 

Минобороны Азербайджана сообщает, что проводимая в Карабахе операция является ответом на гибель азербайджанского военнослужащего.

В данный момент напряженность на линии соприкосновения сохраняется. Для деэскалации задействованы российские миротворцы.",Yes,A
96,"❗️Ситуація щодо російського вторгнення

🔴Після обстрілу Зміїного з корабельних озброєнь та бойової авіації окупантів була зруйнована інфраструктура на острові. 

🔴Крім того, зв'язок з прикордонниками, які знаходяться на остові з воїнами ЗСУ, втрачено. 

🔴За наявною інформацією острів Зміїний захоплений. 

🔴Нагадаємо, ворог сьогодні неодноразово марно намагався залякати українських захисників на острові з вимогами здатися. 

🔴Прикордонники та ЗСУ мужньо тримали оборону.

🔴Зазначимо, Держприкордонслужба продовжує активно діяти спільно з Збройними силами України та Нацгвардією, аби спинити ворога, який підступно напав на нашу країну.
Перемога буде за нами!",Yes,D
104,"‼️‼️‼️Запорожская область де-факто отделилась от Украины и подала заявку на вступление в Россию, заявил глава ВГА региона.",Yes,D
105,"**Another Russian General killed in Ukraine **

Head of 49th combined arms army of the Southern Military District Yakov Ryazantsev was killed near Kherson today. He is the seventh Russian general who died during the war in Ukraine.

**В Украине убит еще один российский генерал**

Сегодня под Херсоном погиб командующий 49-й общевойсковой армией Южного военного округа Яков Рязанцев. Он седьмой российский генерал, погибший во время войны на Украине.",Yes,A
107,"[​​](https://telegra.ph/file/73d209d06be105da5c72c.jpg)**Карта военных действий и ситуация на фронтах к вечеру 3 сентября

**Ночью в очередной раз произошла попытка [захвата](https://t.me/readovkanews/41155) боевиками ВСУ Запорожской АЭС, и вновь неудачно. Две группы десанта, числом свыше 250 человек, на катерах и моторных лодках попытались пересечь Каховское водохранилище и высадиться в районе Энергодара и Днепропрудного. Однако их перехватили, когда они еще были на воде — накрыли ударами четырех Су-30 и двух Ка-52 ВКС России. Итог: 20 катеров и лодок были утоплены, остатки нападавших развернулись в сторону украинского берега, где были еще раз атакованы нашей артиллерией. По данным Минобороны РФ, в ходе этой ночной [провокации](https://t.me/readovkanews/41157) ВСУ потеряли 47 человек убитыми, в их числе 10 иностранных наемников.

⚔️Обстановка на фронтах за уходящие сутки:

**▫️На Соледарском направлении** противник продолжает удерживать фронт по линии **Верхнекаменское-Ивано-Дарьевка-Веселое-Яковлевка**. Наши же атакуют позиции ВСУ в окрестностях **Яковлевки и Веселого, **им помогают ВКС**. 

▫️На Донецком направлении **русские войска продолжают пробивать дорогу в сторону **Авдеевки**. Продолжается противостояние за развязку **Донецкой кольцевой автодороги** за **Песками**, наши ведут наступательные действия на Первомайское. 

**▫️На Южном направлении** на большинстве участков сегодня не было новостей о крупных изменениях. Вся активность сосредоточилась на Андреевском участке. В районе Сергеевки, под Новой Каховкой, ВКС России [сбиты](https://t.me/readovkanews/41171) два украинских штурмовика Су-25.

**▫️На Андреевском участке** же ситуация сегодня складывалась не просто. Ночью наши разбомбили все три понтонные переправы через Ингулец и таким образом отрезали на южном берегу скопившуюся там в узком прорубленном коридоре группировку. Им на помощь поспешило подкрепление — командование ВСУ решило сконцентрировать имеющиеся резервы и силы здесь для деблокировки и расширения плацдарма. Для этого перегоняли колонны техники и людей через Березнеговатое, насыпана новая переправа. В результате в течении дня боевикам удалось полностью занять село Благодатовка и деблокировать окруженные на южном берегу группировку. Но наши держат ситуацию под контролем, используя артиллерию и авиацию. Противостояние продолжается.

**По нашему приграничью** — утром ВСУ обстреляли село Кистер Погарского района Брянской области. Были повреждены линии электропередач и дорога, погибших и пострадавших удалось избежать. Также в районе Старого Оскола Белгородской области успешно сработала наша ПВО. 

**Прилеты** сегодня фиксировались в Донецке, Горловке, Ясиноватой. После многочисленных ракетных ударов ВСУ произошло частичное обрушение моста через Каховскую ГЭС — судя по спутниковым снимкам, обрушился один пролет. Также были обстреляны жилые кварталы города-спутника станции, работала ПВО. В Херсоне же был варварски [обстрелян](https://t.me/readovkanews/41180) спортивно-оздоровительный центр. 

**Калибры**. В Славянске наше высокоточное оружие поразило пункт временной дислокации 95-й десантно-штурмовой бригады — уничтожили более ста украинских военнослужащих и 14 единиц бронированной и автомобильной техники. Также в районе Константиновки [уничтожена](https://t.me/readovkanews/41171) РСЗО HIMARS c машиной подвоза боеприпасов и до 30 человек боевого расчета.
Южнее станции Выемка, что под Северском, был поражен пункт временной дислокации 93-й механизированной бригады — ликвидировано до 120 боевиков и 11 единиц военной техники. В районе Новоселовки Днепропетровской области был [сбит](https://t.me/readovkanews/41171) украинский **МиГ-29**, оснащенный ракетами HARM.

**В мире** **— **тем временем в [Праге](https://t.me/readovkanews/41181) и [Париже](https://t.me/readovkanews/41189) прошли антиправительственные митинги. Протестующие призывают уходить действующие власти в отставку, а слоганом чешских протестующих стал лозунг «Это не наша война», очевидно относящийся к непомерным жертвам ради Украины.

**Из интересного — в последние дни на Херсонском направлении показали изменение тактики **ВКС РФ. По оказавшимся в огневом мешке на южном берегу Ингульца наша оперативно-тактическая авиация стала работать планирующими бомбами и «чугунием» — они же ФАБ-500. Что это означает и чем это показательно — [объясняет](https://t.me/readovkaru/1316) Readovka.",Yes,A
108,"Такой ближний бой мы вам ещё не показывали. На видео, снятом с дрона, редчайшие кадры перестрелки штурмового батальона 11-го полка Народной милиции ДНР с отдельным родом войск Украины — ССО (Силы специальных операций).

Бой происходит на территории укрепрайона ВСУ в Первомайском, на Донецкой кольцевой дороге. После отступления украинские боевики рассредоточились, поэтому нашим бойцам приходится буквально выковыривать вэсэушников из «лисьих нор», вырытых под асфальтовым покрытием.

Пули пролетают даже не в нескольких метрах, а в десятке сантиметров — так, что их можно услышать. А всё, что можно увидеть, отделяет насыпь. Автоматные очереди и взрывы гранат. Вот это ближний бой!

Видео от нашего военкора [Андрея Филатова](https://t.me/FilatovCorr).

@milchronicles",Yes,D
118,"От Суда не уйти никому! Умер Горбачев. Да воздаст ему Господь!

@voenkorKotenok",Yes,A
119,"Известный русофоб Альфред Кох негодует. Он то всерьез воспринимал украинскую пропаганду и наверняка слушал Арестовича, а в августе наступило прозрение:

__""Вот и прошёл сто шестьдесят первый день войны. Я уже перестал что-то понимать. Нам так много говорили, что вот-вот начнётся украинское наступление на Херсон, что я всё никак не могу привыкнуть к тому, что те же говорящие головы, которые нам лили в уши про это наступление, теперь, без всякого перехода, предлагают нам ждать российского наступления от Херсона на Николаев и Кривой Рог.

Нам так долго рассказывали, что российская артиллерия осталась без снарядов, что нам опять нужно привыкать к тому, что она шесть дней к ряду засыпает снарядами Донбасс. Нам говорили, что у Путина уже нет резервов. Но перекинув 30 БТГ под Херсон, у него всё ещё есть силы продолжать наступление на Бахмут и Авдеевку.

**Ребята! Хватит врать. Расскажите все как есть. Шойгу утверждает, что он уничтожил шесть HIMARSов. Вы утверждаете, что это ложь. Но почему тогда ещё неделю назад вы за ночь уничтожали по 10-15 складов противника, а теперь только по четыре-пять? Он утверждает, что уничтожил пять HARPOON. Если это неправда, то почему с тех пор, как они появились на вооружении ВСУ, не было потоплено ни одного корабля Что, вообще, происходит? Почему вместо войны Офис Президента занят разборками с Днепровскими? 

Украинские пропагандисты в один голос рассказывают нам про то, что путинские вояки больше не возьмут ни одного крупного города. Тогда зачем тотальная эвакуация из Донецкой области? Это на шестой-то месяц войны! А почему её не провели раньше, когда русские наступали? И почему ее проводят теперь, когда риска такого наступления нет? Или есть?

**На дворе август. Это был тот дедлайн, который вы называли как крайний срок для перехода ВСУ в наступление. Нам все ещё ждать его или у вас теперь есть новая дата? Если да, то назовите её. И объясните причины переноса. Только не надо заводить старую волынку про то, что Запад плохо помогает. Запад вас в эту войну не загонял, а даже наоборот, пытался помирить вас с __Путиным__. За что вы Запад презирали и гордились своим молодечеством. 

И теперь он помогает как может. Миллиарды кэша почти каждый день сыпяться как из рога изобилия. У вас уже западных РСЗО почти столько же, сколько у британской армии. Европа готовится замерзать зимой, но отступать не намерена. Так что хватит про ""плохой"" Запад. Давайте уже, наконец, про танцора и что ему мешает в реальности"".

__Обманули в лучших чувствах и ожиданиях. 😀",Yes,C
