Sr. no.,Channel ID,Post ID,Post,HRV (Yes/No),"Type (A,B,C,D)"
11,1457892982,29760,"**Рубрика обнадеживающих новостей из Израиля** 

В страну приехала украинская делегация во главе с генерал-майором ВСУ, чтобы **договориться** о **создании системы предупреждения о ракетных ударах** — журналистка израильской телекомпании «Кешет» Мория Уолберг.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
12,1498939244,32456,"Глава комитета Совета Федерации по конституционному законодательству и госстроительству Андрей Клишас заявил, что отмена моратория на смертную казнь сейчас невозможна.

«Возврат к смертной казни в России при действующей Конституции невозможен», — написал Клишас. 

По его словам, такую позицию публично отстаивает председатель Конституционного суда Валерий Зорькин.",No,
13,1144404150,12496,"⚡️**Кадры уничтожения замаскированных позиций с вооружением и личным составом украинских националистов в Киевской области

**Позиции националистов были обнаружены с применением беспилотного летательного аппарата, после чего по ним был скорректирован огонь артиллерии. Точным попаданием личный состав и техника были уничтожены.

Видео: Минобороны РФ",No,
14,1498939244,34050,"Хмельницкий, Луцк, и Запорожье частично обесточены.",No,
15,1164348791,6325,"ПЕСКИ. ЖЕСТКОЕ МЕСТО. ПЕРСПЕКТИВНЫЙ УЧАСТОК ПРОРЫВА ВСУ И, ОДНОВРЕМЕННО, НАШЕГО НАСТУПЛЕНИЯ.  

«Сомали» и 11-й полк с одной стороны, а напротив части ВСУ смотрят друг на друга, как два тигра готовых рвануть в атаку. 

Наша оборона настроена так, что в одном месте, в случае попытки прорыва ВСУ,  может быть сосредоточен огонь сразу нескольких российских дивизий.    

Время на нашей стороне. Киеву надо моментально что-то продемонстрировать. Но, я думаю, что уже поздно. 

На этих кадрах окраина Песок, линия фронта.",No,
16,1366346975,56838,"13 сентября, Военная хроника. Главные события этого дня. 

@milchronicles",No,
17,1144404150,15364,"**‼️🇷🇺🇺🇦 Разгром ВСУ в Лимане: Первые из толпы пленных рассказывают о штурме и массовой сдаче

**Нам приходят записи допросов первых из[** около 500 ВСУшников**](https://t.me/RVvoenkor/13443), взятых в плен в Лимане армией России.
**▪️Сдались 16 солдат**, прятались в подвале церкви, - говорит мобилизованный из 2-го стрелкового батальона ТерО из Луцка.
**▪️Сдалась ""куча пацанов""**, говорит боец группы из 10 мобилизованных из этого же бата.
Армия России продолжает выбивать ВСУ из Лимана.
Киев бросает в бой неподготовленных, шокированных войной работяг, они прячутся в подвалах и сдаются при первой возможности.
**t.me/RVvoenkor**",Yes,D
18,1283359437,42188,"[💥](https://t.me/vrogov)**Энергодар и Ивановка под огнём боевиков ВСУ!

Сегодня боевики Зеленского обстреливали из тяжёлой артиллерии НАТОвского образца Энергодар и его пригороды, нанося удары по гражданской инфраструктуре и жилым домам.

**В результате обстрела пострадала техника коммунального предприятия ""Проминь"", обеспечивающего в Энергодаре чистоту и порядок.

Особенно досталось селу Ивановка, расположенному в паре километров восточнее города энергетиков.

На видео хорошо слышны звуки прилётов и того, как ""ходит ходуном"" весь дом, находящийся в паре сотен от места прилёта.

Жители села были вынуждены провести несколько часов в подвалах.

В результате обстрела пострадал дом, в котором проживают несколько семей.

Напомню, месяц назад во время проведения всенародного голосования о воссоединении с Россией один из избирательных участков в Ивановке из-за обстрелов [пришлось эвакуировать](https://t.me/vrogov/5153) в резервное помещение. Люди самоорганизовались и перенесли его в другое место, чтобы их голос был услышан.

[Владимир Рогов](https://t.me/vrogov)",Yes,A
19,1080134301,14467,"🇷🇺🇺🇦 **Первая ракетка России Дарья Касаткина помогла украинке Ангелине Калининой, когда та получила травму.

**На турнире в Берлине Калинина оступилась и подвернула ногу. Касаткина подбежала к сопернице с пакетом льда.",No,
20,1283359437,43125,"Кратко по обстановке в районе Сватово-Кременная, полоса обороны 20 ОА. Существенных отличий от дня вчерашнего не было, разве что сегодня наши активно применяли боевые машины (танки и БМП), плодотворно отработав с них по позициям 80 десантно-штурмовой бригады ВСУ. Основные боевые действия сейчас идут конечно  же на Бахмутском направлении, там самая настоящая мясорубка, в которой уничтожаются силы хохла. 

Но и тут, в районе Площанки-Макеевки, наши парни твёрдо вознамерились уничтожить всю 80 бригаду (что логично, правильно и справедливо, бешеные животные не должны бегать на воле). Бедолагам из харьковского ТРо,коими сейчас хохол заполняет дыры, просто не повезло оказаться рядом с педерастами, то есть украинскими десантниками.",No,
21,1366346975,50096,"**Спецоперация, 6 августа. Главное от **[РИА Новости](https://t.me/rian_ru/173629)**:  

**— У Белогорки в Херсонской области ВКС РФ и артиллерия поразили пункт дислокации 46 украинской аэромобильной бригады, уничтожено свыше 400 человек. Также в результате ударов по боевым позициям украинских войск в Херсонской области уничтожены более 70 националистов, около 150 ранены;

— Как сообщило МО РФ, в ходе контрбатарейной борьбы уничтожен украинский взвод РСЗО ""Ольха"" и американских ""HIMARS"" в Харьковской области;

— ВКС РФ уничтожили более 80 наёмников и 11 единиц техники в результате удара по опорному пункту ""Иностранного легиона"" в Днепропетровской области;

— РФ вновь призвала ООН, МАГАТЭ осудить преступные действия Киева и принять меры  по недопущению провокаций на радиационно опасных объектах. Обстрелы территории Запорожской АЭС Киевом носят намеренный характер, создается угроза ядерной безопасности не только Украины, но и Европы, заявили в МО РФ;

— Кадыров сообщил, что поговорил с Путиным о чеченских бойцах, выполняющих задачи на Украине, президент высоко оценил их боевые заслуги и вклад в освобождение ЛНР;

— По сообщению МО РФ, украинские боевики готовят провокации: они заминировали автомобильный мост в Запорожской области, а также готовятся обстрелять из минометов мирное население в Славянске.",Yes,A
22,1498939244,36493,"Барабанная дробь. 
Можно много конечно говорить, но этот шаг вперёд сделан. 
Ни Лова и ни Ванеда конечно внешне, но впервые в истории армия получает современную качественную обувь. 
Централизованные закупки от МО начаты. 
Все отечественное. 

Ждём отзывов. 
Вымутили себе уже пару, скоро распишем по отзывам.",No,
23,1511148555,9937,"Партнерам Украины не нужно бояться российского ядерного оружия, т.к. ядерный потенциал РФ ""закончился в 1997 году"", заявил в интервью журналу Forbes министр обороны Алексей Резников.

""Что касается технического состояния ядерного оружия России. Весь ее ядерный потенциал закончился в 1997 году. А когда они последний раз проводили испытания ядерного оружия? В конце 1990-х годов в Казахстане на соответствующем полигоне. Где они будут его применять? На линии фронта, чтобы уничтожить не только украинские, но и свои подразделения? Черное море? Там три натовских страны"", — заявил Резников

Он заявил, что ""после Мариуполя, Бучи, ракетных обстрелов"" украинцев не запугать ядерным оружием.

""Перестаньте бояться Россию. Это не вторая армия мира, это нищие, мародеры и насильники. Это тюрьма, которая напала на Украину"", — заявил Резников.",Yes,C
24,1164348791,6334,"ПЛЕННЫЙ УКРАИНСКИЙ ШТУРМОВИК 79-й БРИГАДЫ ВСУ (г.НИКОЛАЕВ) ИВАН КРАВЧУК. 

Про сослуживцев: «У нас четыре пенсионера в группе и чувак, который просидел всю свою жизнь». Такие десантники на Украине. Посылали в бой, группа отказалась. В итоге на «тихих» позициях попали в плен. 

Говорит: «Привели в полночь к блиндажу, сидите и слушайте! Ни бинокля, ни тепловизора. Даже с соседним блиндажом связи не было. А к нам пришли ребята очень хорошо подготовленные (пехота 42-й дивизии)».",Yes,D
25,1109403194,35350,"Сегодня днюхи у [Огнеборца](https://t.me/ogneborets_spb) и [Александра Коца](https://t.me/sashakots)!

**Братья! Мира, Добра и Процветания Вам. Всего светлого и ясного!**",No,
26,1093357968,10984,"⚡️Эксклюзив

**Находки в школе посёлка Степное, ДНР.**

Детей с малого возраста приучают к националистическим лозунгам. Книги в школьной библиотеке героизируют нацистских боевиков ВСУ.

Также там есть книги с нацистской пропагандой, которая направлена на возбуждение ненависти к России и россиянам.

@MilitaryCriminal",No,
27,1457892982,23812,"❗️Слуцк. Пролёт российского бомбардировщика Ту-22 в южном направлении

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,B
28,1511148555,13939,"**⚡️****Турция окажет гуманитарную помощь Украине для преодоления «тяжелой зимы» - Эрдоган**

**💤Че, продолжать будете ездить отдыхать в Турцию?**",No,
29,1080134301,17216,"**🏴‍☠️Всё больше свидетельств участия иностранных боевиков, участвующих в войне против нас.

**Иностранные наёмники на технике НАТО наступают на наши позиции на Украине и Донбассе.",No,
30,1144404150,18900,"**‼️🇷🇺 Как БПЛА-камикадзе ""Ланцет"" уничтожали дивизион С-300 на Запорожье - интересное полное видео операции
**Кадры для тех, кто в комментах к первой части ролика писал, что якобы уничтожен макет. Как всё было:
▪️Разведка выявила расположение дивизиона С-300 на Запорожском направлении. По целям были выпущены беспилотники-камикадзе **""Ланцет""**. Первый уничтожил одну машину ЗРК и напугал экипаж второго комплекса, попытавшегося спрятаться.
Второй дрон поразил вторую - спрятавшуюся пусковую установку.
**t.me/RVvoenkor**",No,
31,1366346975,54534,"Ночные залпы HIMARS
31.08.2022",No,
32,1469021333,9590,"Змінили команду для повідомлення про русаків адмінам, Було /report а стало !report",No,
33,1498939244,36143,"Беспилотник ""Охотник"" превзойдет по своим характеристикам беспилотники нато — Ростех.

А мы наивно полагали, что подобные обещания обещать останутся где-то 23го февраля.",No,
34,1457892982,23546,"**Подоляк расставил точки над ""i"" по вопросу, чем занимается на Банковой Арестович

**Он подтвердил, что Арестовича [нет в списке ни штатных](https://t.me/c/1457892982/23528), ни внештатных советников руководства ОП, так как он** является советником сразу всего Офиса** **Президента** из-за того, что много говорит🤷🏻‍♂️

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
35,1469021333,11199,"😂Пішов на ""Славну охоту"". Вдало сходив. Дуже вдало, кожному його колезі б так",No,
36,1457892982,27802,"**❗️Завтра будет очень тяжелый день для всей страны. Будут отключения света. Граждан просят ограничить потребление электроэнергии в течение дня - с 7 утра до 23:00, — Кирилл Тимошенко 

**Это касается абсолютно всех областей. Также, с завтрашнего дня **в городах будет ограничено использование уличного освещения.

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
37,1469021333,9002,Бої на мінському масиві,No,
38,1093357968,14376,"Сегодня исполняется ровно 132 года со дня, когда произошло одно из самых позорных событий в истории США. О том, как американские солдаты устроили Бойню на ручье Вундед-Ни, рассказывает «БайБайден». 

Индейские войны в Северной Америке длились два столетия. Однако к концу XIX века остатки племен были вытеснены в резервации, а некогда многочисленные стада бизонов, дававшие пропитание многим аборигенам, целенаправленно уничтожены. 

В 1890 году состоялось одно из последних крупных вооруженных столкновений между индейцами и американскими военными. Правда, это было не классическое армейское сражение, а натурная бойня, сопровождавшаяся массовыми убийствами женщин и детей.

Многочисленная группа индейцев под предводительством вождя Большая Нога решила совершить переход в соседнюю резервацию. Причиной было желание обезопасить себя от голода и возможной агрессии военных. В свою очередь, американские кавалеристы решили, что краснокожие пытаются объединить силы для массированного удара, и начали преследование.

Военные настигли индейцев на переходе, когда те почти добрались до конечной точки маршрута. Солдаты потребовали от индейцев сдать оружие. Но те не соглашались, поскольку все оружие использовалось для охоты, без которой люди бы попросту не выжили. Началась перебранка, раздался выстрел, а затем он перерос в неконтролируемую стрельбу. 

Индейцы попытались организовать сопротивление, но силы были неравными. Сначала военные стреляли в плотную массу индейских воинов, затем открыли огонь по беззащитному поселению. После этого кавалеристы преследовали разбегающихся индейцев еще несколько миль, убивая всех на своем пути, включая женщин и детей. 

Официально на поле боя собрали 153 тела индейцев (88 мужчин, 44 женщин и 18 детей). Согласно заявлениям участников побоища, были убиты сотни человек. Эта чудовищная трагедия вошла в историю как Бойня на ручье Вундед-Ни. Несмываемое пятно американского позора.

👍 [БайБайден. Подписаться](https://t.me/+Kr4n4f9pdWRjNDVi)",Yes,A
39,1469021333,9647,Кібервійська досить успішно працюють,No,
40,1093357968,11466,"Друзья, снова нужна узкоспециальная помощь.
К сожалению, семьи с ранеными детьми тоже попадают на удочку мошенников. У нас уже две семьи, которых обобрали почти подчистую.
У них возникают разные споры и конфликты с соседями, к сожалению, все как в нашей жизни. 

Есть три сложных задачи по арендуемому жилью, где-то уже давно шел суд.

Мы очень просим помощи юриста, который будет с нами на связи и проконсультирует по паре мошеннических случаев. 
И адвокат, который разбирается в жилищных дедах, в вопросах морального ущерба, договорах аренды и прочих спорах о протечках и коммунальных задолженностях.

Нужен 1 или 2 специалиста. 
Пожалуйста, пишите на почту фонда info@liza.fund
Просим вас не сердиться, если ответим не всем, в фонде очень трудный период.
Времени катастрофически не хватает.",Yes,A
41,1498939244,33360,В Одессе вибухи,No,
42,1511148555,11103,"Хохлы это вам новая марка. Вы же дрочите на марки))) хотя да, электронные письма теперь в глубоком прошлом 😂😂😂",No,
43,1080134301,18853,Подстанция в Кировоградской области🇺🇦 после сегодняшних прилетов.,No,
44,1366346975,51339,"Amnesty ПЕРЕСМОТРИТ свой отчет. 

Независимая беспристрастная организация, слов нет😂😂😂",No,
45,1457892982,25580,"**Радиус доставки Glovo из Макдональдса в Киеве после открытия первых трех точек, а так же новые цены** 

Правый берег пока останется без биг-маков.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
46,1144404150,14457,"Накануне замглавного нацика из ""Азовстали"" обратился в эфире турецкого телеканала к Эрдогану с просьбой забрать его в Турцию

Мы поддерживаем обращение нациста и раскрываем тайный смысл **заявления директора зоопарка в сирийском Идлибе, который в конце прошлого года **[**сообщил**](https://www.al-monitor.com/originals/2021/12/idlib-opens-first-zoo)** о прибытии ""редких экспонатов из Украины""

**__«Несмотря на то, что мы привезли большое количество животных, мы решили выставлять их в несколько этапов, чтобы держать жителей в напряжении. **Зоопарк запрашивает у Турции разрешение на ввоз редких животных из таких стран, как Украина**"" - заявил директор зоопарка Юссеф аль-Сайед__",No,
47,1457892982,26946,"**Ни на что не намекаем. Просто даем понять, что мы достаём

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
48,1366346975,55676,"Националисты бросают военную технику прямо на поле боя, не пытаясь ее защитить. 

Корреспондент ""Известий"" Кирилл Ольков показал танк Т-80, получивший минимальные повреждения. По его словам, состояние хорошее: башня цела, а на корпусе нет ни единой царапины. Теперь боевая машина пополнит ряды техники российской армии.

__""Машины, которые разукомплектованы где узлы и агрегаты, не подлежат восстановлению, будут разобраны. Хорошие отдадим войскам ДНР"",__ — поделился заместитель командира ремонтной роты Иван.

В отличие от украинских ВС, российские солдаты сражаются за каждую военную единицу до последнего.

[Подписаться на IZ.RU](https://t.me/izvestia)",Yes,B
49,1080134301,16996,Добро пожаловать в Нью-Йорк,No,
50,1511148555,9149,💤Такие хохлы не должны жить в этом мире‼️‼️‼️,No,
51,1144404150,17781,"🇷🇺🇺🇦 Украинские «тиктокеры» засветили очередной уничтоженный ВС РФ американский тягач M1083A1P2 и гаубицу M777.

@warjournaltg",No,
52,1109403194,35145,"К вопросу зачем нужны коптеры, которые мы покупаем с помощью наших дорогих подписчиков. 

Корректировка и удар по укрывшимся в доме солдатам ВСУ. Вдвойне радует то, что наши бойцы очень хорошо научились и корректировать и бить по данным корректировщиков-дроноводов. Краматорский район ДНР.",No,
53,1457892982,27697,"**В продолжение темы **[возможного нападения](https://t.me/c/1457892982/27676)** из Беларуси

**Военные в РБ получили новые отличительные знаки. **У белорусов на рукавах красные повязки, а на технике — знак в виде двойки в треугольнике**. 

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
54,1457892982,28502,"**⚡️Украинским военным разрешат уходить в отпуск во время военного положения** **на срок до 10 дней 

**Сегодня Рада приняла соответствующий [законопроект](http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=74977) за основу. Он предусматривает** возможность бойцам ВСУ уходить в отпуск на 10 дней (без учета дороги) с сохранением при этом денежных выплат. 

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
55,1109403194,37731,"Ростех проводит [ликвидацию](https://t.me/RtrDonetsk/13310) оборонных заводов с признаками неплатежеспособности и недостаточности имущества. На момент передачи заводов АО «Спецремонт» в структуры Ростеха их общая задолженность по гособоронзаказам составила 30 млрд руб. Избежать банкротства не получится, реструктурировать тоже, несмотря на усилия подконтрольной Ростеху «РТ-Капитал». Средства по ликвидации пойдут на оплату долгов «Спецремонта» перед МО РФ.

Стабилизировать ситуацию в период СВО помогло перераспределение производственных мощностей предприятий, входящих в холдинги Ростеха. Снизилась нагрузка на бюджет, сокращаются расходы на содержание предприятий, люди получают рабочие места. Сообщается, что некоторые заводы ликвидированы не будут: там проводятся мероприятия по возобновлению производства выпускаемой продукции, что особенно важно для быстрых поставок отремонтированной техники на фронт.

@sashakots",No,
56,1511148555,10691,"💤У свиномразей всегда так, если кто то им отказал, он сразу превращается во врага😂 ублюдское дерьмо!",No,
57,1469021333,10814,"🔥Посадка в Берліні пройшла суворого за планом, відповідно до плану спецоперації",No,
58,1144404150,15155,"Кадры уничтожения колонны живой силы ВСУ в Изюмском районе. 

@razved_dozor",No,
59,1498939244,36586,"Один дрон КНДР после попадания на территорию Южной Кореи смог улететь обратно, а еще 4 беспилотника пропали с радаров южнокорейских военных, сообщает агентство Yonhap.",No,
60,1457892982,27855,"**Грузия нарастила торговлю с Россией на 50% с начала полномасштабной войны в Украине **🤷🏻‍♂️

Товарооборот [вырос](https://www.newsgeorgia.ge/gruzija-uvelichila-tovarooborot-s-rossiej-na-50/), в основном, за счет увеличения импорта нефтепродуктов — Россия крупнейший импортер нефти для Грузии. Также значительно вырос реэкспорт автомобилей из Грузии в Россию.

Просто напомним, что **пятая часть территории Грузии оккупирована Россией.

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
61,1536211233,1804,"**🔴DAILY REPORT WITH KEY NEWS🔴**

**Available on Medium:**

**🇬🇧**[**English**](https://medium.com/p/ee2883ed06e0)
**🇺🇦**[**Ukrainian**](https://medium.com/p/87e3a52322e8)
**🇩🇪**[**German**](https://medium.com/p/3002298f437d)
**🇫🇷**[**French**](https://medium.com/p/1064e42e720a)** **
**🇪🇸**[**Spanish**](https://medium.com/p/3fa733a062a4)
**🇷🇸**[**Serbian**](https://medium.com/p/7ecc0052d71f)
**🏳**[**Russian**](https://medium.com/p/a7ff0731eb65)** **

**Please share our recap with all of your friends and colleagues**",No,
62,1283359437,43462,"Путин: Россия наносит удары по энергетической инфраструктуре Украины, но не она первой начала – **первые удары нанесли те, кто бил по Крымскому мосту**.

@voenkorKotenok",No,
63,1469021333,8779,"**Обстріляна військова частина між Липецьким та Малим Куяльником 

Нардеп Гончаренко**",Yes,B
64,1247556894,5028,"[​​](https://telegra.ph/file/5ee35384cf5eda670959e.jpg)**🌧У Києві 10 та 11 вересня очікується значний дощ – Укргідрометцентр

**✔️У всіх районах столиці гідрослужби посилюють роботу: очищають колектори дощової каналізації, дощоприймальні колодязі і решітки зливостоків. 

🚜До початку опадів гідрослужби із технікою виїдуть на місця можливих підтоплень. За такими локаціями посилено моніторинг. Загалом, підприємство має 91 одиницю спецтехніки і спецзасобів.

📞У разі виявлення місць підтоплень на проїжджій частині чи тротуарах звертайтесь до диспетчерської КК «Київавтодор» за тел.: 284-74-19.",No,
65,1498939244,35057,"Донецк, 10 ракет «Града» прилетело",No,
66,1498939244,30116,"Вот-вот, когда у парадно-потешной кантемировки и тамани ЗВО вместо боевой подготовки ежегодный дроч к параду, покраска танков, строевая, и прочая залупа, то о каких, нахуй, успехах в войне можно говорить? А ещё слайды и отчёты, которыми заваливают офицеров...у нас системная проблема в МО! Спросите у любого офицера! Проверяющие приезжают в части и что? Да им зачастую абсолютно похуй на то, как выполняются боевые задачи на полигоне, комиссия идёт ебать офицеров за документооборот! Всё, на сегодня хватит. Отмобилизуемся и вопреки абсолютно всему дадим пизды нашим врагам.

https://t.me/milinfolive/91203",No,
67,1129015804,12309,"В сети появилась еще одна видеозапись с места нападения террористов в округе Сегу на расположение ВС Мали. Как утверждается, в объектив попал участник российской т.н. ЧВК ""Вагнер"". По данным минобороны страны, всего при терактах погибли шесть военнослужащих, еще шестнадцать получили ранения. Одиннадцать нападавших были ликвидированы.",Yes,A
68,1366346975,53034,На 18-30 количество убитых в результате обстрелов центра Донецка артиллерией и РСЗО ВСУ составило 4 человека. Еще 11 человек получили различные ранения.,Yes,A
69,1457892982,30636,"ПВО Николаевской области устраивает весёлый вечер руснявым Шахедам 😏

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
70,1498939244,31034,"Спикер Командования Воздушных сил ВСУ Юрий Игнат в комментарии для одного из украинских изданий заявил, что вторым разбившемся в Полтавской области украинским самолётом, помимо Су-24МР, оказался истребитель Су-27. 

Также Игнат добавил, что один из пилотов Су-24МР погиб при катапультировании. 

Ранее Минобороны РФ заявило, что в Полтавской области огнем российских систем ПВО был сбит как раз Су-27 ВВС Украины.",Yes,A
71,1080134301,14792,Разыскивает солдат НАТО,No,
72,1511148555,10249,"✅✅✅✅✅✅✅✅✅✅✅

Сообщают, что ударам подверглась Бурштынская ТЭС в Ивано-Франковской области. Станция обеспечивает не только западные города Украины электричеством, но и поставляет электроэнергию в Венгрию, Словакию и Румынию.",No,
73,1283359437,42141,"Первомайск в ЛНР, который сегодня был обстрелян из ""Хаймарса"". Убита мирная жительница.

@voenkorKotenok",Yes,A
74,1366346975,52774,"Что там в Николаеве?
(22.08)
Жители Николаева на себе испытывают последствия эксперимента : что будет, если в водопроводную сеть подать канализационные стоки.
После того, как ВСУ разрушили водовод, идущий в Николаев из Херсона, в водопроводную сеть подали воду прямо из Южно-бугского лимана. В этой воде в дополнение ко всем стокам всех городов на Южном Буге и Ингуле добавилась морская соль из лимана, поскольку уже сто лет назад выяснили, что в районе Николаева устье Южного Буга  представляет уже просто морской залив, немного разбавленный пресной водой.
Эта грязная соленая вода разрушает трубы и всю арматуру, но самое главное, соленая вода сделала неэффективными  очистные сооружения, и канализационные стоки уже практически без очистки стекают…в лиман. А оттуда куда? Правильно – опять в водопроводные трубы! Потому-то вода в кранах николаевцев и напоминает по цвету и запаху то, что течет по канализации.
Такой вот круговорот дерьма в природе. Водопроводные трубы не рассчитывались на поток неочищенного  хозяйственно-фекального содержимого.
 По городу текут ручьи, трубы рвутся, запах канализации прочно поселяется в городе.
Можно ли было что-то сделать? Ну, конечно. Хотя бы потратить часть из выделенных 56 миллионов на восстановление водоснабжение, и организовать забор воды на 5-10 километров выше по течению, где нет такой соли, и вода не собрала все стоки Николаева. Но денег же не так много, чтобы и себе оставить, и что-то с водопроводом сделать. Хватило только положить себе в карман, а люди обойдутся.
Местные власти сквозь зубы признали переход под контроль российских войск Благодатного, которое позволяет контролировать трассу Николаев-Снигиревка, хотя утверждают, что «бои трывают». Все ожидают, что в ближайшие дни станет ясно, является ли это российское наступление  попыткой улучшить положение многострадальной Снигиревки, или это начало большой южной компании.
Накал обстрелов ракетами Николаева не ослабевает, но даже это не останавливает украинизаторов в их стремлении уничтожить все исторические  следы России в регионе.
После предложения переименовать улицу Пушкинскую, совсем обыденно звучат идеи переименовать улицу Потемкинскую улицу оуновца Юрия Липы, или город Новый Буг в мисто Куца Балка.  Жители Нового Буга, наверно, будут счастливы. Они теперь будут куцые балковцы.
И это название – не насмешка над «патриотами», а их реальная попытка вернуть шляхетнисть и гиднисть Мыколаиву.
В городе ожидают нового «комендантского часа» длительностью в три дня. Засиделись команды сбушников, уже две недели не шерстили телефоны и квартиры николаевцев.
Непорядок. Сотни мест в СИЗО простаивают.
Улицы продолжают пустеть. Все больше пустых мест на рынках, и закрывшихся магазинчиков. Многие жители с завистью посматривают на Херсон, но туда не добраться.",Yes,B
75,1283359437,43183,"Так, при помощи пожарных и полиции, в Кракове доставали из квартиры украинских ""беженцев"", которые превратили в свинарник жильё, предоставленное им сердобольным поляком, после чего просто отказались оттуда съезжать.

@voenkorKotenok",Yes,B
76,1080134301,21004,"Полицейский пёс vs очень буйный нарушитель 

Зачем бить преступника в ответ, когда можно просто открыть дверь машины и выпустить козырь в виде К-9",No,
