Sr. no.,Post,HRV Result
71,"**Сводка МО РФ от 29 августа 2022 г. Главное:

**— В результате удара по пункту управления воздушного командования «Восток» в районе Днепропетровска и складу ракетно-артиллерийского вооружения в районе Нововоронцовки Херсонской области уничтожено до 70 боевиков;
— В районе н.п. Марганец (Днепропетровская область) поражены пункт временной дислокации 108-й бригады теробороны и полевые лагеря ""Айдара"" и ""Азова"" — ликвидировано более 100 боевиков, 20 единиц военной техники и свыше трёх тысяч реактивных снарядов для систем залпового огня;
— В районе н.п. Червоный Яр (Запорожская область) и Курдюмовка (ДНР) сбиты два украинских Су-25;
— Оперативно-тактической и армейской авиацией, ракетными войсками и артиллерией поражены 203 объекта, в т.ч. шесть складов ракетно-артиллерийского вооружения и боеприпасов;
— Сбиты шесть украинских БПЛА;
— Над территорией ДНР, Запорожской и Херсонской областями перехвачены три украинские баллистические ракеты «Точка-У» и 21 снаряд реактивных систем залпового огня «Ольха» и «HIMARS».

@voenkorKotenok",No
72,В Сумской области также аварийные отключения электроэнергии,No
73,"Кратко по Оскольскому фронту. Ситуация с Купянском будет понятна завтра, на сегодня нет подтверждений тому, что хохол нас выбил из восточной части города нет. Но переправу через Северский Донец  районе Студенка противник навел. По поводу переправы в Червоном Осколе через соотвественно реку Оскол, точной информации нет. Хохол в районе Студенка перебрасывает  личный состав и технику на наш берег. Наши парни бьются и никуда не побегут, как бы ни было тяжело.",No
74,"⚡️ Глава Херсонской области Сальдо обратился к президенту России с предложением о принятии Херсонской области в состав РФ в качестве нового субъекта.

Также известно, что Главы ДНР и ЛНР отправились в Москву для завершения юридической части вхождения ДНР и ЛНР в состав России.",No
75,"**Замес с наглыми бородачами

**Южане нагло ехали по обочине, но нашелся тот, кто не захотел и пропускать, на что те выскочили  из тачки и начали быковать.
В итоге получили перцовкой в лицо и чуть были не избиты толпой (на помощь оператору выскочили другие участники дорожного движения)",No
76,"И еще немного видео о том, как Балаклею «сдали без единого выстрела». 

@sashakots",No
78,"**Грязь, сено.** **Концерт для будущих пакетов.** Без комментариев.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
79,"**🇺🇦🏴‍☠️Помогаешь ЗСУ, а во Львове похую 🤣🤣🤣

Коротко о хохлоединстве.**",No
83,"Русская Гуманитарная Миссия продолжает работать. 

25 тонн гуманитарного груза доставлено в Луганск. 

[Продуктовые наборы и предметы первой необходимости](https://t.me/rgmagency/920) будут отправлены в города и сёла ЛНР и переданы тем, кто долгое время оставался без какой бы то ни было поддержки. 

Спасибо всем, кто поддерживает работу РГМ и [Фонд им. Елизаветы Глинки. ](https://t.me/liza_fund)

Мы продолжаем сбор в пользу жителей ДНР, ЛНР и освобожденных районов Украины. 

2202 2032 5864 7967 карта МИР

bc1qava2vg3wgx8fvrxqeull77xy359yqrexwsuu80 BTC 

0x47D9b99b239aEE283ba10d8D4D6c2269b22b5208 ETH

rfmFjVDUa7z1a2XC74yQpirdzk76AtCqiZ XRP

LPxD7gErrWSqqwYvmvuzRorLBZ9oMQ1Ngh LTC

@epoddubny",No
84,"**Собянин сообщил, что побывал ""на линии обороны"" в зоне спецоперации

**📲 В своем Телеграмм-канале мэр написал: __""Помогаем нашим ребятам на линии обороны обустроить рубежи. А также устанавливаем генераторы, печки и строим медицинские пункты""__.

🐔 [Подписаться на @truekpru](https://t.me/+p3pOHrMFlcI0NWRi)",No
85,💥ПВО доблестного 11-го полка сбили  петушиный Ми-8 под Первомайкой. Ждите видео.,No
86,"Около 80 тысяч мобилизованных граждан сейчас находятся в зоне проведения СВО, из них 50 тысяч принимают участие в боевых действиях, заявил Путин на встрече с губернатором Тверской области. 

Путин призвал власти на всех уровнях проявлять внимание ко всем мобилизованным, где бы они ни находились – на полигонах или в зоне боевых действий.",No
87,🇷🇺🇺🇦 Российские офицеры водрузили триколор размером 6 на 4 метра на высоте 202 метра над землёй в Херсоне.,No
88,Сегодняшние прилёты в Ровно 😘,No
89,❗️Херсонскую область никто сдавать не будет – власти,No
90,"**Психованный охранник применил против женщины газовый баллончик и физическую силу

**Женщина пришла в школу требовать альтернативный вход для детей, аргументируя тем, что металлические рамки вызывают бесплодие у мальчиков и девочек.

И.о. главы администрации столицы Коми уже сообщил, что охранник будет уволен.",No
91,**Судьба либерального куколд-мусора на чужбине.**,No
92,"**⚡️ Одесские чиновники решили подзаработать на ""зерновом коридоре"", — **[**ГБР**](https://dbr.gov.ua/news/dbr-vikrilo-na-odeshhini-masshtabnu-shemu-poboriv-z-eksporteriv-zernovogo-koridoru)**

**Стало известно, что лица при должностях не брезговали просить взятки **за экспорт зерновых культур** через морские порты Одесской области по **""зерновому коридору""**.  Все просто: хочешь получить документы — **плати**.

В ходе обысков уже нашли деньги от подобных сделок и документы, подтверждающие их.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
93,"В Киеве тоже зафиксирован прилет, поднимается дым после взрыва",No
94,🇷🇺🇺🇦 Донбасс. Работа минометных расчетов по позициям ВСУ.,No
95,"**⚡️⚡️⚡️Луганские аграрии в честь старта уборочной кампании  выразили поддержку бойцам Народной милиции и российским Вооруженным Силам, участвующим в спецоперации по освобождению Донбасса. Поле с символической надписью ""ZOV"" находится в освобожденном Новоайдарском районе.**",No
97,"📷**Пам'ятаєте декілька тижнів тому перевернутий у воді кацапський танк?

**Сьогодні він став нашим трофеєм. З третього фото видно, що екіпаж живим вибратись не зміг.

🔺Московські ЗМІ виставляли його за наш! Цікаво, що тепер скажуть? Івани залізли в український танк і втопилися?",No
98,"📹 **Союзные силы уничтожают противника в Марьинке

**Бойцы  батальона ""Шторм"" 102-го  мотострелкового полка 150-й  мотострелковой дивизии ВС РФ показали как продвигаются в Марьинке. Работают профессионально, используют современные методы ведения боя, приближая тем самым Победу.",No
99,"Москва задает тон в мерах поддержки семей мобилизованных. Собянин подписал указ о дополнительных льготах для наших героев.

Вот детские:

✔️Детей мобилизованных москвичей можно будет записать в детский сад во внеочередном порядке — когда ребенку исполнится полтора года. 

✔️ Во внеочередном порядке также можно будет перевести ребенка в детский сад или школу ближе к дому.

✔️Семье мобилизованного москвича не придется платить за присмотр и уход за ребенком в городских и муниципальных детских садах — эта плата отменяется.

✔️Детям мобилизованных москвичей в школах будет предоставляться бесплатное двухразовое горячее питание (завтрак и обед) независимо от класса (вплоть до 11-го).

✔️Если ребенок мобилизованного учится в городском колледже, ему будут предоставляться бесплатные обеды.

✔️Дети мобилизованных москвичей будут в первоочередном порядке зачисляться в группы продленного дня с 1-го по 6-й классы. Платить за посещение продленки не придется.

✔️Дети мобилизованных смогут бесплатно посещать занятия по дополнительным программам обучения в городских и муниципальных школах и учреждениях дополнительного образования.

[Есть еще льготы ](https://www.sobyanin.ru/o-podderzhke-semei-mobilizovannyh-grazhdan?utm_source=tg&utm_medium=post&utm_campaign=051022) для пожилых родственников, жен и тд.

Подать заявление можно в Центре поддержки семей мобилизованных (улица Сергия Радонежского, дом 1, строение 1). Связаться с центром можно по телефону: +7 (495) 870-44-44.",No
100,"**__«Боксер»: Противник выбегал из балок. Обзор трофейных карт и схем из Мариуполя
__**
Александр Шестаков (позывной «Боксер») — ветеран ополчения ДНР — продемонстрировал многочисленные трофейные карты, захваченные на позициях и в расположениях противника в освобожденном Мариуполе. 

Подписываетесь на [«Бастион»](https://bastyon.com/index?v=fb8e8cfc454f14a7e72721c16c70bca81b34aabebcb2c229406d6771f3f042a3&video=1&ref=PARV591XENALBB5ApkR7WcQPhEZtLHfi2A)!
Видео на [YouTube](https://www.youtube.com/watch?v=skOhrlS8c5M)

@voenkorKotenok",No
101,"Пентагон заявляет, что не может подтвердить сообщения о двух российских ракетах, упавших на территории Польши",No
102,"❗️Госсекретарь США Энтони Блинкен заявил, что в конгрессе идет работа над альтернативой признанию РФ ""страной-спонсором терроризма"".

[Конфликт🔥Z Подписаться](https://t.me/konfliktworld)",No
103,"💬 **Когда мы выходим на боевой путь, противник слышит грохот наших лопастей, наше рычание и просто покидает позиции. Боится он «Аллигатора».

**Кадры боевой работы экипажей ударных вертолетов Ка-52",No
106,"Строгость режима проезда компенсируется необязательностью его соблюдения. Злые языки говорят, что вот так можно было объехать газоанализатор на Крымском мосту (обсценная лексика). В обе стороны. Еще что-то про 200 рублей говорят в документах, не понял, зачем (да понял, конечно). 

Теперь за безопасность будет отвечать ФСБ. Может, пока не поздно, провести ревизию всех стратегических объектов в прифронтовых регионах. И отдать под крыло спецслужб?

@sashakots",No
109,"**В баре ресторана ""Юрас перле"". Танцевальная группа Лаймы Вайкуле. ЛаССР. Юрмала, 1982 . 

Примерно так Лайма и содержала Советский Союз ) 
Кто не узнал , Лайма посередине .

💭Думаю ебли её всеми советами, содержанкой для многих точно была

**[Конфликт🔥Z Подписаться](https://t.me/konfliktworld)",No
